Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.6954909563064575,d_IL12(t) = c(mid),0.6954909563064575,d_IL12(t) = c(mid),0.6954909563064575,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,d_IL12(t) = c(mid),0.69549096,IL12(t) = c(high),0.70859855,IL12(t) = c(high),0.70859855,IL12(t) = c(high),0.70859855,IL12(t) = c(high),0.70859855,"eventually[15,∞]globally(IL12(t) > c(high))",0.7619343,"eventually[15,∞]globally(IL12(t) > c(high))",0.7619343,"eventually[15,∞]globally(IL12(t) > c(high))",0.7619343
N/A,N/A,IL12(t) = c(high),0.7085985541343689,IL12(t) = c(high),0.7085985541343689,IL12(t) = c(high),0.7085985541343689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"eventually[3,19](d_TNFα(t) > d_c(low))",0.31506675481796265,"eventually[3,19](d_TNFα(t) > d_c(low))",0.31506675481796265,"eventually[3,19](d_TNFα(t) > d_c(low))",0.31506675481796265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,IL12(t)=c(high),0.7085985541343689,IL12(t)=c(high),0.7085985541343689,IL12(t)=c(high),0.7085985541343689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,SARSCoV2(t)=c(mid) and IL8(t) > c(high),0.524757981300354,SARSCoV2(t)=c(mid) and IL8(t) > c(high),0.524757981300354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,"eventually[14,∞](IL12(t) = c(high))",0.7609356641769409,"eventually[14,∞](IL12(t) = c(high))",0.7609356641769409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[14,∞]globally(d_IL12(t)=d_c(high))",0.64393747,"eventually[14,∞]globally(d_IL12(t)=d_c(high))",0.6439374685287476,"eventually[14,∞]globally(d_IL12(t)=d_c(high))",0.6439374685287476,"eventually[14,∞]globally(d_IL12(t)=d_c(high))",0.6439374685287476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
