Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim
N/A,N/A,"globally[1,∞](IL6(t) > c(low) and d_IL6(t) < d_c(low))",0.6824896,"globally[1,∞](IL6(t) > c(low) and d_IL6(t) < d_c(low))",0.6824895739555359,"globally[1,∞](IL6(t) > c(low) and d_IL6(t) < d_c(low))",0.6824895739555359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057146072388,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057146072388,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),0.7478057
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,∞](d_IL6(t) < c(high))",0.6857874,"globally[1,∞](d_IL6(t) < c(high))",0.6857874,"globally[1,∞](d_IL6(t) < c(high))",0.6857873797416687,"globally[1,∞](d_IL6(t) < c(high))",0.6857873797416687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"globally[1,∞](IL6(t) < c(high))",0.6857874,IL6(t)=c(high) implies IL6(t) < c(mid),0.7085678577423096,IL6(t)=c(high) implies IL6(t) < c(mid),0.7085678577423096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,∞](d_IL6(t) = c(mid)) implies eventually[0,∞]globally(d_IL6(t) > d_c(low))",0.65499485,"globally[1,∞](d_IL6(t) = c(mid)) implies eventually[0,∞]globally(d_IL6(t) > d_c(low))",0.65499485,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.7160704135894775,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.7160704135894775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"globally[1,∞](d_IL6(t) > c(high)) implies eventually[1,∞](d_IL6(t) < c(mid))",0.70913076,"globally[1,∞](d_IL6(t) > c(high)) implies eventually[1,∞](d_IL6(t) < c(mid))",0.7091307640075684,"globally[1,∞](d_IL6(t) > c(high)) implies eventually[1,∞](d_IL6(t) < c(mid))",0.7091307640075684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,7](IL6(t) = c(high) implies d_IL6(t) < d_c(low))",0.6711608,"globally[1,7](IL6(t) = c(high) implies d_IL6(t) < d_c(low))",0.6711608,"globally[1,7](IL6(t) = c(high) implies d_IL6(t) < d_c(low))",0.6711608171463013,"globally[1,7](IL6(t) = c(high) implies d_IL6(t) < d_c(low))",0.6711608171463013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,∞](IL6(t) = c(high) and d_IL6(t) < 0)",0.72539747,"globally[1,∞](IL6(t) = c(high) and d_IL6(t) < 0)",0.72539747,"globally[1,∞](IL6(t) = c(high) and d_IL6(t) < 0)",0.7253974676132202,"globally[1,∞](IL6(t) = c(high) and d_IL6(t) < 0)",0.7253974676132202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
