Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim
"d_IL1β(t) < c(mid) and eventually[0,∞]globally(d_IL1β(t) > d_c(low) and d_IL1Ra(t)=c(low)) and eventually[0,∞]globally(d_IL1Ra(t) > d_c(low))",0.6684065,"d_IL1β(t) < c(mid) and eventually[0,∞]globally(d_IL1β(t) > d_c(low) and d_IL1Ra(t)=c(low)) and eventually[0,∞]globally(d_IL1Ra(t) > d_c(low))",0.6684064865112305,"d_IL1β(t) < c(mid) and eventually[0,∞]globally(d_IL1β(t) > d_c(low) and d_IL1Ra(t)=c(low)) and eventually[0,∞]globally(d_IL1Ra(t) > d_c(low))",0.6684064865112305,"d_IL1β(t) < c(mid) and eventually[0,∞]globally(d_IL1β(t) > d_c(low) and d_IL1Ra(t)=c(low)) and eventually[0,∞]globally(d_IL1Ra(t) > d_c(low))",0.6684064865112305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198183059692,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198183059692,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198183059692,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198,"globally[1,7](d_IL1β(t)=d_c(high)) implies eventually[8,14]globally(d_IL1β(t)=d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low))",0.6690198
N/A,N/A,N/A,N/A,"eventually[6,∞](IL8(t) > c(mid))",0.516858696937561,"eventually[6,∞](IL8(t) > c(mid))",0.516858696937561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"globally[1,18](d_IL1β(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.6903635859489441,"globally[1,18](d_IL1β(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.6903635859489441,"globally[1,18](d_IL1β(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.6903635859489441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,"globally[2,∞](d_IL1β(t) < d_c(high))",0.6996178030967712,"globally[2,∞](d_IL1β(t) < d_c(high))",0.6996178030967712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"eventually[13,∞]globally(IL6(t) < c(high) and IL1RN(t) > c(high))",0.4754329323768616,"eventually[13,∞]globally(IL6(t) < c(high) and IL1RN(t) > c(high))",0.4754329323768616,"eventually[13,∞]globally(IL6(t) < c(high) and IL1RN(t) > c(high))",0.4754329323768616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,7](d_IL1β(t)=c(low)) implies eventually[8,14]globally(d_IL1β(t)=c(mid)) and globally[15,∞](d_IL1β(t)=c(high))",0.7041228,"globally[1,7](d_IL1β(t)=c(low)) implies eventually[8,14]globally(d_IL1β(t)=c(mid)) and globally[15,∞](d_IL1β(t)=c(high))",0.70412278175354,"globally[1,7](d_IL1β(t)=c(low)) implies eventually[8,14]globally(d_IL1β(t)=c(mid)) and globally[15,∞](d_IL1β(t)=c(high))",0.70412278175354,"globally[1,7](d_IL1β(t)=c(low)) implies eventually[8,14]globally(d_IL1β(t)=c(mid)) and globally[15,∞](d_IL1β(t)=c(high))",0.70412278175354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,14](d_IL1β(t) < c(mid)) and d_IL1β(t) = d_c(low)",0.76733637,"globally[1,14](d_IL1β(t) < c(mid)) and d_IL1β(t) = d_c(low)",0.767336368560791,"globally[1,14](d_IL1β(t) < c(mid)) and d_IL1β(t) = d_c(low)",0.767336368560791,"globally[1,14](d_IL1β(t) < c(mid)) and d_IL1β(t) = d_c(low)",0.767336368560791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
