Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim
N/A,N/A,"globally[17,∞](IL8(t) < c(low))",0.45361196994781494,"globally[17,∞](IL8(t) < c(low))",0.45361196994781494,"globally[17,∞](IL8(t) < c(low))",0.45361196994781494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"eventually[1,7]globally(d_TNFα(t) > d_c(high)) and eventually[8,14]globally(d_TNFα(t) > d_c(high)) and globally[∞,∞](d_TNFα(t) < d_c(low))",0.6721367239952087,"eventually[1,7]globally(d_TNFα(t) > d_c(high)) and eventually[8,14]globally(d_TNFα(t) > d_c(high)) and globally[∞,∞](d_TNFα(t) < d_c(low))",0.6721367239952087,"eventually[1,7]globally(d_TNFα(t) > d_c(high)) and eventually[8,14]globally(d_TNFα(t) > d_c(high)) and globally[∞,∞](d_TNFα(t) < d_c(low))",0.6721367239952087,"eventually[1,7]globally(d_TNFα(t) > d_c(high)) and eventually[8,14]globally(d_TNFα(t) > d_c(high)) and globally[∞,∞](d_TNFα(t) < d_c(low))",0.6721367,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825,"globally[7, ∞](TNFα(t) < c(mid))",0.86725825
"d_TNFα(t) > c(high) and eventually[14, ∞](d_TNFα(t) < d_c(high))",0.7896701,"d_TNFα(t) > c(high) and eventually[14, ∞](d_TNFα(t) < d_c(high))",0.7896701097488403,"d_TNFα(t) > c(high) and eventually[14, ∞](d_TNFα(t) < d_c(high))",0.7896701097488403,"d_TNFα(t) > c(high) and eventually[14, ∞](d_TNFα(t) < d_c(high))",0.7896701097488403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,7](TNFα(t) < c(high)) and globally[15,∞](TNFα(t) < c(high))",0.8653942,"globally[1,7](TNFα(t) < c(high)) and globally[15,∞](TNFα(t) < c(high))",0.8653941750526428,"globally[1,7](TNFα(t) < c(high)) and globally[15,∞](TNFα(t) < c(high))",0.8653941750526428,"globally[1,7](TNFα(t) < c(high)) and globally[15,∞](TNFα(t) < c(high))",0.8653941750526428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,14](d_TNFα(t) < d_c(high))",0.7417487,"globally[1,14](d_TNFα(t) < d_c(high))",0.7417486906051636,"globally[1,14](d_TNFα(t) < d_c(high))",0.7417486906051636,"globally[1,14](d_TNFα(t) < d_c(high))",0.7417486906051636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and globally[15,∞](TNFα(t) < c(high))",0.869466245174408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[1,7]globally(d_TNFα(t) < d_c(high)) and eventually[8,∞]globally(d_TNFα(t) < d_c(low))",0.7042581,"eventually[1,7]globally(d_TNFα(t) < d_c(high)) and eventually[8,∞]globally(d_TNFα(t) < d_c(low))",0.7042580842971802,"eventually[1,7]globally(d_TNFα(t) < d_c(high)) and eventually[8,∞]globally(d_TNFα(t) < d_c(low))",0.7042580842971802,"eventually[1,7]globally(d_TNFα(t) < d_c(high)) and eventually[8,∞]globally(d_TNFα(t) < d_c(low))",0.7042580842971802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_TNFα(t) < c(low) implies d_TNFα(t) > d_c(high),0.6860604,d_TNFα(t) < c(low) implies d_TNFα(t) > d_c(high),0.6860604286193848,d_TNFα(t) < c(low) implies d_TNFα(t) > d_c(high),0.6860604286193848,d_TNFα(t) < c(low) implies d_TNFα(t) > d_c(high),0.6860604286193848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,∞](d_TNFα(t) > d_c(high))",0.7066737,"globally[1,∞](d_TNFα(t) > d_c(high))",0.7066736817359924,"globally[1,∞](d_TNFα(t) > d_c(high))",0.7066736817359924,"globally[1,∞](d_TNFα(t) > d_c(high))",0.7066736817359924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
