Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479460954666138,d_IL8(t) > c(high),0.5479460954666138,d_IL8(t) > c(high),0.5479460954666138,d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479461,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161,"globally[0,3](d_IL8(t) > c(mid))",0.5818161
N/A,N/A,N/A,N/A,IL8(t)=c(high),0.522193193435669,IL8(t)=c(high),0.522193193435669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL8(t) < c(low),0.5125568,IL8(t) < c(low),0.512556791305542,IL8(t) < c(low),0.512556791305542,IL8(t) < c(low),0.512556791305542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.5887228846549988,IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.5887228846549988,IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.5887228846549988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IL8(t) > c(high) and globally[3,∞](d_IL8(t)=d_c(high))",0.5658032,"IL8(t) > c(high) and globally[3,∞](d_IL8(t)=d_c(high))",0.5658031702041626,"IL8(t) > c(high) and globally[3,∞](d_IL8(t)=d_c(high))",0.5658031702041626,"IL8(t) > c(high) and globally[3,∞](d_IL8(t)=d_c(high))",0.5658031702041626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL6(t) > c(high),0.4884635,IL6(t) > c(high),0.48846349120140076,IL6(t) > c(high),0.48846349120140076,IL6(t) > c(high),0.48846349120140076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"globally[4,8](d_IL8(t) > c(low)) implies eventually[9,∞](d_IL8(t) < c(mid))",0.5577669739723206,"globally[4,8](d_IL8(t) > c(low)) implies eventually[9,∞](d_IL8(t) < c(mid))",0.5577669739723206,"globally[4,8](d_IL8(t) > c(low)) implies eventually[9,∞](d_IL8(t) < c(mid))",0.5577669739723206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL8(t) < c(low),0.5125568,IL8(t) < c(low),0.512556791305542,IL8(t) < c(low),0.512556791305542,IL8(t) < c(low),0.512556791305542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
