Input Sentence,STL Extraction Success Rate,STL Parsing Success Rate,Number of Translations
"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.",0.5,0.0,12.0
"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.",0.41666666666666663,0.09999999999999998,24.0
"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.",0.3870967741935484,0.16666666666666663,62.0
"Remarkably, in the mild group, the amount of these cytokines (IL-1β and IL-1Ra) increased at the day 1–7, reached a peak at the day 8–14, and diminished after >14 days.",0.5238095238095238,0.09090909090909094,42.0
"Remarkably, in the mild group, the amount of these cytokines (IL-1β and IL-1Ra) increased at the day 1–7, reached a peak at the day 8–14, and diminished after >14 days.",0.43137254901960786,0.13636363636363635,51.0
"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.",0.4716981132075472,0.12,53.0
"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.",0.4067796610169492,0.16666666666666663,59.0
"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.",0.4528301886792453,0.125,53.0
We detected that IL-8 was significantly elevated in all COVID-19 subgroups at three studied time intervals compared to the control group.,0.4117647058823529,0.1428571428571429,51.0
We detected that IL-8 was significantly elevated in all COVID-19 subgroups at three studied time intervals compared to the control group.,0.6428571428571428,0.0,14.0
"We found that although there was no difference in the production of IFN-β in all patients with COVID-19 compared to the control group at the day 1–7, IFN-β levels were higher in moderate, severe, and critical subjects at the day 8–14 or >14 compared to the healthy control and themselves at the day 1–7.",0.3913043478260869,0.16666666666666663,46.0
"We found that although there was no difference in the production of IFN-β in all patients with COVID-19 compared to the control group at the day 1–7, IFN-β levels were higher in moderate, severe, and critical subjects at the day 8–14 or >14 compared to the healthy control and themselves at the day 1–7.",0.38888888888888884,0.1428571428571429,36.0
IL-12 reached its maximum level at the day>14 in mild patients.,0.4423076923076923,0.13043478260869568,52.0
"It is reported that in recovered cases, within a few hrs of virus entry, both α and β IFNs (at first day of infection) are rapidly produced and an antiviral state is soon reached [23]",0.5,0.0,12.0
"It is reported that in recovered cases, within a few hrs of virus entry, both α and β IFNs (at first day of infection) are rapidly produced and an antiviral state is soon reached [23]",0.41666666666666663,0.09999999999999998,24.0
"By day 14, we detected no viral reads for SARS-CoV-2, and the observed cytokines returned to baseline, with the exception of IL-6 and IL1RN or IL1RA, which remained elevated, similar to results observed with MERS (Pascal et al., 2015; Figures 3B and 3C).",0.5238095238095238,0.09090909090909094,42.0
Overall,0.4423380726698263,0.12142857142857144,
