Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim
,,"eventually[0,7]globally(IL6(t) > c(mid)) implies eventually[7,∞]globally(d_IL6(t) < d_c(high))",0.66921294,,,,,,
,,,,"eventually[0,7]globally(IL6(t) > c(mid)) implies eventually[7,∞]globally(d_IL6(t) < d_c(high))",0.66921294,,,,
,,,,,,"eventually[0,7]globally(IL6(t) > c(mid)) implies eventually[7,∞]globally(d_IL6(t) < d_c(high))",0.66921294,,
,,,,,,,,"eventually[0,7]globally(IL6(t) > c(mid)) implies eventually[7,∞]globally(d_IL6(t) < d_c(high))",0.6692129373550415
,,N/A,N/A,,,,,,
,,,,N/A,N/A,,,,
,,,,,,N/A,N/A,,
,,,,,,,,N/A,N/A
,,"eventually[1,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high))",0.695204,,,,,,
,,,,"eventually[1,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high)) and eventually[1,7]globally(IL6(t) < c(high) and d_IL6(t) < d_c(high))",0.6959653,,,,
,,,,,,"eventually[1,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high)) and eventually[1,7]globally(IL6(t) < c(high) and d_IL6(t) < d_c(high))",0.6959653,,
,,,,,,,,"eventually[1,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high)) and eventually[1,7]globally(IL6(t) < c(high) and d_IL6(t) < d_c(high))",0.6959652900695801
,,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(mid))",0.6730561,,,,,,
,,,,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(mid))",0.6730561,,,,
,,,,,,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(mid))",0.6730561,,
,,,,,,,,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(mid))",0.6730561256408691
,,N/A,N/A,,,,,,
,,,,N/A,N/A,,,,
,,,,,,N/A,N/A,,
,,,,,,,,N/A,N/A
,,"eventually[0,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high))",0.68291676,,,,,,
,,,,"eventually[0,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high))",0.68291676,,,,
,,,,,,"eventually[0,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high))",0.68291676,,
,,,,,,,,"eventually[0,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high))",0.6829167604446411
