Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim
N/A,N/A,N/A,N/A,"eventually[0,1]globally(IFNα(t) < c(mid) and IFNβ(t) < c(mid))",0.5297503471374512,"eventually[0,1]globally(IFNα(t) < c(mid) and IFNβ(t) < c(mid))",0.5297503471374512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(mid)",0.51577604,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629,"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL1Ra(t) > c(high)",0.5221629
"eventually[0,∞]globally(IFNα(t) = c(high) and IFNβ(t) = c(high))",0.54561514,"eventually[0,∞]globally(IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5456151366233826,"eventually[0,∞]globally(IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5456151366233826,"eventually[0,∞]globally(IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5456151366233826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high) and IL6(t) = c(mid)",0.31910086,"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high) and IL6(t) = c(mid)",0.31910085678100586,"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high) and IL6(t) = c(mid)",0.31910085678100586,"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high) and IL6(t) = c(mid)",0.31910085678100586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,"eventually[0,∞](IL1β(t) > c(high) and d_IL1Ra(t) > d_c(high))",0.369049072265625,"eventually[0,∞](IL1β(t) > c(high) and d_IL1Ra(t) > d_c(high))",0.369049072265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5319213,"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5319213271141052,"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5319213271141052,"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5319213271141052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[0,∞](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.51296806,"globally[0,∞](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.5129680633544922,"globally[0,∞](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.5129680633544922,"globally[0,∞](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.5129680633544922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[0,∞](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and IL1β(t) > c(low) and IL1Ra(t) > c(low)",0.29755914,"eventually[0,∞](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and IL1β(t) > c(low) and IL1Ra(t) > c(low)",0.29755914211273193,"eventually[0,∞](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and IL1β(t) > c(low) and IL1Ra(t) > c(low)",0.29755914211273193,"eventually[0,∞](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and IL1β(t) > c(low) and IL1Ra(t) > c(low)",0.29755914211273193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
