Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim
"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8884924,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8884924054145813,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8884924054145813,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8884924054145813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[14,∞](TNFα(t) < c(high))",0.8683772683143616,"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[14,∞](TNFα(t) < c(high))",0.86837727,"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[14,∞](TNFα(t) < c(high))",0.86837727,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) = c(mid)) and eventually[14,∞](TNFα(t) > c(mid))",0.88714087
"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.86690134,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.8669013381004333,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.8669013381004333,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.8669013381004333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[15,∞](TNFα(t) = c(low))",0.8564016819000244,"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[15,∞](TNFα(t) = c(low))",0.8564016819000244,"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[15,∞](TNFα(t) = c(low))",0.8564016819000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[15,∞](TNFα(t) < c(high))",0.8767966,"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[15,∞](TNFα(t) < c(high))",0.8767966032028198,"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[15,∞](TNFα(t) < c(high))",0.8767966032028198,"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[15,∞](TNFα(t) < c(high))",0.8767966032028198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.8634753,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.8634753227233887,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.8634753227233887,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.8634753227233887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.88062406,"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.8806240558624268,"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.8806240558624268,"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.8806240558624268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[1,7]globally(d_TNFα(t) > 0) and eventually[8,14]globally(d_TNFα(t) > 0) and eventually[∞,∞](d_TNFα(t) < 0)",0.74123037,"eventually[1,7]globally(d_TNFα(t) > 0) and eventually[8,14]globally(d_TNFα(t) > 0) and eventually[∞,∞](d_TNFα(t) < 0)",0.7412303686141968,"eventually[1,7]globally(d_TNFα(t) > 0) and eventually[8,14]globally(d_TNFα(t) > 0) and eventually[∞,∞](d_TNFα(t) < 0)",0.7412303686141968,"eventually[1,7]globally(d_TNFα(t) > 0) and eventually[8,14]globally(d_TNFα(t) > 0) and eventually[∞,∞](d_TNFα(t) < 0)",0.7412303686141968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
