Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim
"eventually[0,3]globally(IL8(t) > c(low))",0.53635705,"eventually[0,3]globally(IL8(t) > c(low))",0.536357045173645,"eventually[0,3]globally(IL8(t) > c(low))",0.536357045173645,"eventually[0,3]globally(IL8(t) > c(low))",0.536357045173645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[12,19]globally(IL8(t) > c(mid))",0.60834825,"eventually[12,19]globally(IL8(t) > c(mid))",0.6083482503890991,"eventually[12,19]globally(IL8(t) > c(mid))",0.6083482503890991,"eventually[12,19]globally(IL8(t) > c(mid))",0.6083482503890991,"eventually[12,19]globally(IL8(t) > c(mid))",0.60834825,"eventually[12,19]globally(IL8(t) > c(mid))",0.60834825,"eventually[12,19]globally(IL8(t) > c(mid))",0.60834825,"eventually[12,19]globally(IL8(t) > c(mid))",0.60834825,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395,"eventually[0,1]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(mid)) and eventually[2,3]globally(IL8(t) > c(mid))",0.63432395
N/A,N/A,IL8(t) > c(mid),0.5685684680938721,IL8(t) > c(mid),0.5685684680938721,IL8(t) > c(mid),0.5685684680938721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,"globally[0,∞](IL8(t) > c(high))",0.5609333515167236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IL8(t) > c(mid) and eventually[0,∞]globally(d_IL8(t) > 0)",0.5852992,"IL8(t) > c(mid) and eventually[0,∞]globally(d_IL8(t) > 0)",0.5852991938591003,"IL8(t) > c(mid) and eventually[0,∞]globally(d_IL8(t) > 0)",0.5852991938591003,"IL8(t) > c(mid) and eventually[0,∞]globally(d_IL8(t) > 0)",0.5852991938591003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[0,∞]globally(IL8(t) > c(low)) and d_IL8(t) > 0",0.5431393,"eventually[0,∞]globally(IL8(t) > c(low)) and d_IL8(t) > 0",0.5431392788887024,"eventually[0,∞]globally(IL8(t) > c(low)) and d_IL8(t) > 0",0.5431392788887024,"eventually[0,∞]globally(IL8(t) > c(low)) and d_IL8(t) > 0",0.5431392788887024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"eventually[0,3](IL8(t) > c(low)) and eventually[3,6](IL8(t) > c(low)) and eventually[6,9](IL8(t) > c(low)) and IL8(t) = c(low)",0.5937808156013489,"eventually[0,3](IL8(t) > c(low)) and eventually[3,6](IL8(t) > c(low)) and eventually[6,9](IL8(t) > c(low)) and IL8(t) = c(low)",0.5937808156013489,"eventually[0,3](IL8(t) > c(low)) and eventually[3,6](IL8(t) > c(low)) and eventually[6,9](IL8(t) > c(low)) and IL8(t) = c(low)",0.5937808156013489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"eventually[0,3](IL8(t) > c(low))",0.5496659874916077,"eventually[0,3](IL8(t) > c(low))",0.5496659874916077,"eventually[0,3](IL8(t) > c(low))",0.5496659874916077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
