Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim
,,"eventually[0,∞](IL8(t) > c(low))",0.49497592,,,,,,
,,,,"eventually[0,∞](IL8(t) > c(low))",0.49497592,,,,
,,,,,,"eventually[0,∞](IL8(t) > c(low))",0.49497592,,
,,,,,,,,"eventually[0,∞](IL8(t) > c(low))",0.4949759244918823
,,"eventually[0,∞]globally(IL8(t) > c(low))",0.49497592,,,,,,
,,,,"eventually[0,∞]globally(IL8(t) > c(low))",0.49497592,,,,
,,,,,,"eventually[0,∞]globally(IL8(t) > c(low))",0.49497592,,
,,,,,,,,"eventually[0,∞]globally(IL8(t) > c(low))",0.4949759244918823
,,N/A,N/A,,,,,,
,,,,N/A,N/A,,,,
,,,,,,N/A,N/A,,
,,,,,,,,N/A,N/A
,,"globally[0,∞](IL8(t) > c(high))",0.53603745,,,,,,
,,,,"globally[0,∞](IL8(t) > c(high))",0.53603745,,,,
,,,,,,"globally[0,∞](IL8(t) > c(high))",0.53603745,,
,,,,,,,,"globally[0,∞](IL8(t) > c(high))",0.5360374450683594
,,"eventually[0,∞]globally(IL8(t) = c(mid)) and eventually[0,∞]globally(IL8(t) = c(high)) and eventually[0,∞]globally(IL8(t) = c(low))",0.48096162,,,,,,
,,,,"eventually[0,∞]globally(IL8(t) = c(mid)) and eventually[0,∞]globally(IL8(t) = c(high)) and eventually[0,∞]globally(IL8(t) = c(low))",0.48096162,,,,
,,,,,,"eventually[0,∞]globally(IL8(t) = c(mid)) and eventually[0,∞]globally(IL8(t) = c(high)) and eventually[0,∞]globally(IL8(t) = c(low))",0.48096162,,
,,,,,,,,"eventually[0,∞]globally(IL8(t) > c(high)) and eventually[0,∞]globally(IL8(t) > c(mid)) and eventually[0,∞]globally(IL8(t) > c(low))",0.5179044008255005
,,N/A,N/A,,,,,,
,,,,N/A,N/A,,,,
,,,,,,N/A,N/A,,
,,,,,,,,N/A,N/A
