Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim
,,"eventually[1,7]globally(IFNβ(t) = c(low)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) implies eventually[1,7]globally(IFNβ(t) = c(low))",0.56507236,,,,,,
,,,,"eventually[1,7]globally(IFNβ(t) = c(low)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) implies eventually[1,7]globally(IFNβ(t) = c(low))",0.56507236,,,,
,,,,,,"eventually[1,7]globally(IFNβ(t) = c(low)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) implies eventually[1,7]globally(IFNβ(t) = c(low))",0.56507236,,
,,,,,,,,"eventually[1,7]globally(IFNβ(t) = c(low)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) implies eventually[1,7]globally(IFNβ(t) = c(low))",0.5650723576545715
,,N/A,N/A,,,,,,
,,,,N/A,N/A,,,,
,,,,,,N/A,N/A,,
,,,,,,,,N/A,N/A
,,"eventually[1,7]globally(ILFNβ(t) = c(low)) and eventually[8,14]globally(ILFNβ(t) > c(mid)) and eventually[15,∞]globally(ILFNβ(t) > c(high)) and eventually[1,7]globally(ILFNβ(t) = c(low)) and eventually[8,14]globally(ILFNβ(t) > c(mid)) and eventually[15,∞]globally(ILFNβ(t) > c(high))",0.470042,,,,,,
,,,,"eventually[1,7]globally(ILFNβ(t) = c(low)) and eventually[8,14]globally(ILFNβ(t) > c(mid)) and eventually[15,∞]globally(ILFNβ(t) > c(high))",0.47347528,,,,
,,,,,,"eventually[1,7]globally(ILFNβ(t) = c(low)) and eventually[8,14]globally(ILFNβ(t) > c(mid)) and eventually[15,∞]globally(ILFNβ(t) > c(high))",0.47347528,,
,,,,,,,,"eventually[1,7]globally(ILFNβ(t) = c(low)) and eventually[8,14]globally(ILFNβ(t) > c(mid)) and eventually[15,∞]globally(ILFNβ(t) > c(high))",0.47347527742385864
,,N/A,N/A,,,,,,
,,,,N/A,N/A,,,,
,,,,,,N/A,N/A,,
,,,,,,,,N/A,N/A
,,N/A,N/A,,,,,,
,,,,N/A,N/A,,,,
,,,,,,N/A,N/A,,
,,,,,,,,N/A,N/A
,,N/A,N/A,,,,,,
,,,,N/A,N/A,,,,
,,,,,,N/A,N/A,,
,,,,,,,,N/A,N/A
