shot0,shot0 sim,shot1,shot1 sim,shot2,shot2 sim,shot3,shot3 sim,shot4,shot4 sim,shot5,shot5 sim
"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[0,7]globally(IL6(t) < c(mid))",0.68202996,"eventually[1,7]globally(IL6(t) = c(high) and d_IL6(t) < 0) and eventually[7,∞]globally(d_IL6(t) < 0)",0.7080635,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞](d_IL6(t) < 0)",0.69200015,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",0.6445561,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",0.6445561,"eventually[0,6](IL6(t) > c(mid)) and globally[6,∞](IL6(t) < c(high))",0.6969211
"globally[0,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(mid))",0.6556639,"globally[0,7](IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(high))",0.6445561,"eventually[0,1]globally(IL6(t) = c(high)) and globally[1,∞](d_IL6(t) < 0)",0.6857939,"eventually[0,6](IL6(t) > c(high)) implies eventually[6,∞](d_IL6(t) < 0)",0.7073164,"eventually[0,6]globally(IL6(t) = c(high)) and eventually[6,∞]globally(IL6(t) < c(mid))",0.68184847,"IL6(t) > c(mid) and globally[0,7](d_IL6(t) < 0)",0.75526595
"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(d_IL6(t) < 0) and globally[0,7](IL6(t) = c(high)) and globally[7,∞](d_IL6(t) < 0)",0.69594246,"globally[0,6](IL6(t) > c(high)) and globally[6,∞](d_IL6(t) < d_c(high))",0.6569875,"eventually[0,6]globally(IL6(t) > c(high)) and eventually[6,∞]globally(d_IL6(t) < d_c(high))",0.6569875,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) > c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(high))",0.6990628,"eventually[1,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(low))",0.67158234,"globally[0,∞](IL6(t) > c(high)) implies eventually[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",0.6465417
"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1β(t) < c(low)) and eventually[1,7]globally(IL1Ra(t) < c(high)) and eventually[8,14]globally(IL1Ra(t) > c(low)) implies eventually[15,∞]globally(IL1Ra(t) < c(low))",0.6964146,"eventually[1,7]globally(IL1β(t) < c(mid)) and eventually[8,14]globally(IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and eventually[15,∞]globally(IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.74149907,"eventually[1,7]globally(IL1β(t) > c(low) implies d_IL1β(t) < 0) and eventually[8,14]globally(IL1Ra(t) > c(high) implies d_IL1Ra(t) < 0) and eventually[15,∞]globally(IL1β(t) > c(low) implies d_IL1β(t) > 0) and eventually[15,∞]globally(IL1Ra(t) > c(low) implies d_IL1Ra(t) > 0)",0.2781606,"eventually[1,7](IL1β(t) > c(mid)) and eventually[8,14](IL1β(t) > c(mid)) and eventually[15,∞](IL1β(t) < c(low)) and eventually[1,7](IL1Ra(t) > c(mid)) and eventually[8,14](IL1Ra(t) > c(mid)) and eventually[15,∞](IL1Ra(t) < c(low))",0.74000865,"eventually[1,7](IL1β(t) > c(low) and IL1Ra(t) > c(low)) and eventually[8,14](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and globally[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.6938975,"eventually[1,7]globally(IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[8,14]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[15,∞]globally(IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.6917151
"eventually[1,7]globally(d_IL1β(t) > 0) and eventually[8,14]globally(d_IL1β(t) > 0) and eventually[15,∞]globally(d_IL1β(t) < 0) and eventually[1,7]globally(d_IL1Ra(t) > 0) and eventually[8,14]globally(d_IL1Ra(t) > 0) and eventually[15,∞]globally(d_IL1Ra(t) < 0)",0.6560203,,,"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1β(t) < c(high)) and eventually[15,∞]globally(IL1β(t) < c(mid)) and eventually[1,7]globally(IL1Ra(t) < c(high)) and eventually[8,14]globally(IL1Ra(t) < c(high)) and eventually[15,∞]globally(IL1Ra(t) < c(mid)) and IL1β(t) > c(mid) and d_IL1β(t) < d_c(low) and eventually[15,∞]globally(IL1β(t) < c(mid)) and IL1Ra(t) > c(mid) and d_IL1Ra(t) < d_c(low) and eventually[15,∞]globally(IL1Ra(t) < c(mid))",0.70114577,"eventually[1,7]globally(IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and eventually[8,14]globally(IL1β(t) = c(mid) and IL1Ra(t) = c(mid)) and eventually[15,∞]globally(IL1β(t) < c(mid) and IL1Ra(t) < c(mid))",0.724293,,,"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1β(t) > c(mid)) and eventually[15,∞]globally(IL1β(t) > c(low)) and eventually[1,7]globally(IL1Ra(t) < c(high)) and eventually[8,14]globally(IL1Ra(t) > c(mid)) and eventually[15,∞]globally(IL1Ra(t) > c(low))",0.72761387
"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.8888161,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) implies eventually[14,∞]globally(TNFα(t) < c(high))",0.8858931,,,"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(high))",0.8888161,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8915981,"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.8573765
"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[14,∞](TNFα(t) < c(low))",0.85349864,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.9115333,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(mid))",0.9097766,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8573765,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(mid)) and d_TNFα(t) = 0",0.9044571,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8915981
"eventually[1,7](TNFα(t) > c(mid)) and eventually[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(high))",0.9107896,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[14, ∞](TNFα(t) < c(high))",0.8858932,"eventually[1,7](TNFα(t) > c(high)) and eventually[8,14](TNFα(t) > c(high)) and globally[15,∞](TNFα(t) < c(low))",0.8915981,"eventually[1,7]globally(TNFα(t) < c(high)) and eventually[8,14]globally(TNFα(t) < c(high)) and eventually[15,∞](TNFα(t) > c(low))",0.8917909,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8915981,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(high))",0.88881624
,,,,"eventually[0,3]globally(IL8(t) > c(low)) and globally[0,3](IL8(t) > c(low))",0.5120735,"eventually[0,3]globally(IL8(t) > c(high)) and eventually[0,3]globally(IL8(t) = c(high))",0.53654724,,,"eventually[3,∞](IL8(t) > c(low))",0.51372176
,,"globally[∞,∞](IL8(t) > c(low))",0.5172473,,,"eventually[0,3]globally(IL8(t) > c(low))",0.4981401,,,"globally[0,3](IL8(t) > c(mid))",0.54667544
