S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S9-F3,S9-F3 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S13-F3,S13-F3 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S14-F3,S14-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S15-F3,S15-F3 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S16-F3,S16-F3 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S18-F3,S18-F3 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S19-F3,S19-F3 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S20-F3,S20-F3 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S21-F3,S21-F3 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S22-F3,S22-F3 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S23-F3,S23-F3 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim,S24-F3,S24-F3 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S25-F3,S25-F3 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim,S27-F0,S27-F0 sim,S27-F1,S27-F1 sim,S27-F2,S27-F2 sim,S27-F3,S27-F3 sim,S28-F0,S28-F0 sim,S28-F1,S28-F1 sim,S28-F2,S28-F2 sim,S28-F3,S28-F3 sim,S29-F0,S29-F0 sim,S29-F1,S29-F1 sim,S29-F2,S29-F2 sim,S29-F3,S29-F3 sim,S30-F0,S30-F0 sim,S30-F1,S30-F1 sim,S30-F2,S30-F2 sim,S30-F3,S30-F3 sim,S31-F0,S31-F0 sim,S31-F1,S31-F1 sim,S31-F2,S31-F2 sim,S31-F3,S31-F3 sim,S32-F0,S32-F0 sim,S32-F1,S32-F1 sim,S32-F2,S32-F2 sim,S32-F3,S32-F3 sim
N/A,N/A,N/A,N/A,N/A,N/A,0.64359397,"globally[6,∞](d_IL1β(t) < 0)",0.36027533,IL1RN(t)=c(mid) and d_SARSCoV2(t) < d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76192737,"globally[1,7](IL6(t) > c(high) and d_IL6(t) < d_c(high)) and IL6(t) = c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7038624882698059,"eventually[1,∞]globally(IL6(t) = c(high) implies d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6894465684890747,IL6(t) = c(mid) implies d_IL6(t) < 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.71314764,"globally[1,∞](d_IL6(t) < c(high)) implies eventually[7,∞](IL6(t)=c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.6474717855453491,"globally[1,∞](d_IL6(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.5964287519454956,IL6(t) > c(mid) implies SARSCoV2(t) < c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7108423709869385,"globally[1,7](IL6(t) > c(high)) and d_IL6(t) < d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6277346611022949,"eventually[1,∞]globally(d_IL6(t)=d_c(high)) and d_IL6(t) < d_c(low)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6402783989906311,"eventually[1,∞](d_IL6(t) > d_c(high))",0.6404383182525635,IL6(t) = c(high) implies IL12(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6654110550880432,IL6(t) = c(low) and IL6(t) = c(high),N/A,N/A,N/A,N/A,0.667256236076355,d_IL6(t) < c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.667256236076355,IL6(t) < c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6377403736114502,IL6(t)=c(low) implies d_IL6(t) < d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.699091911315918,"eventually[1,∞](d_IL6(t) = c(high)) and d_IL6(t) < d_c(low)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.6564056,d_IL6(t)=c(high) and d_IL6(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6960893,"eventually[0, ∞]globally(IL6(t) = c(high) implies d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.46003463864326477,IL8(t) > c(low) implies d_IL1Ra(t) < d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6871337,IL6(t) > c(high) implies d_IL6(t) < 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5968565940856934,d_IL6(t) > 0 and d_IL6(t) < d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6223630905151367,IL1Ra(t) < c(mid) implies d_IL6(t) < d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.6876921653747559,"IL6(t) > c(high) and globally[1,∞](d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.65943384,IL6(t) > c(high) and d_IL6(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.6808137893676758,"IL6(t) < c(mid) and d_IL6(t) > d_c(high) and eventually[0,∞]globally(d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6959633827209473,"globally[1,∞](d_IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7028961777687073,"globally[1,7](d_IL6(t)=d_c(high) implies IL1Ra(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.6671764850616455,IL6(t) < c(high) and d_IL6(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.6351630687713623,"eventually[15,∞]globally(d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7345781326293945,"IL6(t) > c(high) and globally[1,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6857874393463135,"globally[1,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6857874393463135,"globally[1,∞](d_IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6882282495498657,IL6(t)=c(high) implies d_IL6(t) < 0,N/A,N/A,N/A,N/A,N/A,N/A,0.7358311414718628,"IL6(t)=c(high) and globally[1,∞](d_IL6(t)<0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6477502584457397,IL6(t)=c(low) and d_IL6(t)<d_c(low),N/A,N/A,N/A,N/A,N/A,N/A
0.6671919,IL6(t) < c(mid) implies d_IL6(t) < d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7297433018684387,"IL6(t) > c(mid) and eventually[1,∞]globally(d_IL6(t)=d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6422123312950134,IL6(t)=c(high) implies d_IL6(t) < d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.68578744,"globally[1, ∞](d_IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6980150938034058,"globally[1,∞](IL6(t)=c(mid))
and eventually[1,∞](d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7313700914382935,"eventually[1, ∞]globally(IL6(t) = c(high) and d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.6857874393463135,"globally[1,∞](d_IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6720218062400818,d_IL6(t) > 0 implies IL6(t) = c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.728543758392334,"eventually[1, ∞]globally(d_IL6(t) = d_c(low) and IL6(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.65943384,IL6(t) > c(high) and d_IL6(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.6520161628723145,"globally[1,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.6934514045715332,"globally[0,∞](d_IL6(t) = d_c(high) and IL6(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.6528884172439575,"globally[1, ∞](d_IL6(t) = c(high)) implies eventually[0, 1](d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.726007342338562,IL6(t) > c(high) implies IFNβ(t) < c(mid),N/A,N/A,N/A,N/A,N/A,N/A,0.6843771934509277,"globally[0,∞](IL6(t) = c(high) implies d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.7590833902359009,"IL6(t) = c(high) and globally[1,7](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.721807062625885,"eventually[1,7]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.684744119644165,"eventually[1,∞]globally(IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.6663284301757812,"globally[0,∞](IL6(t) > c(high)) implies eventually[1,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.5307711362838745,"globally[0,∞](IL12(t) < c(low)) implies eventually[0,∞](d_IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6771723031997681,IL6(t) > c(mid) implies d_IL6(t) = d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5648630857467651,"d_IL8(t)=d_c(low) implies IL1RN(t) < c(low) and eventually[7,∞](d_IFNα(t) < 0 and IL8(t) > c(high))",N/A,N/A,N/A,N/A,0.6474717855453491,"globally[1, ∞](d_IL6(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.6653783917427063,"IL6(t) > c(low) and eventually[0,∞]globally(d_IL6(t)=d_c(high) and d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.68695366,"globally[1,∞](d_IL6(t)=c(high) and d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7295295000076294,"IL6(t) = c(high) and globally[0,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6674203872680664,IL6(t) < c(high) and d_IL6(t) < d_c(high),N/A,N/A,0.6520161628723145,"globally[1,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.6708981990814209,IL6(t) > c(high) implies d_IL6(t)= -d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.6882282495498657,IL6(t)=c(high) implies d_IL6(t) < 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.65925777,IL6(t)=c(high) and d_IL6(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7074593901634216,d_IL6(t) < c(high) and IFNα(t) > c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.7168643474578857,"eventually[1,∞]globally(d_IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.6520161628723145,"globally[1,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.7379939556121826,"eventually[1,∞]globally(IL6(t) > c(high) and d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.6869032382965088,"IL6(t) = c(high) and globally[1, ∞](d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6857874393463135,"globally[1,∞](d_IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.676899254322052,"globally[0,7](IL6(t) = c(high)) implies globally[7,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6996429562568665,"eventually[1,∞]globally(d_IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.591960072517395,IL1β(t) < c(high),N/A,N/A,N/A,N/A,N/A,N/A
0.67298245,d_IL6(t) > c(high) implies d_IL6(t)=c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.7236135,"eventually[1,2]globally(d_IL6(t) > c(high)) and d_IL6(t)=0",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6959634,"globally[1,∞](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6792539,"eventually[0,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.69292676,"globally[1, ∞](IL6(t) > c(high) implies d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6601397,"eventually[1,∞]globally(d_IL6(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.74162674,"eventually[1, ∞]globally(d_IL6(t) = d_c(low) and IL6(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.62820053,"globally[1,∞](d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7175914,IL6(t) = c(high) and d_IL6(t) < 0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
