S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim
0.19429182,d_IFNα(t) = d_c(low) implies IL6(t) = c(mid) and d_IFNβ(t) = d_c(low) implies IL1β(t) = c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"globally[1,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=c(mid))",0.19429182,d_IFNα(t) > d_c(low) implies IL6(t)=c(mid),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"globally[0,∞](d_IL6(t) > d_c(high)) implies eventually[0,∞]globally(IL1Ra(t) < c(mid))",0.19429182,"eventually[1,∞]globally(IL1Ra(t) < c(low) implies d_IFNα(t)=d_c(high)) and IL6(t)=c(mid) and IL1RN(t) > c(mid)",0.19429182,"globally[18,20](IL12(t)=c(low) and TNFα(t) < c(mid))",0.19429182,"globally[16,∞](d_IL6(t) < d_c(low)) implies eventually[0,15]globally(IL6(t) = c(mid))"
0.19429182,IL1β(t) > c(low) and IL1β(t) > c(low) implies d_IL1RN(t) < 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,IL1RN(t)=c(low) and d_IL1β(t) < d_c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"globally[1,5](d_IFNα(t)=c(high) implies d_IFNβ(t)=c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,IL8(t)=c(mid) implies IL1β(t) < c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[1,∞]globally(d_IFNα(t) > d_c(low) implies d_IFNα(t)=d_c(high)) and eventually[1,∞]globally(d_IFNβ(t) > d_c(low) implies d_IFNβ(t)=d_c(high)) and eventually[1,∞]globally(d_SARSCoV2(t) > d_c(low) implies d_SARSCoV2(t)=d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.19429182,"eventually[8,18]globally(d_IL1β(t)=d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[1,17]globally(d_IFNα(t) < d_c(high) implies d_IL1RN(t)=0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"globally[1,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,d_IFNα(t) > d_c(low) implies IL6(t)=c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"globally[0,∞](d_IL6(t) > d_c(high)) implies eventually[0,∞]globally(IL1Ra(t) < c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"eventually[1,∞]globally(IL1Ra(t) < c(low) implies d_IFNα(t)=d_c(high)) and IL6(t)=c(mid) and IL1RN(t) > c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"globally[18,20](IL12(t)=c(low) and TNFα(t) < c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19429182,"globally[16,∞](d_IL6(t) < d_c(low)) implies eventually[0,15]globally(IL6(t) = c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
