S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim
0.48981822,"eventually[1,7](d_IL1β(t) > c(mid)) and eventually[8,14](d_IL1β(t) = d_c(low)) and globally[15,∞](d_IL1β(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"eventually[1, ∞](d_IL1β(t)=d_c(high) and d_IL1Ra(t)=d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,IL1β(t) < c(low) implies IFNα(t) = c(high),0.48981822,"globally[1,∞](d_IL1β(t)=0 and IL1RN(t) < c(high)) and globally[1,∞](d_IL1Ra(t)=0 and IL1RN(t) < c(high))",0.48981822,"globally[1,7](d_IL1β(t) > c(low) and d_IL1Ra(t) > c(low)) and eventually[8,14]globally(d_IL1β(t) = c(high) and d_IL1Ra(t) = c(high)) and eventually[15,∞]globally(d_IL1β(t) < c(low) and d_IL1Ra(t) < c(low))",0.48981822,"globally[1,∞](d_IL1β(t) > c(high)) implies eventually[8,∞](d_IL1β(t) < c(mid)) and globally[1,∞](d_IL1Ra(t) > d_c(low)) implies eventually[15,∞](d_IL1Ra(t) < c(low))"
0.48981822,"eventually[1, ∞]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"globally[1, ∞](d_IL1β(t) = d_c(low) and d_IL1Ra(t) = d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,d_IL1β(t)=d_c(low) implies d_IL6(t) > d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"globally[1,∞](d_IL1β(t) > 0 and d_IL1Ra(t) > 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"eventually[1, ∞](d_IL1β(t)=d_c(high) and d_IL1Ra(t)=d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.48981822,IL1β(t) < c(low) implies IFNα(t) = c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"globally[1,∞](d_IL1β(t)=0 and IL1RN(t) < c(high)) and globally[1,∞](d_IL1Ra(t)=0 and IL1RN(t) < c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"globally[1,7](d_IL1β(t) > c(low) and d_IL1Ra(t) > c(low)) and eventually[8,14]globally(d_IL1β(t) = c(high) and d_IL1Ra(t) = c(high)) and eventually[15,∞]globally(d_IL1β(t) < c(low) and d_IL1Ra(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"globally[1,∞](d_IL1β(t) > c(high)) implies eventually[8,∞](d_IL1β(t) < c(mid)) and globally[1,∞](d_IL1Ra(t) > d_c(low)) implies eventually[15,∞](d_IL1Ra(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
