S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S9-F3,S9-F3 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim
0.48981822,"globally[0, ∞](IL1β(t)=c(mid) and IL1Ra(t)=c(mid)) implies eventually[1,7]globally(IL1β(t) < c(low)) and eventually[1,7]globally(IL1Ra(t) < c(low)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[8,14]globally(IL1Ra(t) > c(high)) and eventually[15, ∞]globally(d_IL1β(t) < 0) and eventually[15, ∞]globally(d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"globally[1, ∞](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8, ∞](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"globally[0,7](d_IL1β(t) > 0) implies globally[8,∞](d_IL1β(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"eventually[1,7]globally(IL1β(t)=c(mid) and IL1Ra(t)=c(mid)) implies globally[8,14](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and globally[15,∞](IL1β(t) < c(high) and IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"globally[1,14](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"eventually[1,∞]globally(IL1β(t) < c(low) implies d_IL1β(t) < 0) and IL1Ra(t) < c(low) implies d_IL1Ra(t) < 0",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,IL1β(t)=c(low) implies d_IL1β(t) < d_c(high) and IL1Ra(t)=c(low) implies d_IL1Ra(t) < d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"globally[1,14](d_IL1β(t) < c(high) and d_IL1Ra(t) < c(high))",0.48981822,"eventually[5,∞]globally(SARSCoV2(t) > c(mid) implies d_IFNα(t) > d_c(low))",0.48981822,"globally[1,∞](d_IL1β(t)=0 implies d_IL1Ra(t)=0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.48981822,IL6(t)=c(low) and IL12(t)=c(low) and TNFα(t)=c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.48981822,"IL1RN(t) < c(low) and eventually[2,15]globally(TNFα(t) > c(low) implies d_TNFα(t)=d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.48981822,"eventually[1, ∞]globally(IL1Ra(t) > c(high))",,,0.48981822,"eventually[8,18]globally(d_IL1β(t)=d_c(high) and d_IL1Ra(t)=d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,d_IL1β(t) < c(low) and d_IL1Ra(t) < c(high),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"d_IL1β(t) < d_c(low) and eventually[0,∞]globally(d_IL1β(t) = d_c(high) and d_IL1Ra(t) > c(low)) and d_IL1Ra(t) > c(low)",,,,,,,0.48981822,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.48981822,"eventually[8,14]globally(IL1Ra(t) > c(mid))",,,,,0.48981822,"eventually[14,∞]globally(d_IL1β(t)=0) and d_IL1Ra(t) < d_c(high)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"globally[1,∞](d_IL1β(t) = d_c(low) and d_IL1Ra(t) = d_c(low))",,,,,,,0.48981822,"IL6(t) < c(low) and d_IL6(t) > d_c(high) and globally[15,∞](d_IL6(t) < d_c(high) implies d_IL6(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"globally[0,7](d_IL1β(t) > 0) implies globally[8,∞](d_IL1β(t) < 0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"eventually[1,7]globally(IL1β(t)=c(mid) and IL1Ra(t)=c(mid)) implies globally[8,14](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and globally[15,∞](IL1β(t) < c(high) and IL1Ra(t) < c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"globally[1,14](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
