S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S14-F3,S14-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S16-F3,S16-F3 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S19-F3,S19-F3 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56903005,d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6001548,"d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low) and eventually[1,inf](d_IL1β(t) > d_c(high) implies d_IL1Ra(t) > d_c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,0.6005583,"eventually[14,inf]globally(d_IL1Ra(t)=d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6329247,"d_IL1β(t)=0 and eventually[1,inf]globally(d_IL1β(t) > d_c(low)) and d_IL1Ra(t)=0 and eventually[1,inf]globally(d_IL1Ra(t) > d_c(low)) implies globally[14,inf](d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7147503,"globally[1,7](d_IL1β(t)=d_c(low)) and globally[8,14](d_IL1β(t)=c(high)) and eventually[15,inf](d_IL1β(t)=d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.65655303,"globally[1,14](d_IL1β(t) < d_c(low)) implies eventually[15,inf]globally(d_IL1Ra(t) = d_c(low))",0.686926,"globally[1,18](d_IL1β(t) = d_c(low)) implies eventually[7,inf](IL8(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6155685,"d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low) and eventually[15,inf](d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high))
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.666881,"globally[1,7](d_IL1β(t) > c(low)) and eventually[8,18](d_IL1β(t) = c(high)) and globally[15,inf](IL6(t) < c(low) and IL12(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.70255375,"eventually[1, inf]globally(d_IL1β(t) > d_c(low) and d_IL1Ra(t) < d_c(high)) and eventually[1, inf]globally(d_IL1β(t) = c(mid) and d_IL1Ra(t) = c(mid))",0.50237477,IL1β(t)=c(mid) implies d_IL1β(t) > d_c(low) and IL1Ra(t)=c(mid) implies d_IL1Ra(t) > d_c(low),0.6354464,"eventually[3,inf](d_IL1β(t)=c(low) and d_IL1Ra(t)=c(low)) and globally[8,14](d_IL1β(t) < c(low) and d_IL1Ra(t) < c(low)) and d_SARSCoV2(t)=0",N/A,N/A,0.6912671,"d_IL1β(t) < c(low) and d_IL1β(t) = d_c(high) and d_IL1Ra(t) < c(low) and globally[14, inf](d_IL1Ra(t) < d_c(low)) and IL1β(t) > c(mid) and IL1Ra(t) > c(mid)",0.6634598,"globally[1,7](d_IL1β(t) > d_c(low)) and globally[1,7](d_IL1Ra(t) > d_c(low)) implies eventually[8,14](d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high)) and globally[15,inf](d_IL1β(t) < d_c(low)) and globally[15,inf](d_IL1Ra(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.489517,"d_IFNα(t) < d_c(low) implies d_IL8(t) > c(high) and eventually[7,inf](d_IL8(t) > c(high) and d_IL8(t) < d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6093871,"globally[1,inf](d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high)) and eventually[8,14]globally(d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) and eventually[15,inf](SARSCoV2(t)=c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6816719,"globally[1,inf](d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) and eventually[8,14]globally(d_IL1β(t) > d_c(high) and d_IL1Ra(t) < d_c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.692901,"globally[0,inf](d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) implies eventually[1,7]globally(d_IL1β(t)=d_c(low)) and eventually[8,14]globally(d_IL1β(t)=c(mid)) and eventually[15,inf]globally(d_IL1β(t)=d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.59834576,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,inf](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",,,,,0.6792037,"eventually[2,inf]globally(IL1β(t) > c(low)) and eventually[2,inf]globally(IL1Ra(t) > c(low))",,,,,,,0.6747856,"eventually[1, inf](d_IL1β(t)=d_c(high) and d_IL1Ra(t)=d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.59834576,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,inf](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.45681193,d_IL1β(t)=d_c(high) implies d_IFNα(t) > d_c(low),,,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
