S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S9-F3,S9-F3 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S13-F3,S13-F3 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S14-F3,S14-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S15-F3,S15-F3 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S16-F3,S16-F3 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S18-F3,S18-F3 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S19-F3,S19-F3 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S20-F3,S20-F3 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S21-F3,S21-F3 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S22-F3,S22-F3 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S23-F3,S23-F3 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim,S24-F3,S24-F3 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S25-F3,S25-F3 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim,S27-F0,S27-F0 sim,S27-F1,S27-F1 sim,S27-F2,S27-F2 sim,S27-F3,S27-F3 sim,S28-F0,S28-F0 sim,S28-F1,S28-F1 sim,S28-F2,S28-F2 sim,S28-F3,S28-F3 sim,S29-F0,S29-F0 sim,S29-F1,S29-F1 sim,S29-F2,S29-F2 sim,S29-F3,S29-F3 sim,S30-F0,S30-F0 sim,S30-F1,S30-F1 sim,S30-F2,S30-F2 sim,S30-F3,S30-F3 sim,S31-F0,S31-F0 sim,S31-F1,S31-F1 sim,S31-F2,S31-F2 sim,S31-F3,S31-F3 sim,S32-F0,S32-F0 sim,S32-F1,S32-F1 sim,S32-F2,S32-F2 sim,S32-F3,S32-F3 sim
0.65791744,"d_IL1β(t)=d_c(high) and d_IL1Ra(t)=d_c(high) and globally[1,∞](d_IL1β(t) < c(high) and d_IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6683087,"globally[1,∞](d_IL1β(t) = d_c(low)) and globally[1,14](d_IL1β(t) > d_c(high)) and eventually[15,∞](d_IL1β(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.6556485,"globally[1,∞](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6708346009254456,"eventually[1,7]globally(d_IL1β(t) > d_c(low) and d_IL1Ra(t) < d_c(low)) and eventually[8,14]globally(d_IL1β(t) > d_c(high) and d_IL1Ra(t) < d_c(high)) and eventually[15,∞]globally(d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.20299553871154785,d_IFNα(t) < d_c(high) implies d_SARSCoV2(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6343594789505005,"d_IL1β(t)=c(low) implies d_IL1Ra(t) > c(high) and globally[15,∞](d_IL1Ra(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6828488707542419,"globally[1,7](d_IL1β(t) > c(low)) implies globally[8,14](IL1β(t) = c(low) and d_IL1β(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3928520679473877,"globally[15,∞](d_IFNα(t) > 0)",N/A,N/A,N/A,N/A,0.6489541530609131,"globally[1, ∞](d_IL1β(t) < d_c(high)) and globally[1, ∞](d_IL1Ra(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6356990933418274,"globally[0,∞](d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7463595867156982,"globally[1,∞](IL1β(t)<c(mid) and IL1Ra(t)<c(mid))",N/A,N/A,N/A,N/A,0.7150958776473999,"globally[1,7](IL1β(t) < c(low)) and globally[1,7](IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7397472262382507,"eventually[8, ∞]globally(IL1β(t) < c(mid) and IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6467517614364624,"globally[0,∞](d_IL1β(t) > d_c(high) and d_IL1Ra(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5783902406692505,"globally[0,8](IL1Ra(t) > c(low)) implies eventually[1,∞](IFNα(t) > c(high))",0.6750462651252747,"globally[1,14](d_IL1β(t) < d_c(low)) and globally[1,14](d_IL1Ra(t) < d_c(low)) and eventually[15,∞](d_IL1β(t) > d_c(high)) and eventually[15,∞](d_IL1Ra(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3635498285293579,IL1Ra(t) > c(mid) implies SARSCoV2(t)=c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6584205031394958,"globally[1,7](d_IL1β(t)=0) implies globally[8,14](d_IL1β(t) > d_c(low)) and globally[8,14](d_IL1β(t) < d_c(high))",N/A,N/A,N/A,N/A,0.7463431358337402,"eventually[1,14]globally(d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.7107300758361816,"globally[0,∞](d_IL1β(t) < c(low) and d_IL1Ra(t) < c(low)) and eventually[0,7](d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid)) and globally[7,14](d_IL1β(t) > c(high) and d_IL1Ra(t) > c(high)) and eventually[14,∞](d_IL1β(t) < c(low) and d_IL1Ra(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.5983457565307617,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.45014622807502747,"IL6(t) > c(high) and eventually[0,∞]globally(d_IL6(t) < d_c(high) and IL8(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5530761480331421,"eventually[14,∞]globally(d_IL12(t) = 0) and d_IL12(t) > d_c(low) and IL8(t) > c(mid)",N/A,N/A,N/A,N/A,0.4690055251121521,"globally[19,∞](IL12(t)=c(mid))
",N/A,N/A,N/A,N/A,N/A,N/A,0.7223982810974121,"eventually[1,∞](d_IL1β(t)=c(mid) implies d_IL1Ra(t)=d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.32955026626586914,"d_IFNβ(t) < d_c(low) and eventually[14,15]globally(d_IFNβ(t)=d_c(low) and d_IFNα(t)=d_c(low))",N/A,N/A,N/A,N/A,0.6194680333137512,"d_IL1β(t) = d_c(low) implies IL1β(t) < c(low) and d_IL1Ra(t) = d_c(low) implies IL1Ra(t) < c(low) and eventually[14,∞]globally(d_IL1β(t) = d_c(low) and d_IL1Ra(t) = d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6788793206214905,"globally[0,14](d_IL1β(t) < d_c(high)) and globally[0,14](d_IL1Ra(t) < d_c(high))",N/A,N/A,N/A,N/A,0.7214245796203613,"eventually[6,14](d_IL1β(t)=c(high) and d_IL1Ra(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7169387340545654,"eventually[1, ∞]globally(d_IL1β(t) > c(high) and d_IL1Ra(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A
0.68002826,"globally[1,15](d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.625682,"globally[3,∞](d_IL1β(t) > d_c(high) implies d_IL1Ra(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6835551261901855,"eventually[1,7]globally(d_IL1β(t) < c(high)) and eventually[1,14]globally(d_IL1β(t) = c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(low)) and eventually[16,∞]globally(d_IL1β(t) < c(low)) and eventually[1,14]globally(d_IL1Ra(t) < c(high)) and eventually[15,∞]globally(d_IL1Ra(t) < c(low)) and eventually[1,14]globally(d_IL1Ra(t) < c(low)) and eventually[15,∞]globally(d_IL1Ra(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.552648663520813,"eventually[2,∞](IL12(t)=c(high)) and TNFα(t) < c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7273650169372559,"globally[1,7](d_IL1β(t)=c(high) and d_IL1Ra(t)=c(high))",0.6747856140136719,"eventually[1,∞](d_IL1β(t)=d_c(high) and d_IL1Ra(t)=d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3149881660938263,IL6(t) > c(mid) implies SARSCoV2(t) < c(high),N/A,N/A,0.52825528383255,"globally[4,16](IL1RN(t)=c(mid)) implies eventually[0,18]globally(d_IL6(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.49159497022628784,"eventually[1, ∞](d_IL6(t)=d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7244365215301514,"globally[6,∞](d_IL1β(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6980922222137451,"eventually[15,∞]globally(IL1β(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A
0.6070304,"IL6(t) < c(low) and globally[0,7](d_IL6(t) > d_c(high)) and eventually[7,14](d_IL6(t) = d_c(high)) and globally[14,∞](d_IL6(t) < d_c(high)) and IL1β(t) < c(low) and globally[0,7](d_IL1β(t) > d_c(high)) and eventually[7,14](d_IL1β(t) = d_c(high)) and globally[14,∞](d_IL1β(t) < d_c(high)) and IL1Ra(t) < c(low) and globally[0,7](d_IL1Ra(t) > d_c(high)) and eventually[7,14](d_IL1Ra(t) = d_c(high)) and globally[14,∞](d_IL1Ra(t) < d_c(high)) and IL8(t) < c(low) and globally[0,7](d_IL8(t) > d_c(high)) and eventually[7,14](d_IL8(t) = d_c(high)) and globally[14,∞](d_IL8(t) < d_c(high)) and IFNα(t) < c(low) and globally[0,7](d_IFNα(t) > d_c(high)) and eventually[7,14](d_IFNα(t) = d_c(high)) and globally[14,∞](d_IFNα(t) < d_c(high)) and SARSCoV2(t) < c(low) and globally[0,7](d_SARSCoV2(t) > d_c(high)) and eventually[7,14](d_SARSCoV2(t) = d_c(high)) and globally[14,∞](d_SARSCoV2(t) < d_c(high)) and IL1RN(t) < c(low) and globally[0,7](d_IL1RN(t) > d_c(high)) and eventually[7,14](d_IL1RN(t) = d_c(high)) and globally[14,∞](d_IL1RN(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6996176,"globally[2,∞](d_IL1β(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5614956617355347,"eventually[10,20](d_IFNβ(t) > 0 implies d_IFNα(t)=d_c(high)) and d_IL6(t) = c(mid) and IL1RN(t) = c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7139830589294434,"globally[0,14](IL1β(t)=c(mid)) implies eventually[15,∞]globally(d_IL1β(t) < d_c(low) and d_IL1Ra(t)=c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6163464188575745,"IL1β(t)=c(low) and d_IL1β(t) < d_c(low) and IL1Ra(t)=c(low) and d_IL1Ra(t) < d_c(low) and eventually[1,∞](IL1β(t)=c(low)) and eventually[1,∞](IL1Ra(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6822085380554199,"eventually[1,∞](d_IL1β(t)=d_c(high)) and eventually[1,∞](d_IL1Ra(t)=d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7244365215301514,"globally[6,∞](d_IL1β(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5784188508987427,d_IL1β(t) < c(mid) implies d_IL1Ra(t) < c(mid),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5589216947555542,"globally[3,17](IL1RN(t) > c(low) and IL8(t) > c(high)) and TNFα(t)=c(low) and IFNα(t) < c(high)",0.6909807324409485,"globally[7,∞](IL1β(t) < c(high)) and globally[7,∞](IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.34363120794296265,d_IL6(t) < d_c(low) and d_IL12(t)=d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.6200723052024841,"IL6(t)=c(low) and IL12(t)=c(low) and IL1β(t)=c(mid) and IL1Ra(t)=c(mid) and SARSCoV2(t) < c(high) and d_SARSCoV2(t) < d_c(low) and d_IL8(t) < d_c(low) and globally[1,∞](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.607669472694397,"globally[0,1](d_IL6(t) < c(high)) and globally[1,∞](d_IL1β(t) < c(high)) and d_IL1Ra(t) < c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.38872662,IL6(t)=c(low) implies d_IL6(t) < d_c(high) and d_IL12(t) > d_c(high) implies d_IFNα(t)=d_c(high),N/A,N/A,N/A,N/A,0.65252024,d_IL1β(t) < c(mid) and d_IL1Ra(t) > d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.58444273,"globally[1,∞](d_IL1β(t) > c(mid) implies d_SARSCoV2(t)=0)",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.6284368,"IL6(t) = c(mid) and IL12(t) = c(high) and IL1β(t) = c(high) and IL1Ra(t) = c(high) and globally[15, ∞](d_TNFα(t) < d_c(low)) and IL8(t) > c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.62720037,"globally[1,∞](IL8(t) < c(mid) implies d_TNFα(t) < d_c(high)) and d_IL1β(t) = c(low) implies d_IL1Ra(t) > c(high) and globally[1,∞](IL6(t) < c(low) implies d_IL1β(t) < d_c(high))",N/A,N/A,0.5932637,"eventually[1, ∞]globally(d_IL1β(t) > d_c(high) implies d_IL1β(t)=d_c(low)) and eventually[1, ∞]globally(d_IL1Ra(t) > d_c(high) implies d_IL1Ra(t)=d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.66589904,"eventually[1,∞]globally(d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7153691,"eventually[1, ∞]globally(IL1β(t) > c(high) and IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
