S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim
N/A,N/A,0.6119703,d_IL8(t) = d_c(high) implies IL1β(t) < c(mid),0.4627543,IL6(t) = c(high),N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5479461,IL8(t) > c(high),N/A,N/A,0.5693258,"globally[0,3](d_IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5667956,"eventually[3,∞]globally(IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.56892985,"globally[3,∞](IL8(t) > c(high))",N/A,N/A,0.5479461,IL8(t) > c(high),N/A,N/A,0.5693258,"globally[0,3](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.56693,"globally[1,3](IL8(t) > c(low))",N/A,N/A,0.5725563,"globally[1,3](IL8(t)=c(high))
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.5479461,IL8(t) > c(high),N/A,N/A,0.5394962,"eventually[3,∞](d_IL8(t) > d_c(high)) and globally[3,∞](IL8(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5592712,"globally[3,∞](IL8(t) > c(high)) and d_IL8(t)=0 implies IL8(t)=c(high)",0.5023222,"globally[3,∞](d_IL8(t) > d_c(high))",N/A,N/A,0.5479461,d_IL8(t) > c(high),N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4924449,"eventually[0,3]globally(d_IL8(t) > d_c(high))",N/A,N/A,0.5185344,IL8(t) > c(low) implies IL8(t)=c(low),N/A,N/A,0.50038964,d_IL8(t) < d_c(high) implies IL8(t)=c(mid),N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5887229,IL8(t)=c(low) and SARSCoV2(t) > c(mid),N/A,N/A,N/A,N/A,0.5479461,d_IL8(t) > c(high),N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5934866,"globally[6,∞](d_IL8(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5479461,IL8(t) > c(high),N/A,N/A,0.5406405,"globally[0,3](IL8(t) > c(low))",N/A,N/A,0.6011077,IL6(t) < c(low) and IL12(t) < c(low) and IL1β(t) < c(low) and IL1Ra(t) < c(low) and TNFα(t) < c(low) and IL8(t) > c(low) and IFNα(t) < c(low) and IFNβ(t) < c(low) and SARSCoV2(t) < c(low) and IL1RN(t) < c(low),N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5667956,"eventually[3,∞]globally(IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56892985,"globally[3,∞](IL8(t) > c(high))",N/A,N/A,0.5479461,IL8(t) > c(high),N/A,N/A,0.5693258,"globally[0,3](IL8(t) > c(high))",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56693,"globally[1,3](IL8(t) > c(low))",N/A,N/A,0.5725563,"globally[1,3](IL8(t)=c(high))
",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
