S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[0,3](IL8(t) > c(low))",,,,,0.46267855,"d_IL8(t)=0 and eventually[3,∞]globally(d_IL8(t) < c(low)) implies globally[3,∞](d_IL8(t) = 0)",,,,,0.46267855,IL6(t) > c(mid) and SARSCoV2(t) < c(high),,,,,0.46267855,"IL8(t) > c(low) and eventually[0,∞](d_IL8(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,d_IL8(t) > d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"globally[6,∞](IL8(t)=c(low))",N/A,N/A,0.46267855,"globally[15,∞](IL8(t)=c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"globally[3,∞](IL8(t) > c(high) implies d_IL8(t)=c(low))",0.46267855,"eventually[3, ∞]globally(d_IL8(t) > c(high))",0.46267855,IL6(t) > c(mid) implies SARSCoV2(t) < c(high),N/A,N/A,0.46267855,"globally[3,∞](IL8(t) > c(mid))",0.46267855,IL8(t) > c(high),0.46267855,"globally[0,3](IL8(t) > c(high)) implies eventually[4,∞]globally(SARSCoV2(t)=c(low) implies IL8(t) > c(low))",0.46267855,IL8(t) > c(mid) and d_IL8(t) > d_c(low),0.46267855,"globally[3,∞](IL8(t) > c(high))",0.46267855,IL6(t) = c(low) and d_IL6(t) < 0 and d_IL6(t) > 0,N/A,N/A,N/A,N/A,0.46267855,IL8(t) > c(mid),0.46267855,"globally[0,3](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"globally[0,∞](IL8(t)=c(high))",0.46267855,"eventually[1,3]globally(d_IL8(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A
0.46267855,IL1Ra(t) = c(high),,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,d_IL8(t) > d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,d_IL8(t) > c(high),,,,,0.46267855,d_IL8(t) > c(high) and d_IL8(t) > c(mid) and d_IL8(t) > c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,IL8(t) > c(high) implies d_IL8(t) = d_c(low),,,,,0.46267855,"IL8(t) < c(low) and eventually[6,15](d_IL8(t) > d_c(high)) and IL8(t) < c(mid)",,,,,0.46267855,d_IL8(t) < d_c(high) implies IL8(t)=c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,IL8(t) < c(mid) implies d_TNFα(t) < d_c(high),,,,,0.46267855,IL6(t) = c(high) and IL12(t) = c(high) and IL1β(t) = c(high) and IL1Ra(t) = c(high) and TNFα(t) = c(high) and IFNα(t) = c(high) and IFNβ(t) = c(high) and SARSCoV2(t) = c(high) and IL1RN(t) = c(high),,,,,0.46267855,"eventually[0,3]globally(d_IL8(t) > d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[20,∞](d_IL8(t) > d_c(high))",,,,,0.46267855,IL8(t)=c(low) and SARSCoV2(t) > c(mid),,,,,0.46267855,IL8(t) > c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,d_IL8(t) > c(low) implies IL1Ra(t) < c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,d_IL8(t) > c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,d_IL8(t) > c(low) implies d_IL8(t) = c(high),,,,,0.46267855,"globally[0,3](IL8(t)=c(high))",,,,,0.46267855,d_IL8(t) > d_c(low) implies IL8(t) = c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[3,∞](IL8(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"globally[3, ∞](IL8(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"IL8(t) > c(low) and eventually[0,∞](d_IL8(t) < 0)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,d_IL8(t) > d_c(high),,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"globally[6,∞](IL8(t)=c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46267855,"globally[15,∞](IL8(t)=c(mid))",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46267855,"globally[3,∞](IL8(t) > c(high) implies d_IL8(t)=c(low))",,,0.46267855,"eventually[3, ∞]globally(d_IL8(t) > c(high))",,,,,0.46267855,IL6(t) > c(mid) implies SARSCoV2(t) < c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
