S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim
0.46267855,IL8(t)=c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[0,3](d_IL8(t) > d_c(high))",,,,,,,0.46267855,"globally[20,∞](IL8(t) > c(low))",0.46267855,"globally[7,16](IL8(t)=c(mid))",N/A,N/A,0.46267855,IL8(t) < c(high) implies d_IL8(t) < d_c(high),N/A,N/A,N/A,N/A,0.46267855,"globally[∞,∞](d_IFNα(t) > 0)",0.46267855,d_IL8(t) > d_c(high),0.46267855,IL8(t)=c(low) implies IL1β(t) < c(low),0.46267855,"eventually[14,∞]globally(d_IL8(t) > d_c(low))",0.46267855,"globally[0,∞](IL8(t) > c(low))"
0.46267855,d_IL8(t) > c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[0,3](IL6(t) > c(high)) and eventually[0,∞]globally(IL6(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[0,3](d_IL8(t) > d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[1,3](d_IL8(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[0,3](d_IL8(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[20,∞](IL8(t) > c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[7,16](IL8(t)=c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46267855,IL8(t) < c(high) implies d_IL8(t) < d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.46267855,"globally[∞,∞](d_IFNα(t) > 0)",,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,d_IL8(t) > d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,IL8(t)=c(low) implies IL1β(t) < c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"eventually[14,∞]globally(d_IL8(t) > d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[0,∞](IL8(t) > c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
