S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S15-F3,S15-F3 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S17-F0,S17-F0 sim
0.4893958,"globally[0,3](d_IL8(t) > d_c(high))",,,,,,,0.48273322,d_IL8(t) > d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5912707,"globally[1,3](d_IL8(t) > c(high))",,,,,0.50815624,"globally[0,3](d_IL8(t) > 0)",,,,,,,0.51798344,IL8(t) > c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.56679565,"eventually[3,inf]globally(IL8(t) > c(high))",0.54644215,"IL8(t) > c(mid) and eventually[0,3]globally(d_IL8(t) < d_c(low)) implies globally[0,inf](d_IL8(t) > 0)",N/A,N/A,N/A,N/A,0.5753988,"eventually[1,3]globally(IL8(t) = c(mid))",0.54794604,d_IL8(t) > c(high),0.46773225,IL6(t)=c(high) implies IL12(t) > c(high),0.5756647,"d_IL8(t) > c(low) and eventually[3,inf]globally(d_IL8(t)=c(low))",0.5434675,"globally[0,inf](IL8(t)=c(high))",0.5693258,"globally[0,3](IL8(t) > c(high))",0.54794604,IL8(t) > c(high),0.41369936,"IL12(t) > c(high) and eventually[0,3]globally(d_IL12(t)=d_c(low))",0.4893958,"globally[0,3](d_IL8(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.56679565,"eventually[3,inf]globally(d_IL8(t) > c(high))",0.5472417,"IL6(t) > c(mid) and eventually[0,inf]globally(d_IL8(t)=0 implies d_IL12(t) < d_c(low)) and d_TNFα(t) > 0"
0.522193,IL8(t) = c(high),,,,,,,0.5693258,"globally[0,3](d_IL8(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5628447,"globally[7,inf](IL8(t) < c(high)) and globally[7,inf](IL8(t) > c(low))",,,,,0.54794604,IL8(t) > c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.50795937,"globally[0,inf](d_IL8(t) > c(low)) and d_IL8(t)=0",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55398154,"globally[3,inf](IL8(t)=c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.52832997,IL8(t)=c(low) and d_SARSCoV2(t) > d_c(high),N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5693258,"globally[0,3](IL8(t) > c(high))",,,,,,,0.5295758,IL8(t)=c(high) implies IL8(t) > c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46705675,"d_IL8(t) > d_c(low) and globally[14,inf](d_IL8(t)=0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
