S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S9-F3,S9-F3 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S13-F3,S13-F3 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S14-F3,S14-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S15-F3,S15-F3 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S16-F3,S16-F3 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S18-F3,S18-F3 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S19-F3,S19-F3 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S20-F3,S20-F3 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S21-F3,S21-F3 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S22-F3,S22-F3 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S23-F3,S23-F3 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim,S24-F3,S24-F3 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S25-F3,S25-F3 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim,S27-F0,S27-F0 sim,S27-F1,S27-F1 sim,S27-F2,S27-F2 sim,S27-F3,S27-F3 sim,S28-F0,S28-F0 sim,S28-F1,S28-F1 sim,S28-F2,S28-F2 sim,S28-F3,S28-F3 sim,S29-F0,S29-F0 sim,S29-F1,S29-F1 sim,S29-F2,S29-F2 sim,S29-F3,S29-F3 sim,S30-F0,S30-F0 sim,S30-F1,S30-F1 sim,S30-F2,S30-F2 sim,S30-F3,S30-F3 sim,S31-F0,S31-F0 sim,S31-F1,S31-F1 sim,S31-F2,S31-F2 sim,S31-F3,S31-F3 sim,S32-F0,S32-F0 sim,S32-F1,S32-F1 sim,S32-F2,S32-F2 sim,S32-F3,S32-F3 sim
0.5693258,"globally[0,3](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.599002,"globally[6,∞](IL8(t) > c(mid)) and IL8(t) = c(low) and IL8(t) = c(low) and IL8(t) = c(low)",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5339876,"globally[6,∞](IL8(t)=c(low))",N/A,N/A,0.48102838,"globally[0,∞](IL6(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5518563,"eventually[7,∞]globally(IL8(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.547946035861969,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.5703293085098267,"globally[0, ∞](d_IL8(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6037346124649048,"globally[1,3](IL8(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5779983,"globally[3, ∞](d_IL8(t) > c(low)) and d_IL1β(t) < c(low) implies d_IL1β(t) = d_c(low)",N/A,N/A,N/A,N/A,N/A,N/A,0.5708042979240417,"globally[3,∞](d_IL8(t)=c(high) implies d_IL8(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.54794604,d_IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5221930146217346,IL8(t)=c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5293310880661011,"IL8(t) > c(low) and globally[0,∞](d_IL8(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5567232370376587,IL8(t)=c(high) and IL8(t)=c(mid),N/A,N/A,0.56892991065979,"globally[3, ∞](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.611179769039154,IL8(t) = c(high) and IL12(t) = c(high) and IL1β(t) = c(mid) and IL1Ra(t) = c(high) and TNFα(t) = c(low) and IL1β(t) = c(mid) and IFNα(t) = c(high) and SARSCoV2(t) = c(low) and IL1RN(t) = c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.5609333515167236,"globally[0,∞](d_IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5384989,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.547946035861969,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5693587064743042,IL8(t) < c(mid) and d_IL8(t) > 0,0.47099068760871887,d_IL8(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.54794604,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A
0.42150453,IL6(t) = c(low) implies d_IL6(t) < d_c(high) and d_IFNα(t) > d_c(high) implies d_IFNβ(t) = d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.5660217,"globally[7,∞](d_IL8(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4181756,"eventually[17,∞]globally(IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5708929896354675,"d_IL8(t) > c(high) and eventually[0,3]globally(d_IL8(t)=d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5691578984260559,"eventually[1,3]globally(d_IL8(t) > d_c(low) implies IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5553742,IL6(t) > c(mid) implies SARSCoV2(t) < c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.5023303031921387,"eventually[1, ∞]globally(d_IL8(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5614961981773376,"globally[3, ∞](IL8(t) > c(high)) implies eventually[1,3](IL8(t) = c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.5576306581497192,"IL8(t) > c(high) and eventually[0,∞](d_IL8(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.5254446268081665,d_IL8(t) = c(mid),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.54794604,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.547946035861969,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.5514166355133057,"d_IL8(t)=d_c(low) and eventually[0,∞]globally(IL1Ra(t) > c(high) implies SARSCoV2(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5694776773452759,"IL8(t) < c(low) and globally[6,15](d_IL8(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5725563168525696,"globally[1,3](d_IL8(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5725563168525696,"globally[1,3](d_IL8(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.547946035861969,d_IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.5685683488845825,IL8(t) > c(mid),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5595937967300415,"eventually[0,3](d_IL8(t) > d_c(high))
and IL8(t) = c(high)",N/A,N/A,N/A,N/A,0.5763868,IL8(t) > c(high) and d_IFNα(t) = 0,N/A,N/A,N/A,N/A,N/A,N/A,0.5566732287406921,"globally[3,∞](d_IL8(t) = d_c(low) and IL1Ra(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.547946035861969,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.54794604,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A
0.51321447,"globally[0,3](IL8(t)=c(high) implies d_IL8(t) > d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.5693258,"globally[0,3](d_IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5693258,"globally[0,3](d_IL8(t) > c(high))
",N/A,N/A,N/A,N/A,N/A,N/A,0.49424127,"globally[3,∞](d_IL8(t) > d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.5869402885437012,d_IL8(t) > c(mid) and SARSCoV2(t) = c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.547946035861969,d_IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.588722825050354,IL8(t)=c(low) and SARSCoV2(t) > c(mid),N/A,N/A,N/A,N/A,0.48939579725265503,"globally[0,3](d_IL8(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.547946035861969,"d_IL8(t) > c(high)
",N/A,N/A,N/A,N/A,N/A,N/A,0.54794604,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5179834365844727,d_IL8(t) > c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.4970625042915344,"eventually[0,3](d_IL8(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5693258047103882,"globally[0,3](d_IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5716016888618469,"globally[7,∞](d_IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.61325204,IL6(t) < c(low) and IL12(t) < c(low) and IL1β(t) < c(low) and IL1Ra(t) < c(low) and TNFα(t) < c(low) and IL8(t) > c(low) and IFNα(t) > c(low) and IFNβ(t) > c(low) and SARSCoV2(t) > c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5911696553230286,d_IL8(t) > c(low) implies SARSCoV2(t) < c(mid),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.547946035861969,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5254446268081665,IL8(t)=c(mid),N/A,N/A,N/A,N/A,N/A,N/A,0.54794604,d_IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.5323436856269836,d_IL8(t) > d_c(high) implies TNFα(t) < c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.547946035861969,d_IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.4278327524662018,"IL6(t) = c(low) and eventually[0,∞]globally(d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.53375137,"eventually[5,∞]globally(IL8(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,0.54794604,IL8(t) > c(high),N/A,N/A,0.522193,IL8(t)=c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5845208,IL8(t) > c(mid) and IL8(t) > c(mid) and IL8(t) > c(mid),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5693258047103882,"globally[0,3](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.5090543031692505,IL8(t) > c(high) implies d_IL8(t) < d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5693258,"globally[0,3](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5011647939682007,"eventually[1,3]globally(d_IL8(t) > d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4097212,IL1Ra(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5567895174026489,"eventually[0,3](IL8(t)=c(mid))",N/A,N/A,0.5784820318222046,"eventually[10,11]globally(IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5254446268081665,IL8(t) = c(mid),N/A,N/A,N/A,N/A,N/A,N/A,0.5693258047103882,"globally[0,3](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5938965082168579,"globally[0,3](IL8(t) > c(high)) and eventually[0,3]globally(IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.56093335,"globally[0, ∞](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5071203708648682,IL8(t) > c(high) and d_IL8(t) < d_c(low),N/A,N/A,N/A,N/A,0.547946035861969,IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.48946887,"eventually[2,8]globally(d_IL8(t)=d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.40335965,IL1Ra(t) = c(high) and d_IFNα(t) < d_c(high),N/A,N/A,N/A,N/A,0.5912707,"globally[1,3](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5689299,"globally[3,∞](d_IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5770307,d_IL8(t) = d_c(high) and SARSCoV2(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.59070444,"d_IL8(t)=c(low) implies IL1RN(t) < c(low) and eventually[7,∞]globally(d_IFNα(t) < 0 and IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5243425,"globally[3,∞](IL8(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5467353,"globally[3,∞](IL8(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.58931005,"eventually[3,∞](IL8(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
