S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim
0.29982978,"globally[3,∞](d_IFNβ(t) > d_c(low) implies d_IFNβ(t)=d_c(high))",,,,,0.29982978,"eventually[1,14]globally(d_IFNα(t) < d_c(high) implies d_IL1RN(t)=0)",,,,,0.29982978,SARSCoV2(t) < c(mid) and IL1Ra(t) > c(high) and IL12(t)=c(low) and d_IL12(t) < d_c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,d_IL1Ra(t) < 0 implies SARSCoV2(t) > c(high),,,,,0.29982978,"eventually[11,∞]globally(d_IFNβ(t)=d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"globally[1,7](IFNβ(t)=c(high)) and eventually[8,∞](IFNβ(t)>c(high)) and d_IFNβ(t)=d_c(high)",0.29982978,"d_IL8(t)=d_c(low) implies IL1RN(t) < c(low) and eventually[7,∞](d_IFNα(t) < 0 and IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,IFNβ(t) > c(mid) implies SARSCoV2(t)=c(high),0.29982978,IL8(t)=c(low) implies IL1β(t) < c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,IL8(t) = c(low) and d_IFNα(t) = 0,0.29982978,"globally[1,∞](IL6(t) < c(low) implies d_IL6(t) < d_c(high)) and globally[1,∞](IFNα(t) < c(mid) implies d_IFNα(t) < d_c(high)) and globally[1,∞](IFNβ(t) < c(high) implies d_IFNβ(t) < 0)",0.29982978,"eventually[1,∞]globally(IL1β(t) = c(high) implies IL1β(t) > c(mid))


",N/A,N/A,0.29982978,"eventually[1,∞]globally(d_IL6(t) < 0)",0.29982978,"globally[1,7](IFNα(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"IL6(t) < c(mid) and globally[15,∞](SARSCoV2(t)=c(high) and d_IL6(t) = d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"eventually[1,7](d_IFNβ(t)=0) and globally[8,∞](IFNα(t) < c(mid))",N/A,N/A,N/A,N/A,0.29982978,IL6(t) = c(low) implies d_IL6(t) < d_c(high) and d_IFNα(t) > d_c(high) implies d_IFNβ(t) = d_c(high),0.29982978,IL6(t)=c(low) implies d_IL12(t) < d_c(high),0.29982978,IL12(t)=c(mid) implies IL1β(t) > c(low),N/A,N/A,0.29982978,"globally[1,∞](IL1β(t) < c(low))",0.29982978,IL1RN(t)=c(low) and d_IL1β(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A
0.29982978,"IFNα(t) < c(mid) and d_IFNα(t) < d_c(low) and eventually[8,14]globally(d_IFNα(t) > d_c(high) implies d_IFNα(t) < 0)",,,,,0.29982978,"eventually[7,14]globally(IL1β(t) < c(mid))",,,,,0.29982978,d_IL1Ra(t)=d_c(high) and IL1Ra(t) > c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.29982978,IFNα(t) > c(high) implies IFNα(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,IFNβ(t) < c(low) implies IL6(t)=c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"globally[8,∞](IFNβ(t) < c(mid)) implies eventually[16,∞](d_IL6(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,d_IL8(t) > d_c(low) and d_IFNα(t) > d_c(low) and d_IFNβ(t) > d_c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"globally[1,∞](IFNα(t) = c(mid) implies d_IFNα(t) < d_c(high)) and eventually[8,14]globally(IL6(t) > c(low) and d_IL6(t) < d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.29982978,"eventually[7,∞]globally(d_IFNβ(t) < d_c(low) implies IFNβ(t) < c(mid))",,,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"eventually[3,16]globally(d_IL1β(t) < d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
