S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim
N/A,N/A,0.29982978,"globally[1,7](d_IFNβ(t) = c(low)) and eventually[8,14](d_IFNβ(t) > d_c(high)) and d_IFNβ(t) > c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.29982978,d_IFNβ(t) = d_c(low) implies d_IL6(t) < d_c(high) and d_IFNβ(t) = d_c(high) implies d_IL1β(t) > d_c(high) and d_IFNβ(t) = d_c(low) implies d_IL6(t) < d_c(high) and d_IFNβ(t) = d_c(high) implies d_IL1β(t) > d_c(high),,,,,0.29982978,IFNα(t) < c(high) and d_IFNα(t) < d_c(high),0.29982978,IL8(t) > c(mid) implies IFNβ(t)=c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"eventually[17,∞]globally(IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"globally[7,∞](d_IFNβ(t)=0) implies eventually[15,∞](IFNβ(t) < c(high))",0.29982978,"eventually[8,∞]globally(IFNα(t) > c(mid))",N/A,N/A,0.29982978,"globally[0,∞](d_IL6(t) < c(high)) and eventually[7,∞]globally(d_IL6(t) > d_c(high))"
N/A,N/A,N/A,N/A,0.29982978,IL8(t) > c(mid) implies d_IFNα(t) > d_c(low) and d_IL1β(t) > d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,"globally[8,∞](d_IFNβ(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,IFNα(t) < c(mid) implies IL6(t)=c(low) and d_IFNα(t) < d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,"globally[6,∞](d_IL1β(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.29982978,"globally[8,∞](d_IL1β(t) > c(mid)) implies eventually[16,∞](d_IL1β(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,"d_IFNβ(t) > c(low) and eventually[8,14]globally(d_IFNβ(t)=d_c(low) implies d_IFNβ(t)=c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,d_IFNα(t) < d_c(high) implies TNFα(t) < c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.29982978,"d_IFNβ(t)=d_c(low) implies IL8(t) < c(low) and eventually[7,∞](d_IFNα(t) > d_c(high) and IL8(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,IFNα(t) < c(high) and d_IFNα(t) < d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,IL8(t) > c(mid) implies IFNβ(t)=c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,"eventually[17,∞]globally(IL1Ra(t) < c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,"globally[7,∞](d_IFNβ(t)=0) implies eventually[15,∞](IFNβ(t) < c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,"eventually[8,∞]globally(IFNα(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.29982978,"globally[0,∞](d_IL6(t) < c(high)) and eventually[7,∞]globally(d_IL6(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
