S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S20-F3,S20-F3 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S21-F3,S21-F3 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S25-F3,S25-F3 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim
N/A,N/A,0.29982978,"IL6(t) > c(mid) and globally[0,∞](d_IFNβ(t) = d_c(low) and IL8(t)=c(low)) and d_IFNα(t) < d_c(high) implies SARSCoV2(t) < c(low)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,IL8(t)=c(mid) and SARSCoV2(t) > c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",,,,,,,0.29982978,"eventually[4,5]globally(d_IFNα(t)=d_c(low)) and eventually[12,15](SARSCoV2(t) > c(low))",,,,,,,0.29982978,"globally[7,∞](IFNβ(t) > c(low)) and eventually[8,14] globally(d_IFNβ(t) > d_c(low))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"globally[7,∞](IFNβ(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"eventually[1,∞](d_IL8(t)=0 implies d_IFNβ(t) < d_c(low)) and d_TNFα(t) > 0",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"eventually[8,∞]globally(d_IFNα(t) > c(low))",0.29982978,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and eventually[7,∞]globally(d_IL6(t) = d_c(low))",0.29982978,"globally[1,7](IFNα(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"IL1Ra(t) > c(low) and globally[0,∞](d_IL8(t) > 0)",0.29982978,"globally[0,7](IFNα(t) = c(low)) implies eventually[8,∞](IFNα(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"globally[7,∞](IL1β(t) < c(mid)) implies eventually[8,∞]globally(IL1β(t) > c(high))",0.29982978,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"globally[1,7](IFNβ(t)=c(high) implies IFNα(t) = c(low))
and eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.29982978,IFNα(t) > c(mid) implies d_IFNβ(t) < d_c(high),,,,,,,0.29982978,IFNβ(t) < c(mid) implies IL1RN(t) < c(mid),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,"IL1Ra(t) > c(low) and eventually[1,7](d_IL1Ra(t) < d_c(high)) and globally[8,∞](IL1Ra(t) > c(mid) implies IL1Ra(t) = c(high))",,,,,,,0.29982978,"eventually[1,∞]globally(IL1Ra(t) = c(mid)) implies globally[1,∞](IL1Ra(t) < c(high))",,,,,,,0.29982978,"IL1Ra(t) > c(low) and globally[0,∞](d_IL8(t) > 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,IFNβ(t) > c(low) implies d_TNFα(t) < d_c(high),,,,,,,0.29982978,IFNα(t) = c(low) implies IFNβ(t) > c(mid),,,,,,,0.29982978,"globally[7,∞](d_IFNβ(t) > d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,IL8(t)=c(low) and SARSCoV2(t) > c(mid),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29982978,"IL1β(t) < c(low) and eventually[8,14]globally(d_IFNβ(t) > d_c(high)) and IL1β(t) > c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,IFNα(t) = c(low) implies IFNα(t) < c(high),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29982978,IL1β(t) < c(low) implies IFNα(t)=c(high),,,,,,,0.29982978,d_IL1Ra(t) < c(mid) and d_IL1β(t) > d_c(high),,,,,,,0.29982978,"eventually[1,2]globally(d_IL1Ra(t) > d_c(high)) implies globally[17,∞](IL1Ra(t)=c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
