Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[12,inf](d_IL1β(t) < d_c(low))",0.91214585,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[4,inf]globally(d_IL1β(t)=d_c(low) implies d_SARSCoV2(t) < d_c(low)) and d_IL1RN(t) < d_c(low)",0.7941882,N/A,N/A,N/A,N/A,0,2,0
"eventually[12,inf]globally(d_IL1RN(t) < d_c(low))",0.8130944,N/A,N/A,N/A,N/A,0,2,0
"eventually[12,inf](d_IL1β(t) < d_c(low))",0.9126136,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[12,inf](d_IL1β(t) > d_c(high))",0.88811487,N/A,N/A,N/A,N/A,0,2,0
