S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S26-F0,S26-F0 sim
0.8242436,IL6(t) > c(high) and d_IFNα(t) < d_c(low),,,,,0.35823095,d_IL1Ra(t) < 0 implies SARSCoV2(t) > c(low),,,,,0.71622956,"eventually[10, inf](IL6(t) > c(high) implies IL1β(t) = c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.82717204,"eventually[10,inf](IL6(t) > c(high) implies d_IFNα(t) < d_c(low))",,,,,0.4552005,IL8(t) > c(mid) implies IL1Ra(t)=c(high),,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.79712605,"eventually[10,inf]globally(d_IL6(t) > d_c(low)) and d_IFNα(t) < d_c(low)",0.7888562,IL6(t) > c(high) implies d_IFNα(t) < d_c(low),0.83582187,IL6(t) > c(high) and d_IFNα(t)=d_c(low),N/A,N/A,N/A,N/A,0.6027456,"globally[10,inf](d_IL6(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7920729,d_IL6(t)=c(high) implies d_IFNα(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4729524,"globally[14,inf](d_IL1Ra(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8028662,"d_IL6(t) > d_c(low) and eventually[10,inf]globally(d_IFNα(t) < 0)",0.6881867,IL6(t) > c(high) and d_IFNα(t) > c(mid) and d_TNFα(t) < 0 and IL12(t) > c(high) and d_IL8(t) < 0 and IL8(t) > c(high) and d_SARSCoV2(t) = c(mid) and IL8(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.7757752,"globally[10, inf](IL6(t) > c(high)) implies eventually[10, inf](d_IFNα(t) < d_c(low))",0.7180285,"globally[12,13](IL1RN(t)=c(mid)) and IFNα(t) > c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8015561,IL6(t)=c(mid) implies IFNα(t) < c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.805442,"globally[10,inf](d_IL6(t) = c(high) implies d_IFNα(t) < d_c(low))"
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.80574906,"globally[10,inf](d_IL6(t) > 0) and eventually[0,10](d_IFNα(t) < 0)",,,,,0.6174169,"IL1Ra(t) > c(low) and eventually[10, inf] globally(IL6(t)=c(high) implies IL1RN(t) > c(low))",,,,,0.8087717,d_IL6(t) > c(high) implies d_IFNα(t) < c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7974758,"globally[10,inf](d_IL6(t) > d_c(high)) and d_IFNα(t)=d_c(low)",,,,,0.8380813,IL6(t) = c(high) and d_IFNα(t) = d_c(low),,,,,0.8418559,"eventually[10,inf]globally(IL6(t) > c(high) and IFNα(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7636882,"globally[10,inf](d_IL6(t) > d_c(high) implies d_IFNα(t) < d_c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6426984,d_IFNα(t) > c(low) implies d_IL1β(t) = d_c(high),,,,,0.5557927,d_IL6(t) > 0 and IL12(t) < c(low),,,,,0.664824,"d_IFNα(t) < d_c(low) implies IL12(t)=c(high) and eventually[10,inf]globally(d_IL1β(t) > 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.8125473,"eventually[4,8]globally(d_IFNα(t) < 0) and d_IL6(t) > 0",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.77528304,d_IL6(t) > d_c(high) and d_IFNα(t) = d_c(low),,,,,0.78097343,"IL6(t)=c(high) implies d_IL6(t) < d_c(low) and globally[10,inf](IFNα(t) < c(mid))",,,,,0.7883791,"globally[10,inf](d_IL6(t) > d_c(low)) implies eventually[10,inf](d_IFNα(t)=c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
