S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.27389356,"eventually[18,inf](d_IFNβ(t)=d_c(high))",,,0.65962595,"globally[8,inf](IL1β(t) > c(high))",,,,,0.61149096,"eventually[14,inf]globally(IL1β(t) < c(low)) implies globally[3,inf](d_IL1β(t) < d_c(low))",,,,,N/A,N/A,0.62579215,"globally[7,inf](d_IL1β(t)=0) implies eventually[15,inf](IL8(t) < c(high))",0.6360372,"d_IL1β(t) = c(low) and eventually[3,19](IL1Ra(t) < c(low)) implies globally[11,inf](d_IFNα(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5673176,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,inf](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.3626774,"globally[4,16](IL1RN(t)=c(mid)) implies eventually[0,18]globally(d_IL6(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5619633,"eventually[4,8]globally(d_IFNβ(t) < 0) and d_IL8(t) > 0 and d_IL1β(t) > 0",0.48803008,IL6(t) < c(low) and IL1Ra(t)=c(low),0.50292426,IL6(t) < c(high) and IFNα(t) > c(low),N/A,N/A,N/A,N/A,0.6862613,"globally[inf,inf](d_IL1β(t) = c(low))",0.5501611,"eventually[5,inf](d_IL1β(t) < d_c(low)) and d_SARSCoV2(t) < c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.8050745,d_IL1β(t) < c(low),0.67401814,"globally[10,inf](IL1β(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.64427775,"d_IL1β(t) = c(low) and globally[1,inf](d_CpG2216(t) > d_c(low))",0.6601193,"IL1β(t) < c(low) and globally[inf,inf](d_IL1β(t) > d_c(low))",0.6615983,"globally[inf,inf](IL1β(t) < c(low)) and d_IL1β(t) > d_c(low) and IL1β(t) = c(mid)",0.5617118,IL1β(t)=c(low) implies d_SARSCoV2(t) > d_c(high),0.34124994,"globally[0, inf](IL1RN(t)=c(mid)) implies eventually[4,18]globally(d_IL6(t) > 0)",0.6742827,IL1β(t)=c(low) implies d_IL1β(t) < d_c(high)
0.81270564,d_IL1β(t) = c(mid),,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.54356706,"globally[8,inf](SARSCoV2(t) > c(mid)) implies eventually[1,6](d_IL1β(t)=0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8050745,d_IL1β(t) < c(low),,,,,0.7340803,IL1β(t) = c(low) and d_IL12(t) > c(low),,,,,0.6331841,"globally[1,inf](d_IL1β(t) = d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.6667087,"globally[15,inf](IL1β(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.46250486,"d_IL1Ra(t) < d_c(low) and eventually[11,17]globally(SARSCoV2(t)=c(high) implies IL1RN(t) > c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8082795,d_IL1β(t) < c(mid),,,,,0.82748693,IL1β(t)=c(low),,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8157458,d_IL1β(t) > c(low),,,,,0.70912814,"IL1β(t) = c(low) and globally[0,inf](d_IL1β(t) = d_c(low))",,,,,0.716599,"eventually[7,16](IL1β(t)=c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.62579215,"globally[7,inf](d_IL1β(t)=0) implies eventually[15,inf](IL8(t) < c(high))",,,0.6360372,"d_IL1β(t) = c(low) and eventually[3,19](IL1Ra(t) < c(low)) implies globally[11,inf](d_IFNα(t) > 0)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.5673176,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,inf](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",,,0.3626774,"globally[4,16](IL1RN(t)=c(mid)) implies eventually[0,18]globally(d_IL6(t) > 0)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5619633,"eventually[4,8]globally(d_IFNβ(t) < 0) and d_IL8(t) > 0 and d_IL1β(t) > 0",0.48803008,IL6(t) < c(low) and IL1Ra(t)=c(low),,,,,0.50292426,IL6(t) < c(high) and IFNα(t) > c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.6862613,"globally[inf,inf](d_IL1β(t) = c(low))",0.5501611,"eventually[5,inf](d_IL1β(t) < d_c(low)) and d_SARSCoV2(t) < c(high)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8050745,d_IL1β(t) < c(low),,,,,0.67401814,"globally[10,inf](IL1β(t) < c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
