S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S21-F0,S21-F0 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim
N/A,N/A,0.29494238,"eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5237053,d_SARSCoV2(t)=c(high) implies d_IL1Ra(t) < c(low) and d_TNFα(t) < d_c(high),,,,,0.19097483,"d_IL8(t) > d_c(low) and globally[18,20](d_IFNα(t) < 0)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.14736731,d_IL8(t) < d_c(high) implies IL8(t)=c(mid),0.1793459,IL6(t)=c(high) implies IL12(t) > c(high),0.18275611,"globally[0, inf](IL8(t) < c(low))",N/A,N/A,N/A,N/A,0.35810983,"globally[2,inf](d_IL1β(t) < d_c(high))",N/A,N/A,0.30460182,"eventually[31,inf]globally(IL1Ra(t) > c(low)) and d_IL1β(t) > d_c(low) and IL8(t)=c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,0.20122522,"eventually[3,12](d_IL12(t) < 0) implies eventually[2,16]globally(IL8(t) < c(high))",0.2131845,"eventually[1,2]globally(d_IL1Ra(t) > d_c(high)) implies globally[17,inf](IL1Ra(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.33579046,"eventually[1,11](d_IL6(t) < 0) and eventually[6,20]globally(IFNα(t) < c(mid) and TNFα(t)=c(low))",0.48109868,"globally[31,inf](SARSCoV2(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.27823028,"globally[0,7](IL1β(t)=c(mid)) implies eventually[0,7](d_IL1β(t)=0)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33388335,IL1β(t) > c(high),,,,,0.17047876,"eventually[7,16](IFNβ(t)=c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.52248466,"eventually[8,12]globally(d_SARSCoV2(t) > c(mid))",,,0.50876117,"eventually[31,inf](d_SARSCoV2(t)=c(high))",,,,,0.25301832,"eventually[31, inf]globally(d_IL1Ra(t) < d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48267227,"d_SARSCoV2(t)=0 and globally[0,7](d_SARSCoV2(t) < c(low)) implies eventually[28,inf](d_SARSCoV2(t) = d_c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.36954054,"globally[20,inf](d_IL1β(t) > c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
