S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim
0.44377208,"globally[0,1](RANTES(t) > c(high)) and eventually[1,inf]globally(RANTES(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.59326464,"eventually[1,4]globally(d_RANTES(t) < c(high)) and d_RANTES(t) > c(low) and RANTES(t) > c(mid)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.53091025,"d_RANTES(t)=c(high) and d_RANTES(t) > c(low) and eventually[1,inf]globally(d_RANTES(t) > c(low))",0.21315974,"eventually[1,inf]globally(d_IL1Ra(t) < c(low))
",N/A,N/A,N/A,N/A,N/A,N/A,0.4958685,RANTES(t)=c(mid) implies RANTES(t) > c(low),0.21833307,IL1Ra(t) > c(high) and d_IL8(t) = d_c(low) and d_IFNα(t) > d_c(low) and IL8(t)=c(mid),0.16793631,IL1Ra(t) > c(mid) implies d_IL1Ra(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5496775,"d_RANTES(t) > c(high) and eventually[1,4]globally(RANTES(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17155844,"eventually[1, inf]globally(IL1Ra(t) > c(low) and d_IL1Ra(t)=d_c(low))",0.29204684,"globally[1,inf](d_IL6(t) > c(mid))",0.36375317,"globally[1,inf](d_RANTES(t) > d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A
0.3733973,"d_RANTES(t) > d_c(high) and globally[1,4](d_RANTES(t)=d_c(high) implies d_RANTES(t)=d_c(high))",,,,,0.43509632,"globally[1,inf](RANTES(t) > c(low))
",,,,,0.13946791,"eventually[1, inf]globally(d_IL6(t) < d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.22601923,"globally[4,16](IL1RN(t)=c(mid)) implies eventually[0,18]globally(d_IL6(t) > d_c(high))",,,0.46302262,"eventually[1,inf]globally(RANTES(t)=c(high) and d_RANTES(t) > 0)",,,,,0.16035005,d_IL1RN(t)=0 implies d_IL1Ra(t) < d_c(low) and d_TNFα(t) < d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.37562096,d_RANTES(t) > d_c(high),,,N/A,N/A,N/A,N/A,N/A,N/A,0.23199959,"eventually[0,18]globally(IL6(t)=c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.4560364,RANTES(t) > c(low) implies d_RANTES(t) > d_c(low),,,N/A,N/A,N/A,N/A,N/A,N/A,0.43994644,d_RANTES(t) > d_c(low) implies d_IL1β(t) > d_c(high) and IL1β(t)=c(low) and TNFα(t) > c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.44948572,"globally[1, inf](d_RANTES(t) > c(high)) implies eventually[3,4](d_RANTES(t) > c(high))",,,N/A,N/A,N/A,N/A,N/A,N/A,0.17059389,"eventually[1, inf]globally(IL12(t) > c(high) and d_IL12(t) = d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.34218466,"eventually[1,inf]globally(d_RANTES(t) > d_c(high))",,,N/A,N/A,N/A,N/A,N/A,N/A,0.2017354,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,inf](d_IL6(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43111908,"eventually[1,inf]globally(RANTES(t) > c(high))",,,,,0.24189988,IL6(t) > c(high) implies IL1β(t) < c(low),,,,,0.16325264,d_IL1Ra(t) > c(high) and SARSCoV2(t) > c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
