S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim
0.22851004,"globally[17,19](d_IL6(t) > c(low) and d_IL1Ra(t) = d_c(low)) implies eventually[1,inf](d_IL1Ra(t) = d_c(high))",,,,,0.32958174,"eventually[1,inf](IL8(t) < c(mid)) and IL1RN(t) > c(high)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24101755,d_IL12(t)=c(mid) implies IL1β(t) > c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2866785,"globally[17,19](d_IL1Ra(t) = d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.23284325,IL12(t) < c(mid) implies d_IFNβ(t)=d_c(low),N/A,N/A,0.24554679,d_IL1β(t)=0 and IL1Ra(t) > c(low),0.22806668,"IL6(t) > c(low) and globally[0,inf](d_IL12(t) < d_c(high))",0.3855766,"eventually[17,19]globally(d_IL8(t)=c(low) and SARSCoV2(t)>c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2622245,"IL8(t) < c(low) and globally[6,15](d_IL1β(t) > d_c(high)) and IL1β(t) > c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48499393,"globally[17,19](IL1Ra(t)=c(low) implies d_IgG(t) > 0)",0.32958174,"eventually[1,inf](IL8(t) < c(mid)) and IL1RN(t) > c(high)",0.26871783,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and eventually[14,15]globally(d_IFNα(t)=d_c(high) and IFNβ(t) > c(low))",0.23550816,"globally[17,inf](d_IL17(t)=0) implies eventually[3,inf](IL17(t) < c(low))",0.20383231,IL6(t) < c(low) and IL1Ra(t)=c(low),0.36539578,"eventually[17,19]globally(SARSCoV2(t) < c(mid))",0.17666665,"eventually[2,8]globally(d_IFNβ(t)=d_c(low))",0.30660772,"eventually[17,inf](d_IL1β(t)=d_c(high) and IL8(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.3785574,"eventually[17,19](IL12(t) > c(low) and SARSCoV2(t) < c(low))",,,N/A,N/A,N/A,N/A,N/A,N/A,0.25439125,"globally[17,19](d_IL8(t)=c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.12917213,d_IFNα(t) < d_c(high) implies TNFα(t) < c(low),,,0.27450836,"eventually[17,19]globally(d_IL8(t)=0)",,,,,0.20078175,d_IL1RN(t)=0 implies d_IL1Ra(t) < d_c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.3503668,"d_IL1Ra(t) < d_c(low) and eventually[0,16]globally(SARSCoV2(t)=c(high) implies IL1RN(t) > c(low))",,,0.28619057,"globally[17,19](d_IFNα(t) = c(mid))",,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3611127,"globally[5,inf](IL1Ra(t) > c(mid) implies SARSCoV2(t)=c(high))",,,,,0.3338136,"globally[17,inf](d_IL8(t)=d_c(low)) and d_SARSCoV2(t)=c(mid)",,,,,0.30672485,"globally[17, inf](d_IL6(t) = d_c(low) and IL1RN(t) < c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23284325,IL12(t) < c(mid) implies d_IFNβ(t)=d_c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.3400287,"eventually[17,inf]globally(SARSCoV2(t) > c(mid) implies d_SARSCoV2(t) = c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
