Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
d_SARSCoV2(t) < d_c(low),0.53792655,d_SARSCoV2(t) < d_c(low),0.53792655,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
SARSCoV2(t) < c(low),0.6519765,SARSCoV2(t) < c(low),0.6519765,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
N/A,N/A,N/A,N/A,0,0,1
