S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim
0.6354313,IL12(t) > c(high) and d_IL12(t) > d_c(low),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.77276057,"IL12(t) = c(high) and eventually[14,inf]globally(IL12(t) > c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7668236,"IL12(t) > c(high) and eventually[14, inf]globally(IL12(t) = c(high))",0.7700207,"IL12(t) > c(mid) and eventually[14,inf]globally(IL12(t) = c(mid))",0.750351,"globally[14,inf](IL12(t) = c(high))",0.6976441,"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(mid))",N/A,N/A,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",0.7479284,"eventually[14,inf]globally(IL12(t) = c(mid))",0.7667586,"IL12(t) > c(mid) and eventually[14,inf](IL12(t) = c(mid))",0.7609356,"eventually[14,inf](IL12(t) = c(high))",0.6822815,"IL12(t) > c(high) and globally[14,inf](d_IL12(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7756728,"eventually[14,inf](IL12(t) > c(high))",0.72096,"d_IL12(t) > 0 and eventually[14, inf](IL12(t)=c(mid))",0.78902733,"eventually[14, inf](IL12(t) > c(mid))",0.7668236,"IL12(t) > c(high) and eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",0.6395014,"eventually[14,inf]globally(d_IL12(t) > d_c(high))"
0.5533997,d_IL12(t) < d_c(low),,,,,,,0.69964564,"eventually[14,inf](IL12(t) > c(high) and d_IL12(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7479284,"eventually[14,inf]globally(IL12(t)=c(mid))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7756728,"eventually[14,inf](IL12(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7672795,"eventually[14,inf]globally(IL12(t) > c(high))",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66947067,"eventually[14,inf](d_IL12(t) > 0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7479284,"eventually[14,inf]globally(IL12(t) = c(mid))",,,0.78053147,"eventually[14,inf]globally(IL12(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.750351,"globally[14,inf](IL12(t) = c(high))",,,,,,,0.5911647,IL12(t) > c(high) and d_IL12(t) > d_c(high) and IL12(t) = c(high) and d_IL12(t) > d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
