S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S19-F3,S19-F3 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S22-F3,S22-F3 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
0.65031075,d_IL12(t) = d_c(high) and IL12(t) > c(high),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.69625175,IL12(t) > c(high) and d_IL12(t) > 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7609356,"eventually[14,inf](IL12(t) = c(high))",,,,,0.7085985,IL12(t) = c(high),,,,,,,0.6475626,"eventually[14,inf](d_IL12(t)=d_c(high))",,,,,,,0.7756728,"eventually[14,inf](IL12(t) > c(high))",0.7513056,"eventually[14,inf](IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73129153,"eventually[14,inf](IL12(t)=c(high)) and IL12(t) < c(high) and eventually[14,inf](IL12(t)=c(high))",0.6994312,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.78902733,"eventually[14,inf](IL12(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7513056,"eventually[14,inf](IL12(t)=c(mid))",0.7085985,IL12(t) = c(high),0.58587146,d_IL12(t) > d_c(high),0.756138,"eventually[14,inf]globally(d_IL12(t) > 0 and IL12(t) > c(mid))",0.7505641,"eventually[14,inf](d_IL12(t) > 0) and IL12(t) > c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7756728,"eventually[14,inf](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7672795,"eventually[14,inf]globally(IL12(t) > c(high))",N/A,N/A,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7581042,"IL12(t) = c(high) and eventually[14,inf](IL12(t) = c(high))",0.63308907,"eventually[14,inf]globally(d_IL12(t) > d_c(low))",0.6448179,"eventually[14,inf](d_IL12(t) > d_c(high))",0.6954911,IL12(t) = c(mid)
N/A,N/A,0.7609356,"eventually[14,inf](IL12(t) = c(high))",,,,,0.6448179,"eventually[14, inf](d_IL12(t) > d_c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6885539,"IL12(t) > c(high) and eventually[14,inf]globally(d_IL12(t) > d_c(high))",,,,,,,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,0.7581042,"IL12(t) = c(high) and eventually[14,inf](IL12(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78375876,"eventually[14,inf](IL12(t) = c(high)) and IL12(t) < c(mid)",,,,,,,0.714465,IL12(t) > c(high),,,,,,,0.7355144,"globally[14,inf](IL12(t) = c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7513056,"eventually[14,inf](IL12(t) = c(mid))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.714465,IL12(t) > c(high),,,,,,,0.78902733,"eventually[14,inf](IL12(t) > c(mid))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7672795,"eventually[14,inf]globally(IL12(t) > c(high))",,,,,,,0.7756728,"eventually[14,inf](IL12(t) > c(high))",,,,,,,0.7513056,"eventually[14, inf](IL12(t) = c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7672795,"eventually[14, inf]globally(IL12(t) > c(high))",,,0.66947067,"eventually[14,inf](d_IL12(t) > 0)",,,,,,,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7672795,"eventually[14,inf]globally(IL12(t) > c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6160041,"eventually[14,inf]globally(d_IL12(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
