S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S9-F3,S9-F3 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S13-F3,S13-F3 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S14-F3,S14-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S15-F3,S15-F3 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S16-F3,S16-F3 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S18-F3,S18-F3 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S19-F3,S19-F3 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S20-F3,S20-F3 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S21-F3,S21-F3 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S22-F3,S22-F3 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S23-F3,S23-F3 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim,S24-F3,S24-F3 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S25-F3,S25-F3 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim,S27-F0,S27-F0 sim,S27-F1,S27-F1 sim,S27-F2,S27-F2 sim,S27-F3,S27-F3 sim,S28-F0,S28-F0 sim,S28-F1,S28-F1 sim,S28-F2,S28-F2 sim,S28-F3,S28-F3 sim,S29-F0,S29-F0 sim,S29-F1,S29-F1 sim,S29-F2,S29-F2 sim,S29-F3,S29-F3 sim,S30-F0,S30-F0 sim,S30-F1,S30-F1 sim,S30-F2,S30-F2 sim,S30-F3,S30-F3 sim,S31-F0,S31-F0 sim,S31-F1,S31-F1 sim,S31-F2,S31-F2 sim,S31-F3,S31-F3 sim,S32-F0,S32-F0 sim,S32-F1,S32-F1 sim,S32-F2,S32-F2 sim,S32-F3,S32-F3 sim
0.7313174,"eventually[14,∞]globally(IL12(t) = c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.75818545,"eventually[14,∞]globally(IL12(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.75818545,"eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7531867,"eventually[14,∞](IL12(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76093566,"eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.714465,IL12(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.7248837947845459,"eventually[14,∞]globally(IL12(t) > c(high)) and globally[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6954909563064575,IL12(t) = c(mid),N/A,N/A,N/A,N/A,N/A,N/A,0.7279431223869324,"eventually[14,∞]globally(d_IL12(t) = 0) and IL12(t) < c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,0.6395014524459839,"eventually[14,∞]globally(d_IL12(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.68271196,"eventually[14,∞](IL12(t)=c(high)) implies globally[14,∞](IL12(t)=c(high)) and globally[14,∞](IL12(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7453266382217407,"IL12(t) = c(high) and d_IL12(t) > 0 and globally[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6395014524459839,"eventually[14,∞]globally(d_IL12(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.750541627407074,"IL12(t) = c(mid) and eventually[14,∞]globally(IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7672796845436096,"eventually[14,∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7890273332595825,"eventually[14,∞](IL12(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.575758695602417,d_IL12(t) = 0,N/A,N/A,N/A,N/A,N/A,N/A,0.7503511,"globally[14,∞](IL12(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7589585781097412,"globally[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7672796845436096,"eventually[14,∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7144650220870972,IL12(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.77567303,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7384874224662781,"globally[14,∞](IL12(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7672796845436096,"eventually[14,∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7672796845436096,"eventually[14, ∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7316466569900513,"eventually[14,∞]globally(d_IL12(t) > 0) and IL12(t) = c(high)",N/A,N/A,N/A,N/A,N/A,N/A
0.6564058,"eventually[14,∞]globally(IL12(t) > c(high)) implies globally[14,∞](d_IL12(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.76682365,"IL12(t) > c(high) and eventually[14, ∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7531867,"eventually[14,∞](IL12(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7589585781097412,"globally[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6694706678390503,"eventually[14,∞](d_IL12(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.7589586,"globally[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7581854462623596,"eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7609356641769409,"eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6395014524459839,"eventually[14,∞]globally(d_IL12(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7609356641769409,"eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7144650220870972,IL12(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.63950145,"eventually[14,∞]globally(d_IL12(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.721174418926239,"globally[14,∞](IL12(t) = c(low))",N/A,N/A,N/A,N/A,0.7890273332595825,"eventually[14,∞](IL12(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7727606892585754,"IL12(t) = c(high) and eventually[14, ∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7727607,"IL12(t) = c(high) and eventually[14,∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7609356641769409,"eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6607651710510254,"eventually[14,∞]globally(d_IL12(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.774347722530365,"IL12(t) = c(mid) and eventually[14, ∞](IL12(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7756730318069458,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,0.7479285001754761,"eventually[14,∞]globally(IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.75818545,"eventually[14,∞]globally(IL12(t)=c(high))",N/A,N/A,N/A,N/A,0.7672797,"eventually[14,∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.76093566,"eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.69140446,IL12(t) > c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.7756730318069458,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6845245361328125,"eventually[14,∞](IL12(t) = c(mid) implies d_IL12(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7217154502868652,"eventually[14,∞]globally(IL12(t) > c(mid) and d_IL12(t) > d_c(high))",N/A,N/A,N/A,N/A,0.6948642730712891,"eventually[14,∞](d_IL12(t) < 0) and IL12(t)=c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.78053147,"eventually[14,∞]globally(IL12(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7609356641769409,"eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,0.7609356641769409,"eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6914044618606567,IL12(t) > c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.6527495384216309,IL12(t) = c(mid) and d_IL12(t) = 0,N/A,N/A,N/A,N/A,N/A,N/A,0.601199746131897,IL12(t) = c(low) and d_IL12(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.7609356641769409,"eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76324546,"IL12(t) = c(high) and eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7609356641769409,"eventually[14,∞](IL12(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7756730318069458,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.766840398311615,"IL12(t) > c(high) and eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7581854462623596,"eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7581854462623596,"eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7355144,"globally[14,∞](IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7531867027282715,"eventually[14,∞](IL12(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7805314660072327,"eventually[14,∞]globally(IL12(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7672796845436096,"eventually[14,∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7513056993484497,"eventually[14,∞](IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7756730318069458,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7322590351104736,"IL12(t) = c(mid) and globally[14,∞](d_IL12(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.7756730318069458,"eventually[14, ∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.77567303,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,0.7440386,"IL12(t) > c(mid) and eventually[14,∞]globally(d_IL12(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.7019286,"eventually[14,∞]globally(d_IL12(t) > d_c(high) and IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.69549096,IL12(t)=c(mid),N/A,N/A,N/A,N/A,N/A,N/A,0.7279194593429565,IL12(t) > c(mid),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.705647349357605,"IL12(t) > c(mid) and eventually[14,∞](d_IL12(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76093566,"eventually[14,∞](IL12(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7479285001754761,"eventually[14,∞]globally(IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7668236494064331,"IL12(t) > c(high) and eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.688554048538208,"IL12(t) > c(high) and eventually[14,∞]globally(d_IL12(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7609356641769409,"eventually[14,∞](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.76682365,"IL12(t) > c(high) and eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7668236494064331,"IL12(t) > c(high) and eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7318392395973206,"IL12(t) > c(high) and globally[14,∞](d_IL12(t) > d_c(high)) and IL12(t) = c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,0.728091299533844,"eventually[14,∞]globally(IL12(t)=c(high)) and globally[14,∞](IL12(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7805314660072327,"eventually[14,∞]globally(IL12(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7581854462623596,"eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73516715,"IL12(t) = c(high) and d_IL12(t) > 0 and eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7281036376953125,"IL12(t) > c(high) and globally[14,∞](d_IL12(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.6607651710510254,"eventually[14,∞]globally(d_IL12(t) > 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.7384874224662781,"globally[14,∞](IL12(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7756730318069458,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7890273332595825,"eventually[14,∞](IL12(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7756730318069458,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.77567303,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.70859855,IL12(t) = c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.6448179,"eventually[14,∞](d_IL12(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.69549096,IL12(t) = c(mid),N/A,N/A,N/A,N/A,N/A,N/A,0.70859855,IL12(t) = c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.75818545,"eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.77567303,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,0.714465,IL12(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.77567303,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.71808475,"eventually[14,∞](IL12(t)=c(high)) and TNFα(t) < c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.78902733,"eventually[14,∞](IL12(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7513057,"eventually[14, ∞](IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
