S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S13-F3,S13-F3 sim,S14-F0,S14-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"eventually[0,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,"eventually[1,∞]globally(IL6(t) > c(mid) and IL6(t) < c(low))",0.7253518,"eventually[0,7](IL6(t)=c(high)) and d_IL6(t) < d_c(high)",0.7253518,"eventually[0,7]globally(IL6(t) = c(mid) and IL6(t) > c(low)) and eventually[0,7](d_IL6(t) < d_c(high))",0.7253518,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(mid))",0.7253518,"globally[0,7](IL6(t)=c(mid)) and globally[7,∞](IL6(t) < c(low))",0.7253518,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,"eventually[0,7]globally(IL6(t) > c(high)) implies globally[0,7](IL6(t) < c(mid))",0.7253518,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,"globally[7,∞](IL6(t) = c(high) implies d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,"globally[0,7](IL6(t) = c(high)) implies globally[7,∞](IL6(t) < c(high))",0.7253518,"eventually[0,7]globally(IL6(t) = c(mid) implies d_IL6(t) < 0) and eventually[7,∞]globally(IL6(t) < c(mid))"
0.7253518,"eventually[0,7](IL6(t)=c(high)) and eventually[7,∞](d_IL6(t) < d_c(low))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"eventually[1,7](IL6(t) > c(high) and d_IL6(t) < d_c(low))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7253518,"eventually[1,7]globally(IL6(t) > c(high)) implies globally[1,∞](IL6(t) < c(high))",,,,,0.7253518,"eventually[0,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"eventually[0,∞]globally(IL6(t) > c(mid) and IL6(t) < c(high)) and eventually[0,∞]globally(IL6(t) < c(high) and d_IL6(t) < d_c(high))",,,,,,,0.7253518,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",,,,,,,0.7253518,"globally[0,7](IL6(t) > c(mid)) and globally[7,∞](IL6(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
