S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S9-F3,S9-F3 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S13-F3,S13-F3 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S14-F3,S14-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S15-F3,S15-F3 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S16-F3,S16-F3 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S18-F3,S18-F3 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S19-F3,S19-F3 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S20-F3,S20-F3 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S21-F3,S21-F3 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S22-F3,S22-F3 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S23-F3,S23-F3 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim,S24-F3,S24-F3 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S25-F3,S25-F3 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim,S27-F0,S27-F0 sim,S27-F1,S27-F1 sim,S27-F2,S27-F2 sim,S27-F3,S27-F3 sim,S28-F0,S28-F0 sim,S28-F1,S28-F1 sim,S28-F2,S28-F2 sim,S28-F3,S28-F3 sim,S29-F0,S29-F0 sim,S29-F1,S29-F1 sim,S29-F2,S29-F2 sim,S29-F3,S29-F3 sim,S30-F0,S30-F0 sim,S30-F1,S30-F1 sim,S30-F2,S30-F2 sim,S30-F3,S30-F3 sim,S31-F0,S31-F0 sim,S31-F1,S31-F1 sim,S31-F2,S31-F2 sim,S31-F3,S31-F3 sim,S32-F0,S32-F0 sim,S32-F1,S32-F1 sim,S32-F2,S32-F2 sim,S32-F3,S32-F3 sim
0.76585317,"eventually[0,∞]globally(IL6(t) > c(mid) and IL6(t) > c(low)) and globally[0,7](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.783935,"globally[0,7](IL6(t) > c(mid) and IL6(t) > c(low)) and eventually[7,∞](IL6(t) < c(mid)) and d_IL6(t) = 0",N/A,N/A,N/A,N/A,N/A,N/A,0.71358335,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7203161,"globally[0,∞](IL6(t) > c(high)) and eventually[1,7]globally(IL6(t) < c(high)) and d_IL6(t) < d_c(low)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.709049,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(low) and d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6594338417053223,IL6(t) > c(high) and d_IL6(t) < d_c(low),N/A,N/A,N/A,N/A,0.7156559228897095,"globally[0,∞](IL6(t) < c(high)) and eventually[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7232669591903687,"globally[0,7](IL6(t) = c(mid)) and globally[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6902639865875244,"globally[0,∞](IL6(t)=c(mid)) implies eventually[1,∞](IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7429897785186768,"globally[1,7](IL6(t) > c(mid)) and globally[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.74120003,"eventually[0,7](IL6(t) > c(mid)) and globally[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6992235,"eventually[1,∞](IL6(t) > c(high) and d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7498578,"globally[0,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7060722708702087,"eventually[0,∞]globally(IL6(t) = c(high)) and eventually[0,∞]globally(IL6(t) < c(high) and d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7158594,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(d_IL6(t) < -d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7059290409088135,"eventually[0,7]globally(IL6(t) < c(high)) and globally[7,∞](IL6(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7661776542663574,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) > c(low)) and globally[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7120000720024109,"eventually[0,∞]globally(IL6(t) > c(high) and IL6(t) < c(low))",N/A,N/A,0.7759659290313721,"IL6(t) > c(mid) and globally[0,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7151815891265869,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(low))",N/A,N/A,N/A,N/A,0.7630599737167358,"eventually[1,7](IL6(t) > c(mid)) and globally[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7087396383285522,"globally[0,1](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7583894729614258,"eventually[1,7]globally(IL6(t) = c(high) and d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6854445338249207,"globally[0,7](IL6(t)=c(mid)) implies globally[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.70320857,"globally[0,∞](IL6(t) > c(mid)) and d_IL6(t) < d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.7360910177230835,"eventually[0,7]globally(IL6(t) = c(high)) and eventually[7,∞]globally(d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.73863435,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.69549185,"globally[1,∞](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7583432,"eventually[1,7]globally(IL6(t) > c(high)) and eventually[1,7]globally(IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7135833501815796,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7511293292045593,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6641175746917725,"eventually[0,7]globally(IL6(t) > c(high)) implies globally[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.715009868144989,"globally[0,1](IL6(t)=c(high)) and eventually[1,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.760043740272522,"globally[0,7](IL6(t) = c(high) and d_IL6(t) < 0) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.72574484,"globally[0,7](IL6(t) > c(mid)) and d_IL6(t) < d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.7133086919784546,"eventually[0,7](IL6(t) = c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.73863435,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.74366176,"eventually[0,7](IL6(t) > c(mid)) and globally[7,∞](IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7564417123794556,"eventually[1,7](IL6(t) > c(mid)) and globally[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7717838,"IL6(t) > c(mid) and eventually[1,7]globally(IL6(t) < c(high)) and d_IL6(t) < d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7310004234313965,"eventually[0,∞]globally(IL6(t) < c(high) and d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.726691722869873,"eventually[0,7]globally(IL6(t) = c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6514798402786255,"globally[0,7](d_IL6(t) < 0) and eventually[7,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6888132095336914,"globally[0,7](IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,0.7058844566345215,"IL6(t) > c(high) and eventually[0,7]globally(IL6(t) < c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7133086919784546,"eventually[0,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t)<c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6352431,"eventually[0,7]globally(d_IL6(t) < d_c(high)) and eventually[7,∞]globally(d_IL6(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7725378274917603,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) < c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6392703056335449,"eventually[0,7](d_IL6(t)=0) and eventually[7,∞](d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.7364077,"eventually[1,∞]globally(IL6(t) > c(mid)) and eventually[1,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,0.73485225,"eventually[0,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.687590479850769,"globally[0,1](IL6(t) > c(high)) and globally[1,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6821891069412231,"globally[0,∞](IL6(t) > c(high) and d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.756989598274231,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7673815488815308,"globally[0,∞](IL6(t) < c(mid) and IL6(t) > c(low)) and eventually[1,7]globally(IL6(t) > c(mid) and d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7246725559234619,"globally[0,7](IL6(t) = c(mid) implies IL6(t) < c(low)) and globally[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7692665457725525,"globally[1,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7417379021644592,"globally[0,7](IL6(t) > c(mid)) and globally[7,∞](IL6(t) < c(low)) and d_IL6(t) = 0",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6863861083984375,"IL6(t) > c(high) and eventually[0,∞]globally(d_IL6(t) < d_c(high))",N/A,N/A,0.7174963,"eventually[0,7](IL6(t) > c(high) and IL6(t) < c(mid)) implies globally[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.774258017539978,"eventually[0,7]globally(IL6(t) > c(mid) and d_IL6(t) < d_c(high)) and globally[7,∞](IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.71372366,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7454617,"eventually[0,7](IL6(t) = c(high)) and d_IL6(t) < 0",N/A,N/A,N/A,N/A,N/A,N/A,0.6549540162086487,"eventually[0,7]globally(d_IL6(t) > 0) and eventually[7,∞]globally(d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.7266917,"eventually[0,7]globally(IL6(t)=c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.686083972454071,"globally[1,7](IL6(t) = c(high)) implies eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7007802724838257,"eventually[1,7]globally(IL6(t)=c(high) implies IL6(t) > c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7132250070571899,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7372696399688721,"globally[0,7](IL6(t) = c(mid)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6686618328094482,"globally[0,7](IL6(t) > c(high)) implies eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.75499797,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) < c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7144815921783447,"globally[0,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.73556215,"eventually[0,1]globally(IL6(t) = c(high)) and eventually[1,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7669231,"eventually[1,7]globally(IL6(t) = c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7424219846725464,"eventually[1,7]globally(IL6(t) > c(high) and d_IL6(t)=d_c(high)) and eventually[7,∞]globally(IL6(t) < c(high) and d_IL6(t)=d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7602207064628601,"eventually[0,7]globally(IL6(t) > c(mid) implies d_IL6(t) < 0) and eventually[7,∞]globally(IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7037723660469055,"eventually[0,1]globally(IL6(t) > c(high)) and eventually[1,∞]globally(IL6(t) < c(low))",N/A,N/A,N/A,N/A,0.7150499820709229,"eventually[0,7]globally(IL6(t) = c(high)) and globally[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7533411979675293,"globally[0,7](IL6(t) = c(high)) and eventually[7,∞](IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.74619985,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7150213122367859,"eventually[0,7]globally(IL6(t)=c(high)) and eventually[7,∞]globally(IL6(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7036258,"eventually[0,7]globally(IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7223851,"eventually[1,∞](IL6(t) > c(mid)) and d_IL6(t) = 0",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6981211,"globally[0,7](IL6(t) > c(high)) and d_IL6(t) < d_c(low)",N/A,N/A,N/A,N/A,N/A,N/A,0.7155892848968506,"eventually[0,7]globally(IL6(t) = c(high)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7137236595153809,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.6815032958984375,"eventually[0,∞](IL6(t) > c(high)) and eventually[0,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.751530647277832,"eventually[1,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7007108926773071,"eventually[1,∞]globally(IL6(t) < c(high)) and d_IL6(t) < d_c(high)",N/A,N/A,N/A,N/A,0.7725378274917603,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) < c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7137236595153809,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7137236595153809,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7620391249656677,"eventually[1,7]globally(IL6(t) > c(high)) and globally[7,∞](IL6(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.7736170291900635,"globally[0,7](IL6(t) > c(high)) and IL6(t) < c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,0.78127456,"eventually[0,7]globally(IL6(t) > c(high)) and d_IL6(t) < d_c(low) and IL6(t) > c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7394667,"eventually[0,7](IL6(t) = c(high)) and globally[7,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7447804,"globally[0,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.74120003,"eventually[0,7](IL6(t) > c(mid)) and globally[7,∞](IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.68413705,IL6(t) = c(high) and IL6(t) < c(high),N/A,N/A,N/A,N/A,0.71192706,"eventually[0,7]globally(IL6(t) > c(low)) and eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7151816,"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.73117363,"eventually[0,7]globally(IL6(t)=c(high) and IL6(t)=c(low))",N/A,N/A,N/A,N/A,0.6842042,"globally[0,7](IL6(t)=c(high)) implies eventually[7,∞]globally(IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.7018719,"eventually[0,7](IL6(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
