Semantic attempt 0,Semantic attempt 0 sim,Number of improvements (relative to start)
"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(d_IL6(t) < 0)",0.73863435,0
N/A,N/A,0
"eventually[0,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(low))",0.7348523,0
N/A,N/A,0
"eventually[1,7](IL6(t) > c(mid)) and eventually[7,∞](IL6(t) < c(low))",0.7498373,0
"eventually[0,1](IL6(t) = c(high)) and d_IL6(t) < d_c(low)",0.69448936,0
"eventually[0,7]globally(IL6(t) > c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",0.71358335,0
"globally[1,∞](IL6(t) > c(mid) and d_IL6(t) < 0)",0.7459059,0
"eventually[1,∞]globally(IL6(t) > c(mid) and d_IL6(t) < 0)",0.7511894,0
"globally[0,7](IL6(t)=c(high)) implies eventually[7,∞](d_IL6(t) < 0)",0.7025001,0
N/A,N/A,0
N/A,N/A,0
"eventually[0,7]globally(IL6(t)=c(high)) and eventually[7,∞]globally(d_IL6(t) < d_c(low))",0.6989701,0
"eventually[0,∞]globally(IL6(t) > c(high)) and d_IL6(t) < 0",0.718982,0
"globally[0,∞](IL6(t)=c(mid) implies d_IL6(t) < d_c(high))",0.6627649,0
"eventually[0,7]globally(IL6(t)=c(high)) and d_IL6(t) < 0",0.74314547,0
"eventually[0,7]globally(IL6(t) = c(high) and d_IL6(t) < 0)",0.7449896,0
IL6(t) = c(high) and d_IL6(t) < 0,0.7175914,0
