S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7124715,"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1Ra(t) < c(high)) and eventually[15,∞]globally(IL1β(t) > c(low)) and eventually[15,∞]globally(IL1Ra(t) > c(low))",0.7117636,"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1Ra(t) < c(high)) and globally[14,∞](IL1β(t) > c(low) and IL1Ra(t) > c(low)) and globally[14,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",N/A,N/A,0.73654354,"IL1β(t) > c(mid) and IL1Ra(t) > c(mid) and globally[1,7](d_IL1β(t) < d_c(high)) and globally[8,14](d_IL1β(t) = d_c(high)) and eventually[14,∞](IL1β(t) < c(mid)) and eventually[14,∞](IL1Ra(t) < c(mid))",N/A,N/A,N/A,N/A,0.7533839,"eventually[1,7]globally(d_IL1β(t) > d_c(low) and d_IL1Ra(t) > c(mid)) and eventually[8,14]globally(d_IL1β(t) = c(high) and d_IL1Ra(t) = c(high)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.6391195,"d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high) and d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high) and eventually[1,7](d_IL1β(t) < d_c(high)) and eventually[8,14](d_IL1β(t) > d_c(high)) and eventually[15,∞](d_IL1β(t) < d_c(high))",N/A,N/A,0.71511257,"eventually[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low) and IL1β(t) < c(high) and IL1Ra(t) < c(high)",N/A,N/A,0.70397997,"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1Ra(t) < c(high)) and globally[15,∞](IL1β(t) > c(low)) and globally[15,∞](IL1Ra(t) > c(low)) and globally[15,∞](IL1β(t) < c(low)) and globally[15,∞](IL1Ra(t) < c(low))",N/A,N/A,0.72417283,"eventually[1,7](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[8,14](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[15,∞](IL1β(t) < c(high) and IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.60591567,IL1β(t) < c(mid),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.661898,"IL1β(t) > c(mid) and IL1Ra(t) > c(mid) and d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low) and d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high) and d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low) and eventually[14,∞](IL1β(t) < c(mid) and IL1Ra(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76150906,"eventually[1,7](IL1β(t) > c(mid)) and eventually[8,14](IL1Ra(t) > c(mid)) and eventually[15,∞](IL1β(t) < c(mid)) and eventually[15,∞](IL1Ra(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73855263,"globally[1,7](IL1β(t) < c(mid)) and globally[8,14](IL1β(t) = c(high)) and globally[15,∞](IL1Ra(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7127982,"globally[1,7](IL1β(t) < c(mid)) and globally[8,14](IL1β(t) = c(high)) and globally[15,∞](IL1β(t) < c(low)) and globally[1,7](IL1Ra(t) < c(mid)) and globally[8,14](IL1Ra(t) = c(high)) and globally[15,∞](IL1Ra(t) < c(low))",0.6719611,"eventually[1,7](IL1β(t) < c(high) implies d_IL1β(t) > d_c(low)) and eventually[8,14](IL1Ra(t) < c(high) implies d_IL1Ra(t) > d_c(low)) and eventually[15,∞](IL1β(t) > c(high) implies d_IL1β(t) < d_c(high)) and eventually[15,∞](IL1Ra(t) > c(high) implies d_IL1Ra(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.7200465,"globally[1,7](IL1β(t) > c(low)) and globally[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low))",0.7502444,"eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) > c(mid)) and eventually[15,∞](IL1β(t) < c(mid)) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) > c(mid)) and eventually[15,∞](IL1Ra(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.72352886,"IL1β(t) < c(mid) and d_IL1β(t) > d_c(low) and eventually[8,14](IL1β(t) > c(mid)) and IL1Ra(t) < c(mid) and d_IL1Ra(t) > d_c(low) and eventually[15,∞](IL1Ra(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7410099,"globally[1,7](IL1β(t) > c(mid)) and globally[8,14](IL1β(t) = c(high)) and globally[15,∞](IL1Ra(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75164604,"eventually[1,7](d_IL1β(t) > 0) and eventually[8,14](d_IL1Ra(t) > 0) and eventually[15,∞](d_IL1β(t) < 0) and eventually[15,∞](d_IL1Ra(t) < 0) and d_IL1β(t)=c(mid) and d_IL1Ra(t)=c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,0.71318877,"globally[1,7](d_IL1β(t) > d_c(high)) and globally[8,14](IL1β(t) = c(high)) and eventually[15,∞](d_IL1Ra(t) < d_c(high))",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.73992574,"eventually[1,7](IL1β(t) < c(mid)) and eventually[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low)) and eventually[1,7](IL1Ra(t) < c(mid)) and eventually[8,14](IL1Ra(t) > c(high)) and eventually[15,∞](IL1Ra(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.7141495,"eventually[1,7]globally(d_IL1β(t) > 0) and eventually[8,14]globally(d_IL1Ra(t) > 0) and eventually[15,∞]globally(d_IL1β(t) < 0) and eventually[15,∞]globally(d_IL1Ra(t) < 0)",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
