Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Semantic attempt 3,Semantic attempt 3 sim,Semantic attempt 4,Semantic attempt 4 sim,Semantic attempt 5,Semantic attempt 5 sim,Semantic attempt 6,Semantic attempt 6 sim,Semantic attempt 7,Semantic attempt 7 sim,Semantic attempt 8,Semantic attempt 8 sim,Semantic attempt 9,Semantic attempt 9 sim,Semantic attempt 10,Semantic attempt 10 sim,Semantic attempt 11,Semantic attempt 11 sim,Semantic attempt 12,Semantic attempt 12 sim,Semantic attempt 13,Semantic attempt 13 sim,Semantic attempt 14,Semantic attempt 14 sim,Semantic attempt 15,Semantic attempt 15 sim,Semantic attempt 16,Semantic attempt 16 sim,Semantic attempt 17,Semantic attempt 17 sim,Semantic attempt 18,Semantic attempt 18 sim,Semantic attempt 19,Semantic attempt 19 sim,Semantic attempt 20,Semantic attempt 20 sim,Semantic attempt 21,Semantic attempt 21 sim,Semantic attempt 22,Semantic attempt 22 sim,Semantic attempt 23,Semantic attempt 23 sim,Semantic attempt 24,Semantic attempt 24 sim,Semantic attempt 25,Semantic attempt 25 sim,Semantic attempt 26,Semantic attempt 26 sim,Semantic attempt 27,Semantic attempt 27 sim,Semantic attempt 28,Semantic attempt 28 sim,Semantic attempt 29,Semantic attempt 29 sim,Semantic attempt 30,Semantic attempt 30 sim,Semantic attempt 31,Semantic attempt 31 sim,Semantic attempt 32,Semantic attempt 32 sim,Semantic attempt 33,Semantic attempt 33 sim,Semantic attempt 34,Semantic attempt 34 sim,Semantic attempt 35,Semantic attempt 35 sim
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_IL1β(t) < d_c(high),0.6095842,d_IL1β(t) < d_c(high),0.6095842,d_IL1β(t) < d_c(high),0.6095842123031616,d_IL1β(t) < d_c(high),0.6095842123031616,d_IL1β(t) < d_c(high),0.6095842,"eventually[1,7](d_IL1β(t) > d_c(high)) and eventually[8,14](d_IL1Ra(t) = d_c(high)) and eventually[15,∞](d_IL1β(t) < c(mid)) and eventually[15,∞](d_IL1Ra(t) < d_c(high))",0.7270278,"eventually[1,7](IL1β(t) < c(mid) and IL1Ra(t) < c(mid)) and eventually[8,14](IL1β(t) = c(mid) and IL1Ra(t) = c(mid)) and eventually[15,∞](IL1β(t) > c(low) and IL1Ra(t) > c(low))",0.74595034,"eventually[1,7](IL1β(t) < c(mid) and IL1Ra(t) < c(mid)) and eventually[8,14](IL1β(t) = c(mid) and IL1Ra(t) = c(mid)) and eventually[15,∞](IL1β(t) > c(low) and IL1Ra(t) > c(low))",0.74595034,"eventually[1,7](IL1β(t) < c(mid) and IL1Ra(t) < c(mid)) and eventually[8,14](IL1β(t) = c(mid) and IL1Ra(t) = c(mid)) and eventually[15,∞](IL1β(t) > c(low) and IL1Ra(t) > c(low))",0.74595034,"eventually[1,7](IL1β(t) < c(mid) and IL1Ra(t) < c(mid)) and eventually[8,14](IL1β(t) = c(mid) and IL1Ra(t) = c(mid)) and eventually[15,∞](IL1β(t) > c(low) and IL1Ra(t) > c(low))",0.74595034,"eventually[1,7]globally(IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and eventually[8,14]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[14,∞]globally(IL1β(t) < c(mid) and IL1Ra(t) < c(mid))",0.7461973,"eventually[1,7]globally(IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and eventually[8,14]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[14,∞]globally(IL1β(t) < c(mid) and IL1Ra(t) < c(mid))",0.7461973,"eventually[1,7]globally(IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and eventually[8,14]globally(IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[14,∞]globally(IL1β(t) < c(mid) and IL1Ra(t) < c(mid))",0.7461973,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(mid)) and eventually[15,∞]globally(d_IL1β(t) < c(mid) and d_IL1Ra(t) < c(mid))",0.7711279
"eventually[1,7](d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high)) and globally[8,14](d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high)) and eventually[15,∞](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low))",0.68283474,"eventually[1,7](d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high)) and globally[8,14](d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high)) and eventually[15,∞](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low))",0.68283474,"eventually[1,7](d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high)) and globally[8,14](d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high)) and eventually[15,∞](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low))",0.6828347444534302,"eventually[1,7](d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high)) and globally[8,14](d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high)) and eventually[15,∞](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low))",0.6828347444534302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[1,7](IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7374962,"eventually[1,7](IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7374962,"eventually[1,7](IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7374961972236633,"eventually[1,7](IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7374961972236633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[1,7](IL1β(t) > c(low)) and globally[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low)) and globally[1,7](IL1Ra(t) > c(low)) and globally[8,14](IL1Ra(t) > c(high)) and eventually[15,∞](IL1Ra(t) < c(low))",0.7037908,"globally[1,7](IL1β(t) > c(low)) and globally[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low)) and globally[1,7](IL1Ra(t) > c(low)) and globally[8,14](IL1Ra(t) > c(high)) and eventually[15,∞](IL1Ra(t) < c(low))",0.7037908,"eventually[1,7]globally(IL1β(t) > c(mid)) and eventually[8,14]globally(IL1Ra(t) > c(high)) and eventually[15,∞]globally(IL1β(t) < c(low)) and eventually[15,∞]globally(IL1Ra(t) < c(low))",0.7271579504013062,"eventually[1,7]globally(IL1β(t) > c(mid)) and eventually[8,14]globally(IL1Ra(t) > c(high)) and eventually[15,∞]globally(IL1β(t) < c(low)) and eventually[15,∞]globally(IL1Ra(t) < c(low))",0.7271579504013062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,"eventually[1,7]globally(d_IL1β(t) > c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(low)) and eventually[15, ∞]globally(d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high))",0.7235672,"eventually[1,7]globally(d_IL1β(t) > c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(low)) and eventually[15, ∞]globally(d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high))",0.7235671877861023,"eventually[1,7]globally(d_IL1β(t) > c(low)) and eventually[8,14]globally(d_IL1Ra(t) > c(low)) and eventually[15, ∞]globally(d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high))",0.7235671877861023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[15,∞]globally(IL1β(t) < c(high)) and IL1Ra(t) > c(mid)",0.74568224,"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[15,∞]globally(IL1β(t) < c(high)) and IL1Ra(t) > c(mid)",0.74568224,"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[15,∞]globally(IL1β(t) < c(high)) and IL1Ra(t) > c(mid)",0.7456822395324707,"eventually[1,7]globally(IL1β(t) < c(high)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[15,∞]globally(IL1β(t) < c(high)) and IL1Ra(t) > c(mid)",0.7456822395324707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[1,7]globally(d_IL1β(t) < d_c(high)) and eventually[8,14]globally(d_IL1Ra(t) < d_c(high)) and globally[15,∞](d_IL1Ra(t) < d_c(low))",0.68788695,"eventually[1,7]globally(d_IL1β(t) < d_c(high)) and eventually[8,14]globally(d_IL1Ra(t) < d_c(high)) and globally[15,∞](d_IL1Ra(t) < d_c(low))",0.68788695,"globally[1,7](IL1β(t) < c(high)) and globally[8,14](IL1β(t) = c(high)) and globally[1,7](IL1Ra(t) < c(high)) and globally[8,14](IL1Ra(t) = c(high)) and eventually[15,∞](IL1β(t) < c(low)) and eventually[15,∞](IL1Ra(t) < c(low))",0.7040001153945923,"globally[1,7](IL1β(t) < c(high)) and globally[8,14](IL1β(t) = c(high)) and globally[1,7](IL1Ra(t) < c(high)) and globally[8,14](IL1Ra(t) = c(high)) and eventually[15,∞](IL1β(t) < c(low)) and eventually[15,∞](IL1Ra(t) < c(low))",0.7040001153945923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
