S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t) > c(high)) implies globally[0,3](d_IL8(t) > d_c(high))",N/A,N/A,0.46267855,"globally[0,∞](IL8(t) > c(mid))",0.46267855,"globally[0,3](IL8(t) > c(low)) and globally[0,3](IL8(t) > c(mid)) and globally[0,3](IL8(t) > c(high))",N/A,N/A,0.46267855,"eventually[0,3](IL8(t) > c(low))",N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t) > c(low)) and eventually[0,3]globally(IL8(t) > c(mid)) and eventually[0,3]globally(IL8(t) > c(high)) and globally[0,3](IL8(t) > c(low)) and d_IL8(t) = d_c(low)",0.46267855,"eventually[0,∞](IL8(t) > c(high))",N/A,N/A,N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t)=c(high) implies IL8(t)>c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.46267855,"IL8(t) > c(low) and eventually[1,3]globally(IL8(t) > c(low)) and eventually[1,3]globally(IL8(t) = c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46267855,"eventually[3, ∞]globally(IL8(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,∞](IL8(t) > c(high) implies d_IL8(t) = d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"eventually[0,∞]globally(IL8(t) = c(high)) and d_IL8(t) = 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"eventually[0,∞]globally(IL8(t) > c(low) and d_IL8(t)=0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"eventually[0,3]globally(IL8(t) > c(high)) implies globally[0,3](d_IL8(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46267855,"globally[0,∞](IL8(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"globally[0,3](IL8(t) > c(low)) and globally[0,3](IL8(t) > c(mid)) and globally[0,3](IL8(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46267855,"eventually[0,3](IL8(t) > c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t) > c(low)) and eventually[0,3]globally(IL8(t) > c(mid)) and eventually[0,3]globally(IL8(t) > c(high)) and globally[0,3](IL8(t) > c(low)) and d_IL8(t) = d_c(low)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"eventually[0,∞](IL8(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t)=c(high) implies IL8(t)>c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
