Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[17, inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,0,0,2
"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,"eventually[17, inf](IL1Ra(t) < c(high))",0.98976433,0,2,0
"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17, inf] (IL1Ra(t) < c(high))",0.98976433,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,0,1,1
"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,N/A,N/A,0,1,1
"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,0,0,2
"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17, inf]globally(IL1Ra(t) < c(high))",1.0000001,0,0,2
"eventually[inf,inf]globally(IL1Ra(t) < c(high))",0.9008816,N/A,N/A,N/A,N/A,0,2,0
"eventually[17, inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"globally[17,inf](IL1Ra(t) < c(high))",0.98451567,0,1,1
"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"globally[17, inf](IL1Ra(t) < c(high))",0.98451567,"eventually[17,inf]globally(IL1Ra(t) = c(high))",0.97923714,0,2,0
"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,0,0,2
"globally[17, inf](IL1Ra(t) < c(high))",0.98451567,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,2,0,0
"eventually[17, inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17, inf]globally(IL1Ra(t) < c(high))",1.0000001,"globally[17,inf](IL1Ra(t) < c(high))",0.98451567,0,1,1
"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,0,2,0
"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,N/A,N/A,1,1,0
"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,0,2,0
"globally[17,inf](IL1Ra(t) < c(high))",0.98451567,"globally[17,inf](IL1Ra(t) < c(high))",0.98451567,"globally[17,inf](IL1Ra(t) < c(high))",0.98451567,0,0,2
"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,N/A,N/A,0,1,1
"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,"eventually[17,inf](IL1Ra(t) < c(high))",0.98976433,"eventually[17,inf]globally(IL1Ra(t) < c(high))",1.0000001,0,1,1
