Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,"globally[9,12](IFNα(t) = c(low))",1.0000002,"globally[9,12](IFNα(t) = c(low))",1.0000002,2,0,0
"globally[9,12](IFNα(t) = c(low))",1.0000002,N/A,N/A,"globally[9,12](IFNα(t) = c(low))",1.0000002,0,1,1
"globally[9,12](IFNα(t) = c(low))",1.0000002,"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,"globally[9,12](IFNα(t) = c(low))",1.0000002,0,1,1
"globally[9,12](IFNα(t) = c(low))",1.0000002,"eventually[9,12]globally(IFNα(t)=c(low))",0.9743665,N/A,N/A,0,2,0
"globally[9,12](IFNα(t) = c(low))",1.0000002,"eventually[9,12](IFNα(t) = c(low))",0.97072613,"eventually[9,12](IFNα(t) = c(low))",0.97072613,0,2,0
"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,"globally[9,12](IFNα(t)=c(low))",1.0000002,"globally[9,12](IFNα(t) = c(low))",1.0000002,2,0,0
"globally[9,12](IFNα(t) = c(low))",1.0000002,"eventually[9,12](IFNα(t) = c(low))",0.97072613,"globally[9,12](IFNα(t) = c(low))",1.0000002,0,1,1
"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,"globally[9,12](IFNα(t) = c(low))",1.0000002,"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,1,0,1
"globally[9,12](IFNα(t) = c(low))",1.0000002,"eventually[9,12](IFNα(t) = c(low))",0.97072613,"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,0,2,0
"globally[9,12](IFNα(t) = c(low))",1.0000002,"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,N/A,N/A,0,2,0
"eventually[9,12]globally(IFNα(t)=c(low))",0.9743665,"globally[9,12](IFNα(t) = c(low))",1.0000002,"eventually[9,12]globally(IFNα(t)=c(low))",0.9743665,1,0,1
"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,N/A,N/A,"globally[9,12](IFNα(t) = c(low))",1.0000002,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,"globally[9,12](IFNα(t) = c(low))",1.0000002,"globally[9,12](IFNα(t) = c(low))",1.0000002,2,0,0
"globally[9,12](IFNα(t) = c(low))",1.0000002,"globally[9,12](IFNα(t) = c(low))",1.0000002,N/A,N/A,0,1,1
"globally[9,12](IFNα(t) = c(low))",1.0000002,N/A,N/A,N/A,N/A,0,2,0
"globally[9,12](IFNα(t) = c(low))",1.0000002,"globally[9,12](IFNα(t) = c(low))",1.0000002,"globally[9,12](IFNα(t)=c(low))",1.0000002,0,0,2
"eventually[9,12]globally(IFNα(t) = c(low))",0.9743665,N/A,N/A,"eventually[9,12](IFNα(t) = c(low))",0.97072613,0,2,0
