Input Sentence,STL Extraction Success Rate,STL Parsing Success Rate,Number of Translations,Number of Syntactically Correct Translations,Semantic Passes,Semantic Success Rate
"From day 8 to 18 eventually at every point in that interval the rate of change of IL1RN was close to a fast, increasing rate.",0.7435897435897436,0.6551724137931034,78,38.0,38,1.0
From day 12 onward if IL-1β was above its low levels then eventually at every point in that interval the rate of change of IL1RN was decreasing.,0.9122807017543859,0.019230769230769273,57,1.0000000000000022,1,0.9999999999999978
From day 20 onward at every point in that interval SARS-CoV-2 was above its low levels.,1.0,0.0,54,0.0,0,
If IL-1β was below its low levels then IL-6 was close to its low levels.,1.0,0.0,54,0.0,0,
"If from day 8 to 10 eventually in that interval the rate of change of IFN-α was close to a fast, increasing rate, then from day 0 to 15 at every point in that interval IL-8 was below its moderate levels.",0.8260869565217391,0.0,46,0.0,0,
If IFN-β was close to its low levels then IL-6 was below its high levels.,1.0,0.0,54,0.0,0,
"The rate of change of IL-1Ra was increasing and the rate of change of IL-1Ra was increasing slower than a low rate, and if TNF-α was close to its low levels then IL-6 was above its low levels.",0.9423076923076923,0.0,52,0.0,0,
From day 17 onward eventually at every point in that interval IL-1Ra was below its high levels.,0.9607843137254902,0.0,51,0.0,0,
If the rate of change of IFN-α was increasing then IL1RN was below its moderate levels.,0.9811320754716981,0.0,53,0.0,0,
From day 5 to 11 eventually at every point in that interval SARS-CoV-2 was below its moderate levels.,1.0,0.0,54,0.0,0,
If the rate of change of IL-12 was increasing then IL-8 was close to its moderate levels.,0.9814814814814815,0.0,54,0.0,0,
From day 6 to 18 eventually at every point in that interval the rate of change of IL-6 was increasing.,0.8333333333333334,0.75,72,45.0,45,1.0
"If from day 7 to 18 eventually at every point in that interval IL-1Ra was close to its moderate levels, then from day 3 onward at every point in that interval IL-6 was below its high levels.",0.86,0.0,50,0.0,0,
From day 0 to 18 eventually at every point in that interval IL-6 was close to its high levels.,0.9333333333333333,0.017857142857142905,60,1.0000000000000027,1,0.9999999999999973
From day 9 to 12 at every point in that interval IFN-α was close to its low levels.,1.0,0.0,54,0.0,0,
"If from day 3 to 12 eventually in that interval the rate of change of IL-12 was decreasing, then from day 2 to 16 eventually at every point in that interval IL-8 was below its high levels.",0.8200000000000001,0.0,50,0.0,0,
Overall,0.9193729003359462,0.10353227771010964,893,85.00000000000001,85,0.9999999999999998
