S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S9-F0,S9-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S18-F0,S18-F0 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim
0.5299285,"eventually[1,inf](IP10(t) > c(low) and IP10(t) > c(mid)) and globally[1,inf](IP10(t) < c(high)) and eventually[1,inf]globally(IP10(t) > c(mid)) and IP10(t) > c(mid)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5144396,"eventually[1,1]globally(IP10(t) > c(high)) and eventually[1,1]globally(IP10(t) < c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.5254438,IP10(t) > c(low) implies IL6(t) = c(low) and IL12(t) = c(low) and IL1β(t) = c(low) and IL1Ra(t) = c(low) and TNFα(t) = c(low) and IL8(t) = c(low) and IFNα(t) = c(low) and IFNβ(t) = c(low) and SARSCoV2(t) = c(low) and IL1RN(t) = c(low),,,,,N/A,N/A,0.5350903,"eventually[1,7](IP10(t) > c(low) implies IP10(t) = c(mid)) and IP10(t) = c(high) and IP10(t) = c(mid) and IP10(t) = c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.52469325,"IP10(t) > c(high) and IP10(t) > c(high) and eventually[1,7]globally(IP10(t) < c(low) implies IP10(t) > c(high))",0.5641169,"eventually[1,7](IP10(t) > c(high)) and IP10(t)=c(low) and IP10(t)=c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.53559965,"eventually[1,7]globally(IP10(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.50954926,"eventually[1,7]globally(IP10(t) > c(high)) and eventually[1,7]globally(IP10(t) > c(high)) and eventually[1,7]globally(IP10(t) > c(high)) and eventually[1,7]globally(IP10(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.5303358,"globally[1,inf](IP10(t) > c(high) implies IP10(t) = c(high)) and IP10(t) = c(high)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.52834153,"globally[1,1](IP10(t) > c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.54324806,"globally[1,1](IP10(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44438696,"eventually[1,inf]globally(IP10(t) > c(high)) implies globally[1,inf](IP10(t) > c(high)) and eventually[1,inf](IP10(t) > c(high)) and eventually[1,inf](IP10(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.52200496,IP10(t) > c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
