S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim
0.5355408,"eventually[0,2]globally(SARSCoV2(t)=c(mid))",,,,,0.5056534,"eventually[0,14]globally(SARSCoV2(t) = c(low))",,,,,0.23648569,"eventually[0,2]globally(IL1RN(t) = c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5129819,"globally[0,14](SARSCoV2(t) = c(mid)) and eventually[0,14](SARSCoV2(t) = c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.49172598,"globally[0,2](SARSCoV2(t)=c(low))",,,,,0.56226265,"IL1β(t) > c(low) and eventually[0,14]globally(SARSCoV2(t)=c(high) implies IL1β(t) > c(low))",0.53144205,"eventually[0,14]globally(SARSCoV2(t) = c(mid))",0.5095444,"eventually[0,2](SARSCoV2(t) > c(high)) and IL1RN(t) < c(low)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.39071852,"eventually[0,2]globally(IL1RN(t) = c(mid)) and IL1β(t)=c(low)",N/A,N/A,N/A,N/A,N/A,N/A,0.23646712,"eventually[14,inf](IL6(t) > c(low))",0.50080466,"eventually[0,14]globally(SARSCoV2(t) > c(low))",0.2478404,"eventually[0,14]globally(IL1Ra(t) > c(mid))",0.5068073,"eventually[0,14](SARSCoV2(t) = c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.50702584,"eventually[0,2]globally(SARSCoV2(t) > c(low))",0.5212544,"eventually[0,inf]globally(SARSCoV2(t)=c(mid))",0.5323291,"eventually[0,14](SARSCoV2(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.50820386,SARSCoV2(t) = c(mid),,,0.37475222,"eventually[0,14]globally(TNFα(t) < c(low) and IL1β(t) = c(mid)) and d_TNFα(t) > 0",,,,,0.5355408,"eventually[0,2]globally(SARSCoV2(t)=c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5050072,"globally[0,2](SARSCoV2(t) > c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.52645826,"eventually[0,14](SARSCoV2(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.36261874,"IL1β(t) = c(high) and eventually[0,14]globally(IL6(t) > c(high))",,,0.53144205,"eventually[0,14]globally(SARSCoV2(t) = c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4871532,"eventually[0,2](SARSCoV2(t) = c(low)) and globally[0,inf](d_SARSCoV2(t) > 0)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.53144205,"eventually[0,14]globally(SARSCoV2(t)=c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.53429276,"eventually[0,2](SARSCoV2(t) = c(mid))",,,0.5128979,"eventually[0,2](SARSCoV2(t) = c(low))",,,,,0.50080466,"eventually[0,14]globally(SARSCoV2(t) > c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5073979,"globally[0,14](SARSCoV2(t)=c(mid))",,,,,0.5073186,"eventually[14,inf]globally(SARSCoV2(t) > c(mid))",,,,,0.51625293,"eventually[14,28](SARSCoV2(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
