S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
0.59090877,"eventually[1,7](RANTES(t) > c(high)) and RANTES(t) > c(mid) and RANTES(t) > c(low) and globally[1,7](RANTES(t) > c(high)) and globally[1,7](RANTES(t) > c(mid)) and globally[1,7](RANTES(t) > c(low))",,,,,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46998549,"eventually[1,1]globally(RANTES(t) > c(high))",,,0.5551239,"eventually[1,7]globally(RANTES(t) > c(high) and IL6(t) < c(mid)) and globally[1,7](RANTES(t) > c(high) implies RANTES(t) = c(high)) and eventually[1,7]globally(RANTES(t) > c(high) and IL6(t) < c(mid)) and eventually[3,4]globally(RANTES(t) > c(high) and IL6(t) < c(mid))",,,,,0.58069015,"eventually[1,7]globally(RANTES(t) > c(mid)) and globally[1,7](RANTES(t) > c(low)) and eventually[1,7]globally(RANTES(t) > c(mid)) and eventually[1,7]globally(RANTES(t) > c(high)) and eventually[1,7]globally(RANTES(t) > c(mid)) and eventually[1,7]globally(RANTES(t) > c(mid))",,,,,0.5678985,"RANTES(t) > c(high) and RANTES(t) > c(mid) and globally[1,1](RANTES(t) > c(high)) and eventually[1,3]globally(RANTES(t) > c(high)) and RANTES(t) > c(high) and RANTES(t) > c(mid)",0.5795935,"RANTES(t) > c(high) and RANTES(t) > c(mid) and RANTES(t) > c(low) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(mid)) and eventually[1,7](RANTES(t) > c(low)) and RANTES(t) = c(high) and RANTES(t) = c(mid) and RANTES(t) = c(low)",0.43338415,RANTES(t) > c(high) and RANTES(t) > c(mid) and RANTES(t) > c(low) and RANTES(t) > c(high) and RANTES(t) > c(mid) and RANTES(t) > c(low) and RANTES(t) > c(high) and RANTES(t) > c(mid) and RANTES(t) > c(low),N/A,N/A,0.47103953,"eventually[1,inf]globally(RANTES(t) > c(high) and d_RANTES(t)=0)",0.5522319,"eventually[1,7](RANTES(t) > c(high) and RANTES(t) > c(mid)) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high))",0.44531757,"eventually[1,inf]globally(RANTES(t) > c(high)) and globally[1,inf](RANTES(t) = c(high))",N/A,N/A,0.41966298,"eventually[1,inf]globally(RANTES(t) > c(high)) and eventually[1,inf]globally(RANTES(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.42542487,"eventually[1,1](RANTES(t) > c(high)) and globally[1,inf](RANTES(t) > c(high)) and eventually[1,inf](RANTES(t) > c(high)) and eventually[1,inf](RANTES(t) > c(high)) and eventually[1,inf](RANTES(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.60770035,"eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid) and eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid) and eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid)",0.5510363,"RANTES(t) > c(high) and RANTES(t) > c(mid) and eventually[1,inf](RANTES(t) > c(high))",0.48809195,"eventually[1,inf]globally(RANTES(t) > c(mid)) and eventually[1,inf]globally(RANTES(t) > c(low)) and eventually[1,inf]globally(RANTES(t) > c(mid)) and eventually[1,inf]globally(RANTES(t) > c(low)) and eventually[1,inf]globally(RANTES(t) > c(mid)) and eventually[1,inf]globally(RANTES(t) > c(low)) and eventually[1,inf]globally(RANTES(t) > c(mid)) and eventually[1,inf]globally(RANTES(t) > c(low))",0.5919237,"eventually[1,7]globally(RANTES(t)=c(high)) and RANTES(t) > c(low) and RANTES(t) > c(mid) and eventually[1,7]globally(RANTES(t)=c(high))",N/A,N/A,0.5241208,"globally[1,1](RANTES(t) > c(high)) and eventually[3,4](RANTES(t) > c(high))",0.6088147,"eventually[1,7]globally(RANTES(t) > c(mid) and RANTES(t) > c(low)) and eventually[1,7]globally(RANTES(t) > c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.48941255,"globally[1,inf](RANTES(t) > c(high) and RANTES(t) > c(high))",0.44377208,"globally[0,1](RANTES(t) > c(high)) and eventually[1,inf]globally(RANTES(t) > c(high))",0.5302055,"eventually[1,7]globally(RANTES(t) > c(high)) and eventually[3,4]globally(RANTES(t) > c(high))"
N/A,N/A,0.37709796,"eventually[0,1] (d_RANTES(t) > d_c(high))",,,0.60567516,"eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid) and eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid) and eventually[3,4](RANTES(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.50405765,"d_RANTES(t) > c(high) and eventually[0,inf]globally(d_RANTES(t) > d_c(high) and d_RANTES(t) > c(high))",,,0.5356221,"eventually[1,7]globally(RANTES(t) > c(mid)) implies globally[1,7](RANTES(t) = c(high)) and eventually[1,7]globally(RANTES(t) > c(low)) implies globally[1,7](RANTES(t) = c(high)) and eventually[1,7]globally(RANTES(t) > c(mid)) implies globally[1,7](RANTES(t) = c(high))",,,,,0.59916246,"eventually[1,7]globally(RANTES(t) > c(mid)) and eventually[1,7]globally(RANTES(t) > c(low)) and eventually[1,7]globally(RANTES(t) > c(high)) and eventually[3,4]globally(RANTES(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37944221,"d_RANTES(t) > d_c(high) and eventually[1,7]globally(d_RANTES(t) > d_c(high)) and d_RANTES(t) > d_c(high) and eventually[3,4]globally(d_RANTES(t) > d_c(high))",,,,,0.5210908,"eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high)) and globally[1,7](RANTES(t) = c(high)) and eventually[1,7](RANTES(t) > c(high))",,,,,0.53076684,"eventually[1,7](d_RANTES(t) > d_c(high) and RANTES(t) > c(high)) and globally[1,7](RANTES(t) > c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.54536563,"RANTES(t) > c(mid) and RANTES(t) > c(low) and d_RANTES(t) < d_c(low) and eventually[1,1]globally(RANTES(t) > c(mid)) and eventually[1,1]globally(RANTES(t) > c(low))",,,,,0.5597775,"eventually[1,7](RANTES(t)=c(high)) and globally[1,7](RANTES(t) > c(low)) and eventually[3,4](RANTES(t) > c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.59509385,"eventually[1,7]globally(RANTES(t)=c(high)) and eventually[1,7]globally(RANTES(t) > c(low)) and eventually[1,7]globally(RANTES(t) > c(mid))",,,0.54543895,"eventually[1,4]globally(RANTES(t)=c(high) and RANTES(t)=c(high)) and eventually[1,4]globally(RANTES(t)=c(high)) and eventually[1,4]globally(RANTES(t)=c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.5444168,"RANTES(t) > c(mid) and eventually[1,7]globally(d_RANTES(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
