S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6173545,"eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) < c(high))",0.6173545,"eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.54703873,"eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) < c(high)) and globally[1,2](MCP1(t) > c(low) and d_MCP1(t) > d_c(low)) and globally[3,4](MCP1(t) > c(low) and d_MCP1(t) > d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6554306,"MCP1(t) > c(high) and MCP1(t) < c(high) and eventually[3,4](MCP1(t) = c(high))",0.64392406,"eventually[1,2]globally(MCP1(t) > c(mid)) and eventually[3,4]globally(MCP1(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5464214,"globally[inf,inf](MCP1(t) > c(low)) and eventually[1,2]globally(MCP1(t) > c(low) and d_MCP1(t) > 0) and eventually[3,4]globally(MCP1(t) > c(low) and d_MCP1(t) > 0)",0.44954473,"eventually[1,2]globally(d_MCP1(t) > d_c(high)) and eventually[3,4]globally(d_MCP1(t) < d_c(high)) and eventually[1,2]globally(d_MCP1(t) > d_c(low)) and eventually[3,4]globally(d_MCP1(t) < d_c(low))",N/A,N/A,0.5970653,"eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) < c(high)) and globally[1,2](MCP1(t) = c(high)) and globally[3,4](MCP1(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.6240281,"MCP1(t) > c(high) and globally[1,2](MCP1(t) > c(high)) and globally[3,4](MCP1(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.55941474,"eventually[1,2]globally(d_MCP1(t) > 0 and MCP1(t) = c(high)) and eventually[3,4]globally(d_MCP1(t) < 0 and MCP1(t) = c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.62978065,"MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) < c(high) and eventually[3,4]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) < c(high) and eventually[3,4]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) < c(high) and eventually[3,4]globally(MCP1(t)=c(high) and IL1β(t) > c(low))",,,,,0.3671204,"eventually[1,2]globally(IL1β(t) > c(mid) implies d_IL1β(t) < 0) and eventually[3,4]globally(IL1β(t) > c(low) implies d_IL1β(t) < 0)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.62150276,"globally[1,4](MCP1(t) > c(mid))",,,0.3645572,"eventually[1,2](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and globally[3,4](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and eventually[1,2](IL1β(t) > c(low) and IL1Ra(t) > c(low)) and globally[3,4](IL1β(t) < c(low) and IL1Ra(t) < c(low)) and d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low) and d_IL1β(t) = d_c(low) and d_IL1Ra(t) = d_c(low)",,,,,0.4149835,"eventually[1,2]globally(IL1β(t) > c(mid)) and eventually[3,4]globally(IL1β(t) < c(mid)) and d_IL1β(t) = d_c(low)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.56620765,"globally[1,2](MCP1(t) > c(high)) implies eventually[3,4]globally(MCP1(t) < c(high))",,,0.37818563,"eventually[1,2](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[3,4](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and globally[1,2](d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high)) and globally[3,4](d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.59034777,"d_MCP1(t) > c(low) implies MCP1(t) = c(low) and d_MCP1(t) > d_c(low) and eventually[1,2]globally(MCP1(t) = c(low)) and eventually[3,4]globally(MCP1(t) = c(mid))",,,0.6196219,"eventually[1,2]globally(MCP1(t) > c(high) and MCP1(t) < c(low)) and eventually[3,4]globally(MCP1(t) > c(high) and MCP1(t) < c(low)) and eventually[1,2]globally(MCP1(t) > c(high) and MCP1(t) < c(low)) and eventually[3,4]globally(MCP1(t) > c(high) and MCP1(t) < c(low))",,,,,0.6173545,"eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) < c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.537477,"globally[1,2](MCP1(t) > c(high)) and globally[3,4](MCP1(t) > c(high)) and eventually[1,2](MCP1(t) > c(high)) and eventually[3,4](MCP1(t) > c(high)) and globally[1,2](MCP1(t) > c(high)) and globally[3,4](MCP1(t) > c(high)) and eventually[1,2](MCP1(t) > c(high)) and eventually[3,4](MCP1(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.64392406,"eventually[1,2]globally(MCP1(t) > c(mid)) and eventually[3,4]globally(MCP1(t) < c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
