S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S26-F0,S26-F0 sim
0.37498197,IL6(t)=c(high) and IL12(t)=c(high) and SARSCoV(t)=c(high) and MERSCoV(t)=c(high) and IgM(t)=c(low) and IgG(t)=c(low),,,,,0.42766365,"globally[0,2](IL1β(t) > c(high) and IL1Ra(t) > c(high))",,,,,0.41576415,"IL1RN(t) < c(high) and d_IL1RN(t) = 0 and eventually[2,inf](IL1Ra(t) > c(high)) implies globally[2,inf](d_SARSCoV2(t) > 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.47729486,"globally[2,inf](IL1Ra(t)=c(high)) and globally[2,inf](SARSCoV(t)=c(high))",,,,,0.33231264,"eventually[0,2]globally(IL1β(t) > c(low) and IL1Ra(t) > c(low)) and globally[0,inf](d_IL8(t) > 0)",,,,,0.35290152,"eventually[0,2](IL6(t) > c(high) and IL12(t) > c(high))",,,,,0.5610935,"eventually[0,2]globally(IL1Ra(t)=c(high) and SARSCoV(t)=c(high)) and eventually[0,2]globally(IL1β(t)=c(high) and MERSCoV(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.19759445,IL6(t) = c(high) and IL12(t) = c(low) and d_IL6(t) = d_c(high) and d_IL12(t) = d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.51541734,"eventually[0,2](MERSCoV(t) > c(high) and SARSCoV(t) > c(high))",0.45765984,"eventually[0,2](d_SARSCoV2(t) > d_c(high) and d_MERSCoV(t) > d_c(high))",N/A,N/A,N/A,N/A,0.4060211,d_IL6(t) > d_c(high) and d_MERSCoV(t) > d_c(high) and d_SARSCoV(t) > d_c(high),0.38181323,"eventually[0,2]globally(TNFα(t) < c(high) and IFNβ(t)=c(high)) and d_TNFα(t) > 0",N/A,N/A,N/A,N/A,N/A,N/A,0.47897404,"eventually[2,inf]globally(MERSCoV(t) > c(high) and SARSCoV(t) > c(high))",0.5315107,"eventually[0,2](SARSCoV2(t) > c(high) and MERSCoV(t) > c(high))",0.45028988,"eventually[2,2]globally(d_IL6(t)=d_c(high)) and eventually[2,2]globally(d_SARSCoV2(t)=d_c(high))",N/A,N/A,0.38540322,"eventually[0,2]globally(IL6(t) > c(high) implies IL6(t)=c(high)) and eventually[0,2]globally(IL12(t) > c(high) implies IL12(t)=c(high)) and eventually[0,2]globally(IL1β(t) > c(high) implies IL1β(t)=c(high)) and eventually[0,2]globally(IL1Ra(t) > c(high) implies IL1Ra(t)=c(high)) and eventually[0,2]globally(TNFα(t) > c(high) implies TNFα(t)=c(high)) and eventually[0,2]globally(IL8(t) > c(high) implies IL8(t)=c(high)) and eventually[0,2]globally(IFNα(t) > c(high) implies IFNα(t)=c(high)) and eventually[0,2]globally(IFNβ(t) > c(high) implies IFNβ(t)=c(high)) and eventually[0,2]globally(SARSCoV2(t) > c(high) implies SARSCoV2(t)=c(high)) and eventually[0,2]globally(IL1RN(t) > c(high) implies IL1RN(t)=c(high)) and eventually[0,2]globally(IgM(t) > c(high) implies IgM(t)=c(high)) and eventually[0,2]globally(IgG(t) > c(high) implies IgG(t)=c(high)) and eventually[0,2]globally(MERSCoV(t) > c(high) implies MERSCoV(t)=c(high)) and eventually[0,2]globally(SARSCoV(t) > c(high) implies SARSCoV(t)=c(high)) and eventually[0,2]globally(CpG2216(t) > c(high) implies CpG2216(t)=c(high)) and eventually[0,2]globally(IL1α(t) > c(high) implies IL1α(t)=c(high)) and eventually[0,2]globally(CCL2(t) > c(high) implies CCL2(t)=c(high)) and eventually[0,2]globally(CCR2(t) > c(high) implies CCR2(t)=c(high)) and eventually[0,2]globally(IP10(t) > c(high) implies IP10(t)=c(high)) and eventually[0,2]globally(MCP1(t) > c(high) implies MCP1(t)=c(high)) and eventually[0,2]globally(IFNγ(t) > c(high) implies IFNγ(t)=c(high)) and eventually[0,2]globally(IL17(t) > c(high) implies IL17(t)=c(high)) and eventually[0,2]globally(IL27(t) > c(high) implies IL27(t)=c(high)) and eventually[0,2]globally(RANTES(t) > c(high) implies RANTES(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.39504865,"eventually[2,inf]globally(IL1β(t)=c(high))",0.45320952,"eventually[0,2]globally(d_MERSCoV(t) > d_c(high) and d_SARSCoV(t) > d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.35158932,"eventually[0,2]globally(IL6(t) > c(high) and IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.41792667,"eventually[2,inf]globally(IL1RN(t) > c(high) and d_IL1RN(t)=d_c(high)) and eventually[2,inf]globally(SARSCoV2(t) > c(high) and d_SARSCoV2(t)=d_c(high))"
N/A,N/A,N/A,N/A,0.3284232,IL1Ra(t) > c(high) and IL1β(t) > c(high),0.26718947,IL1Ra(t) < c(high) and IL8(t) > c(high),,,,,0.46575624,"eventually[2,inf]globally(d_IL1β(t) > d_c(high)) and IL1β(t) > c(mid) and eventually[2,inf]globally(d_SARSCoV2(t)=d_c(low)) and SARSCoV2(t) > c(high)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40219554,"eventually[2,inf](IL1β(t) > c(high) and IL1Ra(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.42624214,SARSCoV(t) > c(high) and SARSCoV2(t) > c(high),0.5160419,"globally[0,2](MERSCoV(t) = c(high) and SARSCoV2(t) = c(high))",,,,,0.3089215,"globally[2,inf](IL6(t) = c(high) and IL12(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.4485714,"globally[2,inf](SARSCoV(t) > c(high) and SARSCoV(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.50876385,"globally[0,2](MERSCoV(t)=c(high)) implies globally[0,2](SARSCoV(t)=c(high))",,,0.2656932,"eventually[2,inf]globally(IL12(t)=c(high) and IL8(t)=c(high)) and d_IL12(t) > d_c(high) and d_IL8(t) > d_c(high)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
