shot0,shot0 sim,shot1,shot1 sim,shot2,shot2 sim,shot3,shot3 sim,shot4,shot4 sim,shot5,shot5 sim,shot6,shot6 sim,shot7,shot7 sim,shot8,shot8 sim,shot9,shot9 sim,shot10,shot10 sim,shot11,shot11 sim,shot12,shot12 sim,shot13,shot13 sim,shot14,shot14 sim,shot15,shot15 sim,shot16,shot16 sim,shot17,shot17 sim
"eventually[0,2]globally(SARSCoV2(t)=c(mid))",0.5355408,"IL1β(t) > c(low) and eventually[0,14]globally(SARSCoV2(t)=c(high) implies IL1β(t) > c(low))",0.5622626,"eventually[0,2]globally(SARSCoV2(t)=c(mid))",0.5355408,"eventually[0,14](SARSCoV2(t) > c(mid))",0.5264583,"eventually[0,14]globally(SARSCoV2(t) = c(mid))",0.5314421,"eventually[0,14]globally(SARSCoV2(t)=c(mid))",0.5314421,,,"eventually[0,2](SARSCoV2(t) = c(mid))",0.53429276,"eventually[14,28](SARSCoV2(t) < c(low))",0.5162529,,,"IL1β(t) > c(low) and eventually[0,14]globally(SARSCoV2(t)=c(high) implies IL1β(t) > c(low))",0.56226265,,,,,"eventually[0,2]globally(IL1RN(t) = c(mid)) and IL1β(t)=c(low)",0.3907185,"eventually[0,14](SARSCoV2(t) = c(low))",0.5068073,,,"eventually[0,14](SARSCoV2(t) = c(mid))",0.53232914,,
"eventually[17,19]globally(IL1Ra(t) > c(high) and IgG(t) > c(high)) and eventually[17,19]globally(IgM(t) < c(low) and IgG(t) > c(high)) and eventually[17,19]globally(IgG(t) > c(high) and d_IgG(t) = d_c(high)) and eventually[17,19]globally(IL1Ra(t) > c(high) and d_IL1Ra(t) = d_c(high))",0.45500755,"eventually[17,19]globally(IgM(t) < c(low) and IgG(t) > c(low))",0.63076663,"eventually[17,19](IgM(t) > c(low)) and eventually[17,19](IgG(t) > c(high)) and d_IgM(t) = d_c(high) and d_IgG(t) = d_c(high) and d_IgM(t) > c(mid) and IgG(t) > c(high)",0.5101075,,,"globally[17,19](d_IgG(t) > 0)",0.46261716,"eventually[17,19]globally(IL1β(t) = c(mid)) and globally[17,19](IL6(t) > c(low) implies d_IL6(t) < d_c(low)) and globally[17,19](IL1Ra(t) = c(mid)) and globally[17,19](IgM(t) < c(mid)) and globally[17,19](IgG(t) > c(low) implies d_IgG(t) < d_c(low)) and globally[17,19](d_IgG(t) = d_c(low))",0.43925846,,,,,"eventually[17,19]globally(IL6(t)=c(mid) and IgG(t)=c(mid)) and d_IgG(t) = 0",0.49929175,"globally[17,19](IgG(t) > c(high)) and eventually[17,19](IgM(t) < c(low)) and IL8(t) < c(low) and d_IgG(t) = d_c(high) and d_IgM(t) < d_c(high)",0.49109125,"eventually[17,19]globally(IgM(t) = c(low) and IgG(t) > c(low)) and globally[17,19](IgG(t) = c(mid) implies d_IgG(t) = d_c(high)) and eventually[17,19]globally(IgM(t) = c(low) and d_IgM(t) = 0)",0.5247356,,,"eventually[17,19](SARSCoV2(t) > c(high) implies d_IgG(t) = d_c(high))",0.5442044,"d_IgM(t) < 0 implies IgM(t) = c(low) and d_IgG(t) > 0 and eventually[∞,∞]globally(IgG(t) > c(low))",0.46809748,"eventually[17,19]globally(IgM(t) < c(low) and IgG(t) > c(low))",0.63076675,,,"eventually[17,19]globally(IL6(t) = c(high) and IgG(t) = c(high)) and globally[17,19](d_IgG(t) = d_c(high))",0.46918488,,
,,"eventually[10,∞](IL6(t)=c(high)) and d_IFNα(t) < 0",0.8642018,,,"eventually[10,∞]globally(IL6(t) > c(high) and d_IFNα(t) < d_c(high))",0.84007955,,,"eventually[10,∞]globally(IL6(t) = c(high) and d_IFNα(t)=0)",0.83806425,"globally[10,∞](IL6(t) > c(high) and d_IFNα(t) = d_c(low))",0.83994836,"eventually[10,∞](IL6(t) > c(high)) and d_IFNα(t) < d_c(high)",0.8454181,"eventually[10,∞]globally(d_IL6(t) > d_c(high) and d_IFNα(t) < d_c(low))",0.8040799,"eventually[10,∞]globally(IL6(t) > c(high) and d_IFNα(t) < 0)",0.85411596,"eventually[10,∞](IL6(t)=c(high)) and d_IFNα(t) < 0",0.8642018,,,"eventually[10,∞](IL6(t) > c(mid))",0.6353146,"globally[10,∞](IL6(t) > c(high)) and d_IFNα(t) < 0",0.84492654,,,"globally[10,∞](IL6(t) > c(high) and d_IFNα(t) < d_c(high))",0.8329881,"eventually[10,∞](IL6(t) > c(low) and d_IFNα(t)=d_c(low))",0.8477875,"eventually[10,∞]globally(IL6(t) > c(high)) and eventually[10,∞](d_IFNα(t) < d_c(high))",0.8155302
"globally[0,2](IL1β(t) > c(high) and IL1Ra(t) > c(high))",0.42766368,"eventually[0,2]globally(IL1Ra(t)=c(high) and SARSCoV(t)=c(high)) and eventually[0,2]globally(IL1β(t)=c(high) and MERSCoV(t)=c(high))",0.5610935,"eventually[2,∞]globally(d_IL1β(t) > d_c(high)) and IL1β(t) > c(mid) and eventually[2,∞]globally(d_SARSCoV2(t)=d_c(low)) and SARSCoV2(t) > c(high)",0.4657562,,,"eventually[2,∞](IL1β(t) > c(high) and IL1Ra(t) > c(high))",0.40219554,"globally[0,2](MERSCoV(t) = c(high) and SARSCoV2(t) = c(high))",0.5160419,,,"globally[2,∞](SARSCoV(t) > c(high) and SARSCoV(t) = c(high))",0.4485714,"globally[0,2](MERSCoV(t)=c(high)) implies globally[0,2](SARSCoV(t)=c(high))",0.5087639,,,"eventually[0,2]globally(IL1Ra(t)=c(high) and SARSCoV(t)=c(high)) and eventually[0,2]globally(IL1β(t)=c(high) and MERSCoV(t)=c(high))",0.56109345,,,"eventually[0,2](MERSCoV(t) > c(high) and SARSCoV(t) > c(high))",0.5154173,d_IL6(t) > d_c(high) and d_MERSCoV(t) > d_c(high) and d_SARSCoV(t) > d_c(high),0.40602112,"eventually[0,2](SARSCoV2(t) > c(high) and MERSCoV(t) > c(high))",0.5315107,"eventually[0,2]globally(IL6(t) > c(high) implies IL6(t)=c(high)) and eventually[0,2]globally(IL12(t) > c(high) implies IL12(t)=c(high)) and eventually[0,2]globally(IL1β(t) > c(high) implies IL1β(t)=c(high)) and eventually[0,2]globally(IL1Ra(t) > c(high) implies IL1Ra(t)=c(high)) and eventually[0,2]globally(TNFα(t) > c(high) implies TNFα(t)=c(high)) and eventually[0,2]globally(IL8(t) > c(high) implies IL8(t)=c(high)) and eventually[0,2]globally(IFNα(t) > c(high) implies IFNα(t)=c(high)) and eventually[0,2]globally(IFNβ(t) > c(high) implies IFNβ(t)=c(high)) and eventually[0,2]globally(SARSCoV2(t) > c(high) implies SARSCoV2(t)=c(high)) and eventually[0,2]globally(IL1RN(t) > c(high) implies IL1RN(t)=c(high)) and eventually[0,2]globally(IgM(t) > c(high) implies IgM(t)=c(high)) and eventually[0,2]globally(IgG(t) > c(high) implies IgG(t)=c(high)) and eventually[0,2]globally(MERSCoV(t) > c(high) implies MERSCoV(t)=c(high)) and eventually[0,2]globally(SARSCoV(t) > c(high) implies SARSCoV(t)=c(high)) and eventually[0,2]globally(CpG2216(t) > c(high) implies CpG2216(t)=c(high)) and eventually[0,2]globally(IL1α(t) > c(high) implies IL1α(t)=c(high)) and eventually[0,2]globally(CCL2(t) > c(high) implies CCL2(t)=c(high)) and eventually[0,2]globally(CCR2(t) > c(high) implies CCR2(t)=c(high)) and eventually[0,2]globally(IP10(t) > c(high) implies IP10(t)=c(high)) and eventually[0,2]globally(MCP1(t) > c(high) implies MCP1(t)=c(high)) and eventually[0,2]globally(IFNγ(t) > c(high) implies IFNγ(t)=c(high)) and eventually[0,2]globally(IL17(t) > c(high) implies IL17(t)=c(high)) and eventually[0,2]globally(IL27(t) > c(high) implies IL27(t)=c(high)) and eventually[0,2]globally(RANTES(t) > c(high) implies RANTES(t)=c(high))",0.38540322,"eventually[0,2]globally(d_MERSCoV(t) > d_c(high) and d_SARSCoV(t) > d_c(high))",0.45320952,"eventually[2,∞]globally(IL1RN(t) > c(high) and d_IL1RN(t)=d_c(high)) and eventually[2,∞]globally(SARSCoV2(t) > c(high) and d_SARSCoV2(t)=d_c(high))",0.4179266
,,"eventually[0,∞](CpG2216(t) > c(low)) and IL6(t) < c(low) and IL12(t) < c(low) and IL1β(t) < c(low) and IFNα(t) < c(low) and IFNβ(t) < c(low)",0.56231797,,,,,"eventually[∞,∞](d_CpG2216(t) < d_c(low))",0.43960232,"eventually[0,∞]globally(d_IFNα(t) < d_c(low) and d_IFNβ(t) < d_c(low)) and IL6(t) = c(mid)",0.41845942,,,"d_CpG2216(t) < 0 and eventually[0,∞]globally(IFNα(t)=c(mid) implies IFNβ(t) > c(low))",0.5725209,,,,,,,"eventually[0,∞](CpG2216(t) > c(low)) and IL6(t) < c(low) and IL12(t) < c(low) and IL1β(t) < c(low) and IFNα(t) < c(low) and IFNβ(t) < c(low)",0.5623181,,,"eventually[0,∞]globally(CpG2216(t) < c(mid) and d_CpG2216(t) < d_c(low))",0.42528546,,,d_CpG2216(t) > d_c(high),0.45888823,"eventually[∞,∞](IL1β(t) < c(low)) and CpG2216(t) > c(low) and IL1β(t) < c(low)",0.46870482,,
IL1α(t) = c(low),0.6308896,IL1α(t) < c(low),0.674816,IL1α(t) < c(low),0.674816,IL1α(t) < c(low),0.674816,IL1α(t) < c(low),0.674816,IL1α(t) < c(low),0.674816,,,IL1α(t) < c(low),0.674816,IL1α(t) = c(low),0.6308896,IL1α(t) < c(low),0.674816,IL1α(t) = c(low),0.6308896,,,,,IL1α(t) = c(low),0.6308896,IL1α(t) < c(low),0.674816,IL1α(t) = c(low),0.6308896,IL1α(t) < c(low),0.674816,IL1α(t) = c(low),0.6308896
,,CCL2(t) = c(high) and CCR2(t) = c(low) and IL1β(t) = c(low) and TNFα(t) < c(low) and d_CCL2(t) = d_c(low) and d_CCR2(t) = d_c(low),0.48089346,,,"CCL2(t) > c(mid) and CCR2(t) > c(mid) implies IL1RN(t) < c(low) and eventually[0,∞](d_CCL2(t) > d_c(low) and d_CCR2(t) > d_c(low)) and eventually[0,∞](d_IL1RN(t) < d_c(low) and IL1β(t) > c(mid))",0.41636205,,,,,,,,,"CCL2(t) > c(high) and CCR2(t) > c(low) and IL12(t) = c(low) and RANTES(t) = c(mid) and d_CCL2(t) > 0 and d_CCR2(t) > 0 and d_IL12(t) < 0 and d_RANTES(t) < 0 and eventually[7,∞]globally(IL1Ra(t) < c(high)) and SARSCoV2(t)=c(low) implies d_IFNα(t) > 0",0.40039816,,,,,,,,,CCL2(t) = c(high) and CCR2(t) = c(low) and IL1β(t) = c(low) and TNFα(t) < c(low) and d_CCL2(t) = d_c(low) and d_CCR2(t) = d_c(low),0.48089346,,,,,CCL2(t) > c(mid) and CCR2(t) > c(mid) and CCL2(t) = c(low) and CCR2(t) = c(low),0.39284492,,
,,"eventually[2,4]globally(IP10(t)=c(mid))",0.66459674,"globally[2,4](IP10(t) < c(low))",0.67078876,,,,,"eventually[2,4](d_IP10(t) < d_c(low)) and globally[2,4](IP10(t)=c(mid))",0.5843489,"eventually[2,4](d_IP10(t) < 0) and globally[2,4](IP10(t) = c(mid))",0.6125771,"globally[2,4](IP10(t) < c(mid)) and d_IP10(t) < 0",0.63949984,IP10(t) < c(mid),0.6195665,"globally[2,4](IP10(t) < c(mid)) and IP10(t) = c(low)",0.68938136,"eventually[2,4]globally(d_IP10(t) < c(mid)) and eventually[4,∞]globally(d_IP10(t) = c(mid))",0.64982235,,,"eventually[2,4]globally(d_IP10(t) < d_c(high))",0.52044487,"eventually[2,4]globally(IP10(t)=c(mid))",0.6645968,"eventually[2,4]globally(IP10(t) = c(mid))",0.66459674,IP10(t) < c(mid) and IP10(t) = c(mid),0.58992505,,,"eventually[2,4](d_IP10(t) < 0) and eventually[4,∞](IP10(t) > c(mid))",0.6167816
"eventually[1,∞](IP10(t) > c(low) and IP10(t) > c(mid)) and globally[1,∞](IP10(t) < c(high)) and eventually[1,∞]globally(IP10(t) > c(mid)) and IP10(t) > c(mid)",0.5299285,"eventually[1,7](IP10(t) > c(high)) and IP10(t)=c(low) and IP10(t)=c(mid)",0.5641169,"globally[1,∞](IP10(t) > c(high) implies IP10(t) = c(high)) and IP10(t) = c(high)",0.5303358,,,,,,,"globally[1,1](IP10(t) > c(high))",0.543248,"eventually[1,∞]globally(IP10(t) > c(high)) implies globally[1,∞](IP10(t) > c(high)) and eventually[1,∞](IP10(t) > c(high)) and eventually[1,∞](IP10(t) > c(high))",0.44438696,IP10(t) > c(high),0.52200496,,,,,"eventually[1,7](IP10(t) > c(low) implies IP10(t) = c(mid)) and IP10(t) = c(high) and IP10(t) = c(mid) and IP10(t) = c(high)",0.5350903,,,,,"eventually[1,7](IP10(t) > c(high)) and IP10(t)=c(low) and IP10(t)=c(mid)",0.5641169,,,"eventually[1,7]globally(IP10(t) > c(high))",0.53559965,"eventually[1,7]globally(IP10(t) > c(high)) and eventually[1,7]globally(IP10(t) > c(high)) and eventually[1,7]globally(IP10(t) > c(high)) and eventually[1,7]globally(IP10(t) > c(high))",0.50954926
,,"MCP1(t) > c(high) and MCP1(t) < c(high) and eventually[3,4](MCP1(t) = c(high))",0.6554307,,,"MCP1(t) > c(high) and globally[1,2](MCP1(t) > c(high)) and globally[3,4](MCP1(t) > c(high))",0.6240281,"MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) < c(high) and eventually[3,4]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) < c(high) and eventually[3,4]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) > c(high) and eventually[1,2]globally(MCP1(t)=c(high) and IL1β(t) > c(low)) and MCP1(t) < c(high) and eventually[3,4]globally(MCP1(t)=c(high) and IL1β(t) > c(low))",0.62978065,,,"globally[1,4](MCP1(t) > c(mid))",0.6215029,"globally[1,2](MCP1(t) > c(high)) implies eventually[3,4]globally(MCP1(t) < c(high))",0.56620765,"eventually[1,2]globally(MCP1(t) > c(high) and MCP1(t) < c(low)) and eventually[3,4]globally(MCP1(t) > c(high) and MCP1(t) < c(low)) and eventually[1,2]globally(MCP1(t) > c(high) and MCP1(t) < c(low)) and eventually[3,4]globally(MCP1(t) > c(high) and MCP1(t) < c(low))",0.61962193,"eventually[1,2]globally(MCP1(t) > c(mid)) and eventually[3,4]globally(MCP1(t) < c(mid))",0.6439241,,,"eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) < c(high))",0.6173546,"eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) < c(high)) and globally[1,2](MCP1(t) > c(low) and d_MCP1(t) > d_c(low)) and globally[3,4](MCP1(t) > c(low) and d_MCP1(t) > d_c(low))",0.54703873,"MCP1(t) > c(high) and MCP1(t) < c(high) and eventually[3,4](MCP1(t) = c(high))",0.6554307,"globally[∞,∞](MCP1(t) > c(low)) and eventually[1,2]globally(MCP1(t) > c(low) and d_MCP1(t) > 0) and eventually[3,4]globally(MCP1(t) > c(low) and d_MCP1(t) > 0)",0.54642147,"eventually[1,2]globally(MCP1(t) > c(high)) and eventually[3,4]globally(MCP1(t) < c(high)) and globally[1,2](MCP1(t) = c(high)) and globally[3,4](MCP1(t) = c(high))",0.5970653,,,,
