0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
"eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) > d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","globally[8,18](d_IL1RN(t) > d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))","eventually[8,18]globally(d_IL1RN(t)=d_c(high))","eventually[8,18]globally(d_IL1RN(t) = d_c(high))",,,,,,,,,,,,,
"eventually[12,inf]globally(IL1β(t) > c(low) implies d_IL1RN(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20, inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20, inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t) > c(low))","globally[20,inf](SARSCoV2(t)>c(low))"
IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),IL1β(t) < c(low) implies IL6(t) = c(low),,
"eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t)<c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t)<c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t)<c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t)<c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t)<c(mid))","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))","eventually[8,10](d_IFNα(t) = d_c(high)) implies globally[0,15](IL8(t) < c(mid))",,,
IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t)<c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t)<c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t)<c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t) = c(low) implies IL6(t) < c(high),IFNβ(t)=c(low) implies IL6(t)<c(high),,,,,
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t)=c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t)=c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t)=c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t)=c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t)<c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","globally[17,inf](IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","globally[17,inf](IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","globally[17,inf](IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))","eventually[17,inf]globally(IL1Ra(t) < c(high))"
d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > d_c(low) implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > d_c(low) implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > d_c(low) implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),d_IFNα(t) > 0 implies IL1RN(t) < c(mid),,,
"eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t)<c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","globally[5,11](SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))","eventually[5,11]globally(SARSCoV2(t) < c(mid))",,
