S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim
0.7538753,"eventually[15,inf]globally(IL12(t)=c(high))",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,0.7609356,"eventually[14,inf](IL12(t) = c(high))",N/A,N/A,0.61872715,"eventually[14,inf](d_IL12(t) = 0)",N/A,N/A,0.7538753,"eventually[15,inf]globally(IL12(t)=c(high))",N/A,N/A,0.6955508,"eventually[14,inf]globally(d_IL12(t)=d_c(low)) and IL12(t)=c(high)",N/A,N/A,0.7609356,"eventually[14,inf](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7571626,"eventually[15,inf](IL12(t) = c(high))",N/A,N/A
0.7609356,"eventually[14,inf](IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6130331,"eventually[14,inf]globally(d_IL12(t)=0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7571626,"eventually[15,inf](IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.67790586,"eventually[0,14]globally(d_IL12(t) > 0) and IL12(t) = c(high) and d_IL12(t) = 0",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7609356,"eventually[14,inf](IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61872715,"eventually[14,inf](d_IL12(t) = 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7538753,"eventually[15,inf]globally(IL12(t)=c(high))",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6955508,"eventually[14,inf]globally(d_IL12(t)=d_c(low)) and IL12(t)=c(high)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7609356,"eventually[14,inf](IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7571626,"eventually[15,inf](IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
