S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
0.58334833,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](d_IL12(t) = 0)",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6130331,"eventually[14,inf]globally(d_IL12(t) = 0)",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,0.7571626,"eventually[15,inf](IL12(t) = c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7581854,"eventually[14,inf]globally(IL12(t)=c(high))",N/A,N/A,N/A,N/A,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A,0.5891844,"globally[0,14](d_IL12(t) > 0) and eventually[15,inf](d_IL12(t) = 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",N/A,N/A,N/A,N/A
0.6999,"eventually[15,inf](IL12(t) = c(high) and d_IL12(t) = 0)",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61872715,"eventually[14,inf](d_IL12(t)=0)",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t)=c(high))",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6130331,"eventually[14,inf]globally(d_IL12(t) = 0)",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7006042,"eventually[14,inf](d_IL12(t) < 0 and IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60479975,"eventually[15,inf](d_IL12(t) = 0)",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7571626,"eventually[15,inf](IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t)=c(high))",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5891844,"globally[0,14](d_IL12(t) > 0) and eventually[15,inf](d_IL12(t) = 0)",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7581854,"eventually[14,inf]globally(IL12(t) = c(high))",,,,,,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
