S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim
0.7063292,"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7063292,"globally[1,7](d_IL1β(t)>d_c(low) and d_IL1Ra(t)>d_c(low)) and globally[8,14](IL1β(t)=c(high) and IL1Ra(t)=c(high)) and globally[15,inf](d_IL1β(t)<0 and d_IL1Ra(t)<0)",,,,,,,N/A,N/A,,,,,,,0.7063292,"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A,0.7164585,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A,0.7090434,"eventually[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](d_IL1β(t) < -d_c(low) and d_IL1Ra(t) < -d_c(low))",N/A,N/A,0.7164585,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A,0.7164585,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A,0.734696,"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A,0.70374304,"eventually[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](d_IL1β(t) = 0 and d_IL1Ra(t) = 0) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A,0.68519056,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](d_IL1β(t) = 0 and d_IL1Ra(t) = 0) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",N/A,N/A
0.7088957,"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14](d_IL1β(t) = 0 and d_IL1Ra(t) = 0) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7164585,"globally[1,7](d_IL1β(t)>0 and d_IL1Ra(t)>0) and globally[8,14](IL1β(t)=c(high) and IL1Ra(t)=c(high)) and globally[15,inf](d_IL1β(t)<0 and d_IL1Ra(t)<0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7164585,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7063292,"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68519056,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](d_IL1β(t) = 0 and d_IL1Ra(t) = 0) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7164585,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7164585,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
