Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
d_CCL2(t) > d_c(low) and d_CCR2(t) > d_c(low) and MCP1(t) < c(low),0.31821066,N/A,N/A,0,1,0
d_CCL2(t) > d_c(low) and d_CCR2(t) > d_c(low) implies CCL2(t) < c(low),0.31312424,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
CCL2(t) > c(high) and CCR2(t) > c(high) implies MCP1(t) < c(low),0.39887843,N/A,N/A,0,1,0
CCL2(t)=c(high) and CCR2(t)=c(high) implies MCP1(t)<c(low),0.39642408,N/A,N/A,0,1,0
d_CCL2(t) > d_c(low) and d_CCR2(t) > d_c(low) and MCP1(t) < c(low),0.31821066,N/A,N/A,0,1,0
d_CCL2(t) > 0 and d_CCR2(t) > 0 implies CCL2(t) > c(mid) and CCR2(t) > c(mid),0.33228576,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
d_CCL2(t) > 0 and d_CCR2(t) > 0 and MCP1(t) < c(low),0.35513097,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,inf](d_CCL2(t) > d_c(low) and d_CCR2(t) > d_c(low))",0.28808883,IL6(t) > c(mid) and IL12(t) > c(mid) and IL1β(t) < c(mid),0.23920119,0,1,0
N/A,N/A,N/A,N/A,0,0,0
d_CCL2(t) > d_c(low) and d_CCR2(t) > d_c(low) implies CCL2(t) < c(low),0.31312424,d_IL8(t) > d_c(low) and IL8(t) > c(mid) implies IL1Ra(t) < c(low),0.14662406,0,1,0
"eventually[0,inf](CCL2(t) > c(low) and CCR2(t) > c(low))",0.3751251,N/A,N/A,0,1,0
"d_CCL2(t) = d_c(high) and d_CCR2(t) = d_c(high) and globally[0,inf](CCL2(t) > c(mid) and CCR2(t) > c(mid))",0.31823742,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
CCL2(t) > c(mid) and CCR2(t) > c(mid) implies MCP1(t) < c(low),0.40764767,N/A,N/A,0,1,0
