Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,"eventually[0,18]globally(IL6(t)=c(high))",1.0,0,0,2
"eventually[0,18]globally(IL6(t) = c(high))",1.0,N/A,N/A,"eventually[0,18]globally(IL6(t) = c(high))",1.0,0,1,1
