Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20, inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,0,0,2
"globally[20, inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000002,"globally[20,inf](SARSCoV2(t)>c(low))",1.0000002,0,0,2
