sentence,group,step,stl_formula,label,cosine_sim,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > d_c(low))",,0.392411,,0.42785817
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > d_c(low))",,0.392411,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > d_c(low))",,0.392411,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > d_c(low))",,0.392411,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > d_c(low))",,0.392411,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > 0)",,0.413038,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > 0)",,0.413038,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](sarscov2(t) > c(low))",,0.502746,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](sarscov2(t) > c(low))",0,0.502746,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,filtered,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,consolidated,"eventually[0,14](tcells(t) > c(low))",1,0.427858,,
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,consolidated,"eventually[0,14](sarscov2(t) > c(low))",0,0.502746,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igg(t) = c(high))",,0.48228,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igm(t) > c(low) and igg(t) > c(low))",,0.622595,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](sarscov2(t)=c(high))",,0.346183,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igm(t) > c(low) and igg(t) > c(high))",,0.618797,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"globally[17,19](igg(t) = c(high))",,0.469959,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"globally[17,19](igg(t) > c(low))",,0.491377,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igg(t) > c(low))",,0.508618,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(sarscov2(t) = c(high))",,0.330009,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igg(t) > c(low))",,0.508618,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"globally[17,19](igg(t) = c(high))",,0.469959,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igg(t) > c(mid))",,0.518833,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](sarscov2(t) > c(high))",,0.348075,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"globally[17,19](igg(t) = c(high))",,0.469959,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"globally[17,19](igg(t)=c(high))",,0.469959,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"globally[17,19](igm(t) > c(low) and igg(t) = c(high))",,0.613432,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igg(t)=c(high))",,0.487048,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igg(t) > c(low))",,0.508618,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"globally[17,19](igm(t) > c(low) and igg(t) = c(high))",,0.613432,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"globally[17,19](igm(t) > c(low) and igg(t) = c(high))",,0.613432,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igm(t) > c(low) and igg(t) = c(high))",,0.616504,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"globally[17,19](igg(t) > c(low))",,0.491377,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igg(t) = c(high))",,0.487048,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igg(t) = c(high))",,0.487048,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(sarscov2(t) < c(low) implies igg(t) > c(mid))",,0.578717,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,filtered,"eventually[17,19](igm(t) > c(low) and igg(t) > c(low))",1,0.622595,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,filtered,"eventually[17,19](igm(t) > c(low) and igg(t) > c(high))",1,0.618797,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,filtered,"globally[17,19](igm(t) > c(low) and igg(t) = c(high))",1,0.613432,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,filtered,"globally[17,19](igm(t) > c(low) and igg(t) = c(high))",1,0.613432,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,filtered,"globally[17,19](igm(t) > c(low) and igg(t) = c(high))",1,0.613432,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,filtered,"eventually[17,19](igm(t) > c(low) and igg(t) = c(high))",1,0.616504,,
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,consolidated,"eventually[17,19](igm(t) > c(low) and igg(t) > c(low))",1,0.622595,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[11,inf](il6(t) > c(mid) and d_ifnα(t) = -d_c(low))",,0.836494,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid)) and globally[10,inf](d_ifnα(t) < 0)",,0.818636,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"eventually[10,inf]globally(il6(t) > c(mid) and d_ifnα(t) < -d_c(low))",,0.846597,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid)) and eventually[10,inf]globally(d_ifnα(t) = 0)",,0.815355,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < -d_c(low))",,0.84093,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[11,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.84202,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid)) and globally[10,inf](d_ifnα(t) < 0)",,0.818636,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[11,inf](il6(t) > c(mid)) and globally[11,inf](d_ifnα(t) < -d_c(low))",,0.809071,,
